sample_id,task,stage,target_anchor,candidate_pool_variant,history_start_anchor,history_length,candidate_id,candidate_source,deleted_position,candidate_raw_rank,candidate_deduplicated,exact_physical_kl,action_only_risk,adjacent_only_risk,dense_actual_boundary_energy,eligible_count,cache_length_prequery,cache_length_baseline,cache_length_candidate,candidate_replay_max_abs_error,multi_all_endpoint_risk,multi_uniform8_endpoint_risk,multi_inherited3_endpoint_risk,multi_pair_endpoint_risk,multi_three_endpoint_risk,probe_b18_path_k1_risk,theory_b1_risk,probe_b1_risk,theory_b5_risk,probe_b5_risk,theory_b8_risk,probe_b8_risk,theory_b11_risk,probe_b11_risk,theory_b15_risk,probe_b15_risk,theory_b18_risk,probe_b18_risk,theory_b19_risk,probe_b19_risk,theory_b23_risk,probe_b23_risk,theory_b27_risk,probe_b27_risk,b1_theory_u_norm,b1_local_r_norm,b1_actual_boundary_norm,b1_deleted_attention_mass_mean,b1_deleted_value_norm,b1_deleted_key_norm,b1_action_state_ratio,b5_theory_u_norm,b5_local_r_norm,b5_actual_boundary_norm,b5_deleted_attention_mass_mean,b5_deleted_value_norm,b5_deleted_key_norm,b5_action_state_ratio,b8_theory_u_norm,b8_local_r_norm,b8_actual_boundary_norm,b8_deleted_attention_mass_mean,b8_deleted_value_norm,b8_deleted_key_norm,b8_action_state_ratio,b11_theory_u_norm,b11_local_r_norm,b11_actual_boundary_norm,b11_deleted_attention_mass_mean,b11_deleted_value_norm,b11_deleted_key_norm,b11_action_state_ratio,b15_theory_u_norm,b15_local_r_norm,b15_actual_boundary_norm,b15_deleted_attention_mass_mean,b15_deleted_value_norm,b15_deleted_key_norm,b15_action_state_ratio,b19_theory_u_norm,b19_local_r_norm,b19_actual_boundary_norm,b19_deleted_attention_mass_mean,b19_deleted_value_norm,b19_deleted_key_norm,b19_action_state_ratio,b23_theory_u_norm,b23_local_r_norm,b23_actual_boundary_norm,b23_deleted_attention_mass_mean,b23_deleted_value_norm,b23_deleted_key_norm,b23_action_state_ratio,b27_theory_u_norm,b27_local_r_norm,b27_actual_boundary_norm,b27_deleted_attention_mass_mean,b27_deleted_value_norm,b27_deleted_key_norm,b27_action_state_ratio
gov_report:124,gov_report,scope_history_anchor,48,primary_low_importance,32,16,physical_delete_attention_94,attention,94,0,False,8.708838080318572e-09,0.0012595789024654443,0.000952740253127833,0.007644037225423731,93,128,129,128,0.0,8.634491983000771e-09,8.491255067230214e-10,7.243126731434828e-10,8.672446706354661e-12,7.037755571125039e-10,8.744328094827496e-09,1.4115064481937803e-12,1.474172960236802e-12,6.888557940763189e-13,4.562513390973037e-11,9.029114046365191e-12,3.847504075192567e-11,3.315589461260519e-13,3.511244736010826e-10,7.481259500046561e-10,1.5446835600295905e-09,3.0483912185912954e-10,8.726879702161018e-09,5.977488107900574e-11,9.071646840871315e-09,6.288865311778638e-12,8.795613277737783e-09,5.75326311750802e-12,8.686597294279255e-09,0.0009324948345602795,0.001109938137717195,0.0011099299677455507,3.346201992826536e-05,4.4183855056762695,778.0042724609375,4.99527841137714e-05,0.0003943020331112026,0.0003773637414464959,0.004645118598899801,8.945577974373009e-06,7.589626789093018,19.950393676757812,9.030318741801416e-06,0.0020877303600503926,0.0020212357427181523,0.0037282649218211483,3.357915920787491e-05,7.872262477874756,34.23894500732422,3.977209921811096e-05,0.0007422643406118149,0.0006114068118356788,0.014786144226038557,2.2695321604260243e-05,7.299080848693848,20.406024932861328,1.2218741570662953e-05,0.012310529373004949,0.010498650334375716,0.016259437324266386,0.0002168241626350209,8.78743839263916,19.61731719970703,0.00018152841652101812,0.0021046688537732236,0.0019385449953387111,0.020025943457901357,2.767277510429267e-05,10.003890991210938,20.904918670654297,2.6460705655120915e-05,0.0024136713020782886,0.002424152302916563,0.019266920118562392,1.776996214175597e-05,14.204790115356445,20.416458129882812,1.979012388136963e-05,0.0026646548453830373,0.002913897940031829,0.026122916560498668,1.541419442219194e-05,37.37113571166992,17.28372573852539,1.2272096879680214e-05
gov_report:124,gov_report,scope_history_anchor,48,primary_low_importance,32,16,physical_delete_value_norm_90,value_norm,90,0,False,0.0002611868875815728,6.543143548684436,5.887904575091205,117.18169387678174,93,128,129,128,,0.00026199331594512344,7.70260053612194e-05,7.806509288268892e-05,2.2548665548589704e-09,7.625480342710861e-05,6.799500288075672e-05,1.858321213842668e-12,1.7721307224118412e-12,1.0337936768363388e-09,1.5012375851744528e-08,6.591991195199091e-10,5.730499020006321e-08,4.719665456116027e-10,6.642904758822314e-07,7.675013684831718e-05,8.196147483636616e-05,7.496686387320825e-06,6.798751010432148e-05,3.332799556028961e-09,6.793991551752082e-05,1.3120031935247042e-09,0.00021956899656912844,2.9706133183673186e-08,0.00026455132449285936,0.0002821760482956438,0.0003899887914923162,0.0003870894933158666,2.7942129236180335e-05,3.1908457279205322,779.73486328125,1.7551451964947183e-05,0.018220485357026205,0.01879406475352104,0.11493593468092513,0.00042147873318754137,5.524717330932617,15.084518432617188,0.0004497421891350775,0.009647572852028958,0.010686098121626112,0.10620948443173439,0.00025867149815894663,5.209717273712158,33.31904983520508,0.00021027164014833445,0.014256703376097624,0.011537048293257473,0.2003910819926334,0.0004996544448658824,6.570713996887207,16.049232482910156,0.0002305636915629551,1.4631836933062037,1.3196412178287498,1.4224308480017505,0.029371321201324463,9.0018310546875,16.975996017456055,0.022817445387618526,0.01342772441713332,0.012623549240144229,1.1801083689399112,0.0003390807250980288,8.42363452911377,21.063282012939453,0.00017230862402965212,0.03165933056083665,0.0298585729463464,3.0100988472466987,0.0009034660179167986,7.53163480758667,16.52100372314453,0.00024375731542039392,0.27978778527678766,0.18822429807973487,4.344145407409888,0.005354878026992083,10.79449462890625,14.552492141723633,0.0007927205649210491
gov_report:124,gov_report,scope_history_anchor,48,primary_low_importance,32,16,physical_delete_aov_14,aov,14,1,True,1.135623666704318e-09,0.0006219972237516197,0.000581804682428981,0.004260021880034444,93,128,129,128,,1.1370073159650651e-09,1.409983831910023e-11,7.641961040316757e-12,3.4347399612754144e-12,6.464936654402334e-13,1.0016508013945942e-09,8.200920402736038e-12,1.015858801102852e-11,3.7118889400761196e-13,1.0059603499913698e-09,3.3133812310542598e-12,1.1153223876259378e-09,1.510745826854949e-13,1.11413275562247e-09,4.296869071599354e-13,1.2121932472117106e-09,1.0004183503668174e-10,1.0059144486280342e-09,6.861361970417812e-13,1.016361183667461e-09,2.1040903055498103e-13,1.0369156616860388e-09,3.777619156351367e-12,9.329703308767146e-10,0.0009242830627602957,0.0011264344629024483,0.0011242475256885607,8.78439168445766e-05,3.5669851303100586,778.8583984375,5.069520149961267e-05,0.0002166911796799135,0.00020833733429512897,0.016499781636562495,7.363978966168361e-06,7.128814697265625,19.36896324157715,4.985514843823424e-06,0.0015465073617954995,0.0016451396049779745,0.011995870010273238,2.851954741345253e-05,5.726841449737549,33.79312515258789,3.2371610205565085e-05,9.125341710795072e-05,7.393890811334661e-05,0.009490381750780435,1.7780386087906663e-06,7.44852352142334,20.68832015991211,1.4776420425240282e-06,0.00013233171298728785,0.00011319980209579472,0.008934439324695868,1.544791302876547e-06,10.04827880859375,20.109291076660156,1.957297383041584e-06,0.00032268675013520344,0.0003201551263839212,0.008887612235476737,3.7511242680920986e-06,10.39979362487793,24.24416732788086,4.370045876465608e-06,0.00030080951040427795,0.00029095911830462063,0.010865549647964878,4.0462109609507024e-06,11.399269104003906,22.081058502197266,2.3753115630295907e-06,0.002681851147520229,0.0027486314999297973,0.01575255425885803,3.303880293969996e-05,25.282854080200195,18.130268096923828,1.157606503311875e-05
gov_report:124,gov_report,scope_history_anchor,48,primary_low_importance,32,16,physical_delete_aor_36,aor,36,2,True,2.939340249555904e-10,0.0005072700197576906,0.0005412906341109058,0.002633702462339585,93,128,129,128,,2.866414289661803e-10,6.725122319509452e-11,8.921472747914736e-11,1.2736201829797763e-10,8.061603986178992e-13,2.2961911541934683e-10,5.79631797472051e-12,6.487457381816923e-12,9.67295745206904e-13,2.1470865439966073e-10,1.1390976966438644e-10,2.0001789946701036e-10,1.8425994515280384e-13,1.9451649083222077e-10,7.198738291663076e-13,2.354180489223559e-10,9.706870932761735e-11,2.250946213621816e-10,4.1378223344709405e-12,2.0789990292979147e-10,6.658633582866187e-13,2.0153700848650787e-10,5.7537297521885334e-11,2.854176631754028e-10,0.0013899378817741513,0.0016061879387980701,0.001609107741953423,6.698596553178504e-05,4.183609962463379,778.8078002929688,7.228651456011727e-05,0.0003192300562177881,0.0003253546389495709,0.011024398456520835,1.024306402541697e-05,7.265463829040527,19.44835662841797,7.785740311393726e-06,0.0045205587781354415,0.004616444616130438,0.008871909717034016,7.279291457962245e-05,6.376445293426514,34.20205307006836,9.083833687837991e-05,0.00026784756432894185,0.00029903014577930387,0.00675013621388784,3.655688715298311e-06,7.848747253417969,20.042484283447266,5.976008121572856e-06,0.0006717857518626398,0.0005213926866107608,0.006049846696007722,1.4253028894017916e-05,9.061243057250977,18.450368881225586,9.015214886830395e-06,0.0005813531694144448,0.0005378629059803399,0.0057596245559895475,6.296535048022633e-06,9.202240943908691,21.395496368408203,7.341708380344831e-06,0.0004493097312462765,0.0004337705650214124,0.006440975900388652,3.696687372212182e-06,14.981851577758789,20.802291870117188,3.541185596110178e-06,0.014514526600589491,0.01579772598605863,0.020310053580399254,3.870589716825634e-05,40.6054801940918,16.07292938232422,6.653329243831904e-05
gov_report:124,gov_report,scope_history_anchor,48,primary_low_importance,32,16,physical_delete_v_ridge_69,v_ridge,69,0,False,2.6116653254581646e-07,0.10778056458430434,0.08808926765484083,0.9199122686840333,93,128,129,128,,2.6168141657064006e-07,1.0570868131627378e-07,3.0798132578524547e-09,3.5647290425485343e-08,5.155513711304656e-08,1.1135042057010023e-07,1.251224372660173e-13,6.41212548522708e-14,2.542950677813581e-10,6.009168230285956e-09,5.849247822550344e-10,2.512744352105306e-08,1.4355237281495476e-10,1.4350227784196439e-08,4.006554653894335e-09,1.7821373211720532e-07,3.304573816120905e-09,1.1137490792673624e-07,9.022790613303649e-09,1.4190193274497912e-07,3.091638764529621e-08,2.743036991904342e-07,5.713069518485469e-10,2.634829138212521e-07,0.00016354413475980315,0.00018171781135342666,0.0001760006950247013,8.511921805620659e-06,4.726761817932129,779.9674682617188,8.178213083869724e-06,0.007703199103333936,0.007652724925183209,0.022372509745402752,0.00020937628869432956,7.366749286651611,19.191755294799805,0.00018312979687141182,0.015439990861031276,0.01466625479468422,0.026281818560187763,0.0004159118980169296,6.816287040710449,33.14054489135742,0.00028858966251400526,0.011922594727455998,0.009979692370801319,0.03476844703918046,0.00037794047966599464,7.649274826049805,17.680706024169922,0.00019944050290743293,0.022909220835828154,0.01758116441765224,0.07048003345452919,0.0006611787830479443,8.190775871276855,18.5020751953125,0.0003039896401618613,0.04318862101311208,0.04581566236652946,0.08929893681593995,0.0007295419345609844,9.105375289916992,21.114824295043945,0.0006253735452053903,0.19114293915096373,0.16345940209344886,0.2951217733251746,0.0011097126407548785,14.864286422729492,18.664081573486328,0.001334438357322677,0.03585942836285108,0.0398417939961916,0.39272772600218947,0.00024171687255147845,35.485313415527344,16.25135040283203,0.000167796664757649
gov_report:124,gov_report,scope_history_anchor,48,primary_low_importance,32,16,physical_delete_key_query_52,key_query,52,0,False,4.200429130925463e-07,0.5977247384491265,0.5239868450604007,1.3344363879786356,93,128,129,128,,4.1494406741510365e-07,1.696455809883119e-07,1.7850503518083795e-07,9.116970247024862e-10,1.6533948806017409e-07,2.795017148344474e-07,5.018670145793767e-10,4.955648055733182e-10,2.3665444022944312e-09,7.137121987863803e-10,2.6282902685649864e-10,1.951397564467335e-09,3.3903672626612513e-10,9.272599301759005e-08,2.063188964786964e-07,1.2838912851624018e-07,1.589414141513334e-08,2.7955015954135907e-07,1.3114514830630213e-09,2.965177717625768e-07,4.927788180448248e-10,4.075270335473358e-07,6.898239120394168e-08,5.650083494189131e-07,0.004925178966988508,0.006997557562497901,0.006992963530403602,0.0002670963585842401,3.3373770713806152,780.2391967773438,0.0003149251930040523,0.019717878182017576,0.019255814816935692,0.024914643300812205,0.0006538021261803806,5.485161304473877,15.412877082824707,0.00046079187354751736,0.01787683702005809,0.01732953993341867,0.03471898523950886,0.0007540571969002485,5.226284503936768,33.35218048095703,0.0003409954450485156,0.027532019789280385,0.022944044773365254,0.09611862068965331,0.0006723476108163595,7.732378005981445,16.91877555847168,0.0004585283451941913,0.12663228804637555,0.10454958101761522,0.25454376064908674,0.00430799787864089,9.597906112670898,19.30221176147461,0.001807729497183232,0.01410929066161257,0.012864851899093494,0.1804637223142545,0.00033297433401457965,8.347402572631836,22.346477508544922,0.00017560235135999914,0.017812894418581773,0.017061029312925913,0.17746791467032308,0.0005866476567462087,6.427392959594727,16.449176788330078,0.00013928162980529678,0.3401901113717745,0.2861114537200848,0.3955693724325085,0.007871503941714764,10.929086685180664,14.470163345336914,0.001204979567129475
gov_report:124,gov_report,scope_history_anchor,48,primary_low_importance,32,16,physical_delete_age_4,age,4,0,False,2.8738537279997505e-08,0.004537107480116723,0.004115364627017733,0.03729905026591603,93,128,129,128,,2.8755429687244883e-08,8.188830283392356e-11,5.784880146129499e-11,5.7805706482567005e-12,1.4508807152398541e-11,3.0777044564824796e-08,3.454994577728726e-11,3.581734270607518e-11,1.0114032536601504e-12,8.097338436899758e-09,7.160378324942552e-12,9.848608058362587e-09,4.058560673080877e-13,9.988692143069389e-09,1.0961754252640861e-11,1.252380273858905e-08,5.2497999243309335e-09,3.078686108217095e-08,1.0181692763305963e-11,3.1461966102704786e-08,6.987724967188529e-13,3.181875794429988e-08,3.4389802409895445e-11,2.5986356156340576e-08,0.0016115855789111267,0.0019827959393833665,0.0019827466199030305,0.00012174306903034449,3.5669851303100586,778.8583984375,8.923576381057391e-05,0.0006429738771347034,0.0006305273990987137,0.043199470125915254,2.0080997273907997e-05,7.620412826538086,18.461536407470703,1.5088528027295153e-05,0.0026634279153819975,0.0031567374433809055,0.0314488411899221,4.856100713368505e-05,6.296531677246094,33.97175979614258,6.21155029817709e-05,0.0003406745238069766,0.0003226750557584867,0.02391624325875821,7.4749873419932555e-06,8.479736328125,18.977916717529297,6.448543001630542e-06,0.001203655129641137,0.0010496946791551966,0.02307658620299874,1.4802542864345014e-05,9.230497360229492,19.743364334106445,1.814989611699566e-05,0.0009489781783551033,0.0008980220367637017,0.02975481094066139,1.040743609337369e-05,10.128425598144531,23.026649475097656,1.2257799970469414e-05,0.0008417808422882515,0.0007917859810175232,0.036109363049388,1.2979674465896096e-05,11.252368927001953,19.28680992126465,6.4639266406719234e-06,0.009503289859557288,0.009998653640021962,0.05266961962184357,8.004020492080599e-05,19.834800720214844,15.525497436523438,4.2110069968811745e-05
gov_report:124,gov_report,scope_history_anchor,48,primary_low_importance,32,16,physical_delete_random_22,random,22,0,False,6.230119058364943e-10,0.0004650255761650418,0.0004515331656610871,0.0012546968955357146,93,128,129,128,,6.179385760250728e-10,1.1929184766488617e-10,1.253455046426856e-10,3.9003354194743524e-12,3.917846449494994e-12,4.633340426915354e-10,8.510015583167801e-11,7.846078759665543e-11,4.0998815892442224e-13,2.779363916510184e-11,7.672198493598757e-13,5.265896263731155e-11,8.521564642770193e-13,6.934938326694456e-11,1.4968785313732925e-12,8.539459507057314e-11,9.10836947406022e-10,4.67513649444124e-10,1.9725004903875278e-12,4.350048827353379e-10,3.3025783167082306e-12,6.823875402960657e-10,2.0044172746305013e-11,6.86610742955441e-10,0.002759176428551159,0.0036500788067467672,0.0036526219797404598,0.00012233351299073547,4.2228803634643555,778.3533935546875,0.000164271856633987,0.00046779211735345407,0.0004944872741960977,0.006463618987208687,1.702113513601944e-05,6.882534503936768,18.55060577392578,1.1833086248930027e-05,0.0007831342013350796,0.0009547968856406864,0.004618930703826641,1.3879530342819635e-05,6.982377052307129,34.85817337036133,1.8787653348034018e-05,0.00031639448659086,0.0002823755275824924,0.0035516814794281375,7.123477189452387e-06,8.699039459228516,20.047637939453125,5.643171666751688e-06,0.0008140481556784966,0.0007066025249236451,0.003272103537572915,1.1127948710054625e-05,10.90955638885498,19.68105697631836,1.2217612109544534e-05,0.00020956284393617577,0.00020950081339831314,0.004951797928674731,3.7547376905422425e-06,10.571054458618164,23.656131744384766,2.859639250660047e-06,0.00076728769333176,0.0007407267393575592,0.005743355422503908,1.107809384848224e-05,12.627809524536133,20.460262298583984,6.047092798786759e-06,0.00659196991735404,0.00737126224315557,0.011052025546092935,3.581804412533529e-05,26.07683753967285,16.38519859313965,3.104461660470714e-05
gov_report:125,gov_report,scope_history_anchor,48,primary_low_importance,32,16,physical_delete_attention_22,attention,22,0,False,6.08671802547787e-08,0.001059559661758321,0.0008512091901136669,0.004462997747895631,93,128,129,128,0.0,6.05774350320893e-08,7.758181789172951e-09,7.456044522170121e-09,1.4119383646946939e-09,1.3219277171420496e-09,5.757273476306792e-08,1.7286912493424842e-10,1.613449813006671e-10,2.925077657019551e-11,4.3972583217669775e-09,3.374905286706003e-11,3.1510566541598833e-09,6.284945885090315e-11,1.14173556104456e-08,3.116113648184683e-12,1.493706326943349e-08,5.77151234878192e-09,5.749374860024954e-08,2.9943361907327695e-10,5.4824643539946676e-08,1.388885507678428e-09,6.233775276315632e-08,7.598196746558279e-09,5.883663922453552e-08,0.0015280915321305478,0.0024210774648239486,0.002418720992342642,7.097780326148495e-05,4.2228803634643555,778.3533935546875,0.00013732394359813966,0.0014811050760651819,0.0015424054622864846,0.00798700692511051,4.103666287846863e-05,6.882534503936768,18.55060577392578,4.185723322457416e-05,0.0004704552867441041,0.000478323688285811,0.005390126025768438,1.4633013961429242e-05,6.982377052307129,34.85817337036133,1.2136498191546124e-05,0.0005826388599218836,0.000537779949186157,0.007323781821025653,1.7486208889749832e-05,8.699039459228516,20.047637939453125,1.2490524002980554e-05,0.00017955432916790318,0.0001571203068901432,0.006696883591700475,4.799343514605425e-06,10.90955638885498,19.68105697631836,3.2901529306791667e-06,0.0010483753936575148,0.0010828227569113814,0.00941438975054265,1.7516025764052756e-05,10.571054458618164,23.656131744384766,1.820052990043894e-05,0.00459268510171924,0.004421435264848224,0.012846945328585015,3.470519368420355e-05,12.627809524536133,20.460262298583984,3.536209493719729e-05,0.013348392266736947,0.0144127081557998,0.025945985123776084,6.891167140565813e-05,26.07683753967285,16.38519859313965,5.061638528475091e-05
gov_report:125,gov_report,scope_history_anchor,48,primary_low_importance,32,16,physical_delete_value_norm_81,value_norm,81,0,False,5.754336871954943e-05,1.1055410059930173,1.1044482660382873,1.661433607257222,93,128,129,128,,5.7523877163116066e-05,2.1849339387441003e-05,2.4620244826940017e-05,3.360713473936881e-06,4.431973423873244e-06,4.373087614560579e-06,4.75453068313245e-10,5.012745024739207e-10,6.86720470126443e-09,1.3243344449809177e-07,1.2454896586637737e-07,6.738122656462355e-08,3.2581694261158252e-09,1.6715337893493287e-07,2.5011026834387327e-08,1.2059123147218687e-06,5.184233132895838e-08,4.371849185334602e-06,6.839385312567463e-07,3.546548525600805e-06,4.206986344689823e-06,3.772647445498395e-06,2.471976354985895e-05,5.399710658237581e-05,0.0013942910079906097,0.0019795487703228643,0.001975684655940554,0.00016805925406515598,3.609076499938965,779.1220703125,0.000112280357665198,0.01778302758528441,0.023236809917154953,0.03665781524614742,0.00042091510840691626,4.456211566925049,16.361202239990234,0.0006305920173905594,0.011971144981243735,0.011502251845804974,0.03326398848473994,0.0006229618447832763,4.710168838500977,33.056217193603516,0.0002918464256403442,0.004323897589688611,0.003756454198529657,0.03169038165652513,0.00021301601373124868,4.937692642211914,17.943904876708984,8.724773283912447e-05,0.01767456053599712,0.016131775582805215,0.059686256867661686,0.0003798898251261562,8.543793678283691,19.52277374267578,0.0003378048946145158,0.05001989782359631,0.05314714358584249,0.11910015231230144,0.0014822200173512101,6.887463092803955,20.443309783935547,0.000893319031007595,0.1366086512816583,0.145817353345217,0.22040115701557533,0.0033234208822250366,7.702827453613281,17.803926467895508,0.0011662292408710438,0.4256137651881556,0.4267481851066407,0.6135015427489469,0.017161494120955467,10.892520904541016,16.546180725097656,0.0014987086620659642
