stage,score,stratum_type,stratum,sequence_count,spearman,spearman_bootstrap_ci_low,spearman_bootstrap_ci_high,pairwise_accuracy,top1_accuracy,positive_sequence_fraction,normalized_regret,median_exact_range
calibration,action_only_risk,overall,all,8,0.2291666666666667,0.03273809523809523,0.4345238095238096,0.6026785714285714,0.0,0.625,0.7241701564636144,1.0455127654607832e-05
calibration,action_only_risk,model,llama32_1b,4,0.4047619047619049,0.09523809523809526,0.6309523809523812,0.6517857142857143,0.0,0.75,0.47204878895566865,2.9521194656765297e-07
calibration,action_only_risk,model,qwen25_05b,4,0.05357142857142857,-0.09523809523809526,0.22023809523809523,0.5535714285714286,0.0,0.5,0.97629152397156,7.521538450006815e-05
calibration,action_only_risk,task,qmsum,4,0.041666666666666664,-0.11904761904761907,0.3035714285714286,0.5178571428571429,0.0,0.25,0.7421295281701963,4.898126658717614e-05
calibration,action_only_risk,task,vt,4,0.4166666666666668,0.20238095238095238,0.6309523809523812,0.6875,0.0,1.0,0.7062107847570324,9.007782274380177e-07
calibration,action_only_risk,model_task,llama32_1b|qmsum,2,0.17857142857142858,-0.07142857142857144,0.4285714285714286,0.5714285714285714,0.0,0.5,0.5316760083972726,3.9194955419317084e-05
calibration,action_only_risk,model_task,llama32_1b|vt,2,0.6309523809523812,0.5952380952380953,0.6666666666666669,0.7321428571428572,0.0,1.0,0.4124215695140647,2.9521194656765297e-07
calibration,action_only_risk,model_task,qwen25_05b|qmsum,2,-0.09523809523809526,-0.14285714285714288,-0.04761904761904763,0.4642857142857143,0.0,0.0,0.9525830479431201,7.521538450006815e-05
calibration,action_only_risk,model_task,qwen25_05b|vt,2,0.20238095238095238,0.09523809523809526,0.30952380952380953,0.6428571428571428,0.0,1.0,1.0,0.0002174658817280698
calibration,dense_all_layer_mechanistic_risk,overall,all,8,0.9970238095238095,0.9910714285714286,1.0,0.9955357142857143,1.0,1.0,0.0,1.0455127654607832e-05
calibration,dense_all_layer_mechanistic_risk,model,llama32_1b,4,0.9940476190476191,0.9821428571428572,1.0,0.9910714285714286,1.0,1.0,0.0,2.9521194656765297e-07
calibration,dense_all_layer_mechanistic_risk,model,qwen25_05b,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.521538450006815e-05
calibration,dense_all_layer_mechanistic_risk,task,qmsum,4,0.9940476190476191,0.9821428571428572,1.0,0.9910714285714286,1.0,1.0,0.0,4.898126658717614e-05
calibration,dense_all_layer_mechanistic_risk,task,vt,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.007782274380177e-07
calibration,dense_all_layer_mechanistic_risk,model_task,llama32_1b|qmsum,2,0.9880952380952381,0.9761904761904763,1.0,0.9821428571428572,1.0,1.0,0.0,3.9194955419317084e-05
calibration,dense_all_layer_mechanistic_risk,model_task,llama32_1b|vt,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.9521194656765297e-07
calibration,dense_all_layer_mechanistic_risk,model_task,qwen25_05b|qmsum,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.521538450006815e-05
calibration,dense_all_layer_mechanistic_risk,model_task,qwen25_05b|vt,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0002174658817280698
calibration,relative_penultimate_exact_map_risk,overall,all,8,0.9583333333333334,0.9226190476190477,0.9880952380952381,0.9553571428571428,0.75,1.0,0.0002757856454433196,1.0455127654607832e-05
calibration,relative_penultimate_exact_map_risk,model,llama32_1b,4,0.9583333333333334,0.8928571428571429,1.0,0.9642857142857143,1.0,1.0,0.0,2.9521194656765297e-07
calibration,relative_penultimate_exact_map_risk,model,qwen25_05b,4,0.9583333333333334,0.9226190476190476,0.9880952380952381,0.9464285714285714,0.5,1.0,0.0005515712908866392,7.521538450006815e-05
calibration,relative_penultimate_exact_map_risk,task,qmsum,4,0.9345238095238095,0.8809523809523809,0.9880952380952381,0.9375,0.75,1.0,2.078886910027823e-05,4.898126658717614e-05
calibration,relative_penultimate_exact_map_risk,task,vt,4,0.9821428571428572,0.9642857142857143,1.0,0.9732142857142858,0.75,1.0,0.0005307824217863609,9.007782274380177e-07
calibration,relative_penultimate_exact_map_risk,model_task,llama32_1b|qmsum,2,0.9166666666666667,0.8571428571428572,0.9761904761904763,0.9285714285714286,1.0,1.0,0.0,3.9194955419317084e-05
calibration,relative_penultimate_exact_map_risk,model_task,llama32_1b|vt,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.9521194656765297e-07
calibration,relative_penultimate_exact_map_risk,model_task,qwen25_05b|qmsum,2,0.9523809523809523,0.9047619047619048,1.0,0.9464285714285714,0.5,1.0,4.157773820055646e-05,7.521538450006815e-05
