stage,model_key,model_family,sample_id,task,score,candidate_count,spearman,pairwise_accuracy,top1_correct,normalized_regret,exact_range
calibration,llama32_1b,llama,qmsum:140,qmsum,action_only_risk,8,-0.07142857142857144,0.4642857142857143,False,0.2773753582246011,7.83897083965478e-05
calibration,llama32_1b,llama,qmsum:141,qmsum,action_only_risk,8,0.4285714285714286,0.6785714285714286,False,0.7859766585699441,2.0244208636708123e-10
calibration,llama32_1b,llama,synthetic_vt_140,vt,action_only_risk,8,0.5952380952380953,0.7142857142857143,False,0.36653235975196613,4.6412592346484834e-07
calibration,llama32_1b,llama,synthetic_vt_141,vt,action_only_risk,8,0.6666666666666669,0.75,False,0.45831077927616337,1.262979696704576e-07
calibration,qwen25_05b,qwen,qmsum:140,qmsum,action_only_risk,8,-0.04761904761904763,0.4642857142857143,False,0.9051660958862401,0.00013085794422233184
calibration,qwen25_05b,qwen,qmsum:141,qmsum,action_only_risk,8,-0.14285714285714288,0.4642857142857143,False,1.0,1.957282477780448e-05
calibration,qwen25_05b,qwen,synthetic_vt_140,vt,action_only_risk,8,0.30952380952380953,0.7142857142857143,False,1.0,1.337430531411187e-06
calibration,qwen25_05b,qwen,synthetic_vt_141,vt,action_only_risk,8,0.09523809523809526,0.5714285714285714,False,1.0,0.0004335943329247284
formal,llama32_1b,llama,qmsum:142,qmsum,action_only_risk,8,0.7142857142857144,0.7857142857142857,False,0.05566513806032569,1.3648303594397454e-06
formal,llama32_1b,llama,qmsum:143,qmsum,action_only_risk,8,0.5476190476190477,0.7142857142857143,False,0.3855630625917995,0.0002324653160757708
formal,llama32_1b,llama,synthetic_vt_142,vt,action_only_risk,8,0.11904761904761905,0.5714285714285714,False,1.0,2.1362686165274803e-06
formal,llama32_1b,llama,synthetic_vt_143,vt,action_only_risk,8,-0.2380952380952381,0.39285714285714285,False,0.8217922717901147,2.8170772102636532e-09
formal,qwen25_05b,qwen,qmsum:142,qmsum,action_only_risk,8,0.261904761904762,0.6785714285714286,False,1.0,1.3295095229384945e-05
formal,qwen25_05b,qwen,qmsum:143,qmsum,action_only_risk,8,0.28571428571428575,0.6785714285714286,False,1.0,3.54017944848963e-09
formal,qwen25_05b,qwen,synthetic_vt_142,vt,action_only_risk,8,0.38095238095238104,0.6428571428571429,False,0.5952622570505799,0.00011647426346513412
formal,qwen25_05b,qwen,synthetic_vt_143,vt,action_only_risk,8,0.261904761904762,0.6785714285714286,False,1.0,9.545229079675332e-05
replication,llama32_1b,llama,qmsum:144,qmsum,action_only_risk,8,0.8095238095238096,0.7857142857142857,False,0.031246498276164058,2.2445194036524712e-10
replication,llama32_1b,llama,qmsum:145,qmsum,action_only_risk,8,0.4285714285714286,0.6071428571428571,False,0.41440702075791513,1.078031426563745e-05
replication,llama32_1b,llama,synthetic_vt_144,vt,action_only_risk,8,0.7619047619047621,0.7857142857142857,False,0.24025980069442926,2.0147500238241193e-07
replication,llama32_1b,llama,synthetic_vt_145,vt,action_only_risk,8,0.2380952380952381,0.6428571428571429,False,1.0,1.7585738359866249e-06
replication,qwen25_05b,qwen,qmsum:144,qmsum,action_only_risk,8,0.7380952380952381,0.8214285714285714,False,0.2938308685338352,7.196274128680052e-07
replication,qwen25_05b,qwen,qmsum:145,qmsum,action_only_risk,8,0.09523809523809526,0.5357142857142857,False,0.35669565599603537,2.4193495601803266e-06
replication,qwen25_05b,qwen,synthetic_vt_144,vt,action_only_risk,8,-0.04761904761904763,0.5,False,1.0,3.8830023261009173e-07
replication,qwen25_05b,qwen,synthetic_vt_145,vt,action_only_risk,8,0.023809523809523815,0.5357142857142857,False,1.0,2.5204056184270876e-08
calibration,llama32_1b,llama,qmsum:140,qmsum,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,7.83897083965478e-05
calibration,llama32_1b,llama,qmsum:141,qmsum,dense_all_layer_mechanistic_risk,8,0.9761904761904763,0.9642857142857143,True,0.0,2.0244208636708123e-10
calibration,llama32_1b,llama,synthetic_vt_140,vt,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,4.6412592346484834e-07
calibration,llama32_1b,llama,synthetic_vt_141,vt,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,1.262979696704576e-07
calibration,qwen25_05b,qwen,qmsum:140,qmsum,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,0.00013085794422233184
calibration,qwen25_05b,qwen,qmsum:141,qmsum,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,1.957282477780448e-05
calibration,qwen25_05b,qwen,synthetic_vt_140,vt,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,1.337430531411187e-06
calibration,qwen25_05b,qwen,synthetic_vt_141,vt,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,0.0004335943329247284
formal,llama32_1b,llama,qmsum:142,qmsum,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,1.3648303594397454e-06
formal,llama32_1b,llama,qmsum:143,qmsum,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,0.0002324653160757708
formal,llama32_1b,llama,synthetic_vt_142,vt,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,2.1362686165274803e-06
formal,llama32_1b,llama,synthetic_vt_143,vt,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,2.8170772102636532e-09
formal,qwen25_05b,qwen,qmsum:142,qmsum,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,1.3295095229384945e-05
formal,qwen25_05b,qwen,qmsum:143,qmsum,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,3.54017944848963e-09
formal,qwen25_05b,qwen,synthetic_vt_142,vt,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,0.00011647426346513412
formal,qwen25_05b,qwen,synthetic_vt_143,vt,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,9.545229079675332e-05
replication,llama32_1b,llama,qmsum:144,qmsum,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,2.2445194036524712e-10
replication,llama32_1b,llama,qmsum:145,qmsum,dense_all_layer_mechanistic_risk,8,0.9761904761904763,0.9642857142857143,True,0.0,1.078031426563745e-05
replication,llama32_1b,llama,synthetic_vt_144,vt,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,2.0147500238241193e-07
replication,llama32_1b,llama,synthetic_vt_145,vt,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,1.7585738359866249e-06
replication,qwen25_05b,qwen,qmsum:144,qmsum,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,7.196274128680052e-07
replication,qwen25_05b,qwen,qmsum:145,qmsum,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,2.4193495601803266e-06
replication,qwen25_05b,qwen,synthetic_vt_144,vt,dense_all_layer_mechanistic_risk,8,0.9761904761904763,0.9642857142857143,True,0.0,3.8830023261009173e-07
replication,qwen25_05b,qwen,synthetic_vt_145,vt,dense_all_layer_mechanistic_risk,8,1.0,1.0,True,0.0,2.5204056184270876e-08
calibration,llama32_1b,llama,qmsum:140,qmsum,relative_penultimate_exact_map_risk,8,0.8571428571428572,0.8928571428571429,True,0.0,7.83897083965478e-05
calibration,llama32_1b,llama,qmsum:141,qmsum,relative_penultimate_exact_map_risk,8,0.9761904761904763,0.9642857142857143,True,0.0,2.0244208636708123e-10
calibration,llama32_1b,llama,synthetic_vt_140,vt,relative_penultimate_exact_map_risk,8,1.0,1.0,True,0.0,4.6412592346484834e-07
calibration,llama32_1b,llama,synthetic_vt_141,vt,relative_penultimate_exact_map_risk,8,1.0,1.0,True,0.0,1.262979696704576e-07
calibration,qwen25_05b,qwen,qmsum:140,qmsum,relative_penultimate_exact_map_risk,8,1.0,1.0,True,0.0,0.00013085794422233184
calibration,qwen25_05b,qwen,qmsum:141,qmsum,relative_penultimate_exact_map_risk,8,0.9047619047619048,0.8928571428571429,False,8.315547640111292e-05,1.957282477780448e-05
calibration,qwen25_05b,qwen,synthetic_vt_140,vt,relative_penultimate_exact_map_risk,8,0.9523809523809524,0.9285714285714286,True,0.0,1.337430531411187e-06
calibration,qwen25_05b,qwen,synthetic_vt_141,vt,relative_penultimate_exact_map_risk,8,0.9761904761904763,0.9642857142857143,False,0.0021231296871454435,0.0004335943329247284
formal,llama32_1b,llama,qmsum:142,qmsum,relative_penultimate_exact_map_risk,8,0.9523809523809524,0.9285714285714286,False,0.0023257863716650467,1.3648303594397454e-06
formal,llama32_1b,llama,qmsum:143,qmsum,relative_penultimate_exact_map_risk,8,0.5952380952380953,0.75,False,0.3855630625917995,0.0002324653160757708
formal,llama32_1b,llama,synthetic_vt_142,vt,relative_penultimate_exact_map_risk,8,0.9523809523809524,0.9285714285714286,True,0.0,2.1362686165274803e-06
formal,llama32_1b,llama,synthetic_vt_143,vt,relative_penultimate_exact_map_risk,8,0.5476190476190477,0.7142857142857143,False,0.035063437735105875,2.8170772102636532e-09
formal,qwen25_05b,qwen,qmsum:142,qmsum,relative_penultimate_exact_map_risk,8,0.5000000000000001,0.7857142857142857,False,0.13597688782513298,1.3295095229384945e-05
formal,qwen25_05b,qwen,qmsum:143,qmsum,relative_penultimate_exact_map_risk,8,0.9285714285714287,0.8928571428571429,False,0.0005554066793325444,3.54017944848963e-09
formal,qwen25_05b,qwen,synthetic_vt_142,vt,relative_penultimate_exact_map_risk,8,0.9761904761904763,0.9642857142857143,True,0.0,0.00011647426346513412
formal,qwen25_05b,qwen,synthetic_vt_143,vt,relative_penultimate_exact_map_risk,8,0.9523809523809524,0.9285714285714286,False,0.008478798572619026,9.545229079675332e-05
replication,llama32_1b,llama,qmsum:144,qmsum,relative_penultimate_exact_map_risk,8,0.8333333333333335,0.8571428571428571,True,0.0,2.2445194036524712e-10
replication,llama32_1b,llama,qmsum:145,qmsum,relative_penultimate_exact_map_risk,8,0.9761904761904763,0.9642857142857143,True,0.0,1.078031426563745e-05
replication,llama32_1b,llama,synthetic_vt_144,vt,relative_penultimate_exact_map_risk,8,1.0,1.0,True,0.0,2.0147500238241193e-07
replication,llama32_1b,llama,synthetic_vt_145,vt,relative_penultimate_exact_map_risk,8,0.7380952380952381,0.8214285714285714,False,0.15586957328966106,1.7585738359866249e-06
replication,qwen25_05b,qwen,qmsum:144,qmsum,relative_penultimate_exact_map_risk,8,1.0,1.0,True,0.0,7.196274128680052e-07
replication,qwen25_05b,qwen,qmsum:145,qmsum,relative_penultimate_exact_map_risk,8,1.0,1.0,True,0.0,2.4193495601803266e-06
replication,qwen25_05b,qwen,synthetic_vt_144,vt,relative_penultimate_exact_map_risk,8,0.8333333333333335,0.8571428571428571,True,0.0,3.8830023261009173e-07
replication,qwen25_05b,qwen,synthetic_vt_145,vt,relative_penultimate_exact_map_risk,8,0.9761904761904763,0.9642857142857143,False,0.0021449629228255792,2.5204056184270876e-08
calibration,llama32_1b,llama,qmsum:140,qmsum,relative_penultimate_path_k1_risk,8,0.8571428571428572,0.8928571428571429,True,0.0,7.83897083965478e-05
calibration,llama32_1b,llama,qmsum:141,qmsum,relative_penultimate_path_k1_risk,8,0.9761904761904763,0.9642857142857143,True,0.0,2.0244208636708123e-10
