model_key,model_family,model_source,num_layers,hidden_size,sample_id,task,stage,target_anchor,history_start_anchor,history_length,candidate_id,candidate_source,deleted_position,exact_physical_kl,action_only_risk,dense_all_layer_mechanistic_risk,primary_boundary,primary_probe_layer,eligible_count,cache_length_baseline,cache_length_candidate,generator_action_argmin_candidate_id,generator_dense_argmin_candidate_id,generator_predicted_normalized_regret,b4_exact_map_risk,b4_path_k1_risk,b8_exact_map_risk,b8_path_k1_risk,b12_exact_map_risk,b12_path_k1_risk,b15_exact_map_risk,b15_path_k1_risk,relative_penultimate_exact_map_risk,relative_penultimate_path_k1_risk
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:140,qmsum,calibration,64,32,32,physical_delete_high_random_59,high_random,59,2.2230382713078712e-06,0.0023243414094526547,2.2059492606177258e-06,15,14,93,129,128,physical_delete_median_value_norm_83,physical_delete_high_random_59,0.2767254086400096,2.8158485679120426e-07,2.8139618491470166e-07,2.433559060871309e-07,2.4321090439160473e-07,3.6545042377888277e-07,3.6511074469935457e-07,2.1902071109186974e-06,2.1895032121091776e-06,2.1902071109186974e-06,2.1895032121091776e-06
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:140,qmsum,calibration,64,32,32,physical_delete_median_value_norm_83,median_value_norm,83,2.3966411718922336e-05,0.001047210642483989,2.376999848535303e-05,15,14,93,129,128,physical_delete_median_value_norm_83,physical_delete_high_random_59,0.2767254086400096,1.0509290514805887e-06,1.0523440665422955e-06,5.544827014561623e-06,5.544807557036378e-06,9.148716028528036e-06,9.15156269432521e-06,1.2971625131436147e-05,1.2973138563451646e-05,1.2971625131436147e-05,1.2973138563451646e-05
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:140,qmsum,calibration,64,32,32,physical_delete_median_attention_64,median_attention,64,4.944678537693208e-06,0.006937356137726111,4.872839576473831e-06,15,14,93,129,128,physical_delete_median_value_norm_83,physical_delete_high_random_59,0.2767254086400096,5.207176880164398e-07,5.204166781300982e-07,5.347534292894082e-07,5.346692163181357e-07,1.0378664781427051e-06,1.03768347225363e-06,4.784533577945418e-06,4.7848069554523565e-06,4.784533577945418e-06,4.7848069554523565e-06
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:140,qmsum,calibration,64,32,32,physical_delete_low_value_norm_5,low_value_norm,5,1.9439470793721717e-05,0.0019439350786943145,1.9233220878727428e-05,15,14,93,129,128,physical_delete_median_value_norm_83,physical_delete_high_random_59,0.2767254086400096,6.790853254132288e-06,6.790716797171973e-06,1.1693259146965075e-05,1.1689566131165008e-05,1.4255172316207654e-05,1.4251831258802307e-05,1.9191543263547646e-05,1.919479258550628e-05,1.9191543263547646e-05,1.919479258550628e-05
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:140,qmsum,calibration,64,32,32,physical_delete_median_aor_85,median_aor,85,2.148915200147919e-05,0.011792631497267203,2.131505227919426e-05,15,14,93,129,128,physical_delete_median_value_norm_83,physical_delete_high_random_59,0.2767254086400096,6.263286023475254e-07,6.264291810684143e-07,7.242764845592957e-07,7.243321158499532e-07,3.8261790862932805e-06,3.826973819662076e-06,2.0618555631135636e-05,2.0617973091247997e-05,2.0618555631135636e-05,2.0617973091247997e-05
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:140,qmsum,calibration,64,32,32,physical_delete_low_key_query_14,low_key_query,14,2.1517239023176337e-05,0.0059372717048151455,2.139407361767304e-05,15,14,93,129,128,physical_delete_median_value_norm_83,physical_delete_high_random_59,0.2767254086400096,2.1413766044482262e-05,2.1421558488556925e-05,1.0439944042573199e-05,1.0441343652435532e-05,1.1922446563172168e-05,1.1921658725621111e-05,2.1699365734759233e-05,2.169779083060401e-05,2.1699365734759233e-05,2.169779083060401e-05
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:140,qmsum,calibration,64,32,32,physical_delete_median_key_query_40,median_key_query,40,3.9069628913139965e-05,0.003076122742239687,3.832037858305607e-05,15,14,93,129,128,physical_delete_median_value_norm_83,physical_delete_high_random_59,0.2767254086400096,3.986234503553822e-06,3.983810252056359e-06,1.3762791835782336e-05,1.3760518488040998e-05,2.174400740603485e-05,2.1743038574711417e-05,3.183910390801379e-05,3.183474373576092e-05,3.183910390801379e-05,3.183474373576092e-05
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:140,qmsum,calibration,64,32,32,physical_delete_median_random_21,median_random,21,8.061274666785567e-05,0.00432107035031293,8.013175061985555e-05,15,14,93,129,128,physical_delete_median_value_norm_83,physical_delete_high_random_59,0.2767254086400096,2.7673289519641203e-06,2.765907633268136e-06,1.9759385420625264e-05,1.9754399647207337e-05,9.837076387051542e-05,9.837636122367668e-05,8.214434076404776e-05,8.215298507135635e-05,8.214434076404776e-05,8.215298507135635e-05
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:141,qmsum,calibration,64,32,32,physical_delete_low_attention_95,low_attention,95,1.0414776047543276e-12,0.0004778423513867954,1.0094560469401484e-12,15,14,93,129,128,physical_delete_high_age_1001,physical_delete_low_attention_95,0.7956594910982496,4.791895016064964e-13,4.7702248201556e-13,2.6326053111475994e-13,2.5999671548273597e-13,8.101768159276021e-13,8.049132995555899e-13,2.2644649079917564e-12,2.2662214897700494e-12,2.2644649079917564e-12,2.2662214897700494e-12
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:141,qmsum,calibration,64,32,32,physical_delete_high_age_1001,high_age,1001,1.6015623220148087e-10,0.0002675331640926927,1.6094170491303076e-10,15,14,93,129,128,physical_delete_high_age_1001,physical_delete_low_attention_95,0.7956594910982496,7.477887439948805e-11,7.469942038597009e-11,1.4120203303935453e-10,1.4124925433948966e-10,1.538278585010476e-10,1.538296807333638e-10,1.6410724608331336e-10,1.640573068598851e-10,1.6410724608331336e-10,1.640573068598851e-10
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:141,qmsum,calibration,64,32,32,physical_delete_low_random_44,low_random,44,2.5958916853639278e-11,0.0006329351198975043,2.6004245906247707e-11,15,14,93,129,128,physical_delete_high_age_1001,physical_delete_low_attention_95,0.7956594910982496,5.624924390532907e-13,5.62786222327836e-13,5.664043619687611e-11,5.671969837098927e-11,3.6875690198067997e-11,3.6869044113400505e-11,2.9855413078634473e-11,2.987472107461221e-11,2.9855413078634473e-11,2.987472107461221e-11
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:141,qmsum,calibration,64,32,32,physical_delete_low_v_ridge_69,low_v_ridge,69,3.8925973000802633e-11,0.0009899456534918963,3.86361679214077e-11,15,14,93,129,128,physical_delete_high_age_1001,physical_delete_low_attention_95,0.7956594910982496,2.4160624590874546e-12,2.416381038539716e-12,3.4862399169303933e-11,3.48452041218607e-11,4.238011952923283e-11,4.241872927636862e-11,4.078734279001709e-11,4.0803188890170373e-11,4.078734279001709e-11,4.0803188890170373e-11
