model_key,model_family,model_source,num_layers,hidden_size,sample_id,task,stage,target_anchor,history_start_anchor,history_length,candidate_id,candidate_source,deleted_position,exact_physical_kl,action_only_risk,dense_all_layer_mechanistic_risk,primary_boundary,primary_probe_layer,eligible_count,cache_length_baseline,cache_length_candidate,generator_action_argmin_candidate_id,generator_dense_argmin_candidate_id,generator_predicted_normalized_regret,b4_exact_map_risk,b4_path_k1_risk,b8_exact_map_risk,b8_path_k1_risk,b12_exact_map_risk,b12_path_k1_risk,b15_exact_map_risk,b15_path_k1_risk,relative_penultimate_exact_map_risk,relative_penultimate_path_k1_risk
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:142,qmsum,formal,64,32,32,physical_delete_low_v_ridge_79,low_v_ridge,79,6.370318897006792e-08,7.370008057541722e-05,6.345340098483658e-08,15,14,93,129,128,physical_delete_low_aov_19,physical_delete_low_v_ridge_79,0.05548142390162996,2.0589587865403277e-08,2.0631800415387086e-08,2.2335721522936188e-08,2.2398320186486833e-08,6.983018193048587e-08,6.991840218342033e-08,7.085418951227216e-08,7.072939890315157e-08,7.085418951227216e-08,7.072939890315157e-08
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:142,qmsum,formal,64,32,32,physical_delete_low_aov_19,low_aov,19,1.3967665935720528e-07,6.107271706583638e-05,1.3880942054283686e-07,15,14,93,129,128,physical_delete_low_aov_19,physical_delete_low_v_ridge_79,0.05548142390162996,8.411023353194593e-10,8.637866322829817e-10,1.6316733042264175e-09,1.6381303220615667e-09,1.7695385782237833e-08,1.7673235556024886e-08,8.673225918067358e-08,8.670466122045263e-08,8.673225918067358e-08,8.670466122045263e-08
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:142,qmsum,formal,64,32,32,physical_delete_high_v_ridge_8,high_v_ridge,8,6.687749281968758e-08,6.213629358011748e-05,6.676565151287586e-08,15,14,93,129,128,physical_delete_low_aov_19,physical_delete_low_v_ridge_79,0.05548142390162996,4.5163181269471846e-08,4.483499679469084e-08,3.022828585176124e-08,3.0206580285888746e-08,6.508733670777843e-08,6.503160972795791e-08,6.296722007332104e-08,6.300579320595799e-08,6.296722007332104e-08,6.300579320595799e-08
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:142,qmsum,formal,64,32,32,physical_delete_median_value_norm_11,median_value_norm,11,8.074623619470358e-08,0.00014487882371882872,8.05745608585625e-08,15,14,93,129,128,physical_delete_low_aov_19,physical_delete_low_v_ridge_79,0.05548142390162996,1.528010619934934e-08,1.5237508251444678e-08,5.161739832027022e-08,5.1737743442646796e-08,3.9213379394015924e-08,3.9222288880862535e-08,7.505444600959906e-08,7.510979073152102e-08,7.505444600959906e-08,7.510979073152102e-08
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:142,qmsum,formal,64,32,32,physical_delete_median_random_46,median_random,46,1.2106008090390996e-07,0.00013394400847495738,1.206958629168005e-07,15,14,93,129,128,physical_delete_low_aov_19,physical_delete_low_v_ridge_79,0.05548142390162996,1.0671343439286484e-08,1.0674688173759347e-08,6.435747238720636e-08,6.407581880313133e-08,1.0354347586490639e-07,1.0357961666520622e-07,1.0262203474765118e-07,1.0251355764699026e-07,1.0262203474765118e-07,1.0251355764699026e-07
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:142,qmsum,formal,64,32,32,physical_delete_median_key_query_40,median_key_query,40,1.3006815573718238e-06,0.000591150797022734,1.2890176800530806e-06,15,14,93,129,128,physical_delete_low_aov_19,physical_delete_low_v_ridge_79,0.05548142390162996,3.7375637495914375e-08,3.737240153646747e-08,5.78627618867786e-07,5.774157153046601e-07,1.4415898311914048e-06,1.4424571599833081e-06,1.2560238436682943e-06,1.2559579276202838e-06,1.2560238436682943e-06,1.2559579276202838e-06
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:142,qmsum,formal,64,32,32,physical_delete_median_attention_89,median_attention,89,1.3707237585877105e-06,0.0011316156238730644,1.3336759532071895e-06,15,14,93,129,128,physical_delete_low_aov_19,physical_delete_low_v_ridge_79,0.05548142390162996,6.745787663739385e-08,6.755497952180221e-08,2.646405761466339e-07,2.649948156339325e-07,7.58634274358806e-07,7.584474107939079e-07,1.2820250764611905e-06,1.2819527755982722e-06,1.2820250764611905e-06,1.2819527755982722e-06
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:142,qmsum,formal,64,32,32,physical_delete_low_random_54,low_random,54,1.4285335484098133e-06,0.0017965330197888313,1.4216741217004496e-06,15,14,93,129,128,physical_delete_low_aov_19,physical_delete_low_v_ridge_79,0.05548142390162996,2.4620050942701166e-07,2.4615642908281917e-07,8.046298367647074e-07,8.044823038916635e-07,7.476338474288264e-07,7.47865983368007e-07,1.495111321082464e-06,1.4951607762666067e-06,1.495111321082464e-06,1.4951607762666067e-06
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:143,qmsum,formal,64,32,32,physical_delete_low_random_66,low_random,66,1.1528567351580066e-05,0.002348477915207136,1.1547371116805814e-05,15,14,93,129,128,physical_delete_median_attention_63,physical_delete_low_random_66,0.351591748808917,1.1494563573877638e-06,1.1484625940108909e-06,2.6385234275448893e-06,2.639001363778759e-06,5.766814409200213e-06,5.766541959091617e-06,1.0150343279677195e-05,1.0148673870247497e-05,1.0150343279677195e-05,1.0148673870247497e-05
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:143,qmsum,formal,64,32,32,physical_delete_median_attention_63,median_attention,63,0.00010115860656412495,0.002235725130252424,9.872692899865707e-05,15,14,93,129,128,physical_delete_median_attention_63,physical_delete_low_random_66,0.351591748808917,1.4761878190461882e-07,1.475881701243573e-07,2.1730675478871998e-07,2.177512483293205e-07,1.565852683456777e-06,1.565667754834611e-06,2.187466109212111e-06,2.1876489678999923e-06,2.187466109212111e-06,2.1876489678999923e-06
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:143,qmsum,formal,64,32,32,physical_delete_low_value_norm_5,low_value_norm,5,1.8840400061083927e-05,0.0027763075368266808,1.8796340693425146e-05,15,14,93,129,128,physical_delete_median_attention_63,physical_delete_low_random_66,0.351591748808917,2.4790512065667658e-06,2.480266910101026e-06,7.708432385701687e-06,7.707664677385023e-06,1.4483951468367151e-05,1.4483276583750318e-05,1.8254089820849426e-05,1.825663583873645e-05,1.8254089820849426e-05,1.825663583873645e-05
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:143,qmsum,formal,64,32,32,physical_delete_high_age_94,high_age,94,2.4048725380002955e-05,0.01721015916304498,2.360746783090919e-05,15,14,93,129,128,physical_delete_median_attention_63,physical_delete_low_random_66,0.351591748808917,4.878783463728724e-07,4.875361009979557e-07,7.035109919199844e-07,7.035582864703405e-07,8.676392077941616e-07,8.676174931923652e-07,1.2593763881278306e-05,1.2596947471354221e-05,1.2593763881278306e-05,1.2596947471354221e-05
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:143,qmsum,formal,64,32,32,physical_delete_low_key_query_14,low_key_query,14,3.158309035687748e-05,0.008174520866139231,3.096993159518478e-05,15,14,93,129,128,physical_delete_median_attention_63,physical_delete_low_random_66,0.351591748808917,4.328558493195975e-06,4.32604290883916e-06,7.88587660425984e-06,7.885957543210802e-06,7.467500247718725e-06,7.467639597516919e-06,3.161420490007256e-05,3.1615398652194075e-05,3.161420490007256e-05,3.1615398652194075e-05
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:143,qmsum,formal,64,32,32,physical_delete_median_value_norm_84,median_value_norm,84,6.459713716317821e-05,0.006114118655849686,6.829398539693273e-05,15,14,93,129,128,physical_delete_median_attention_63,physical_delete_low_random_66,0.351591748808917,1.0059758394437541e-07,1.006568406954639e-07,2.0092242562921934e-06,2.0092624333499813e-06,1.727659762980338e-05,1.7278144518169912e-05,1.8885453839142434e-05,1.888854470277659e-05,1.8885453839142434e-05,1.888854470277659e-05
