model_key,model_family,model_source,num_layers,hidden_size,sample_id,task,stage,target_anchor,history_start_anchor,history_length,candidate_id,candidate_source,deleted_position,exact_physical_kl,action_only_risk,dense_all_layer_mechanistic_risk,primary_boundary,primary_probe_layer,eligible_count,cache_length_baseline,cache_length_candidate,generator_action_argmin_candidate_id,generator_dense_argmin_candidate_id,generator_predicted_normalized_regret,b6_exact_map_risk,b6_path_k1_risk,b12_exact_map_risk,b12_path_k1_risk,b18_exact_map_risk,b18_path_k1_risk,b23_exact_map_risk,b23_path_k1_risk,relative_penultimate_exact_map_risk,relative_penultimate_path_k1_risk
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:142,qmsum,formal,64,32,32,physical_delete_low_random_77,low_random,77,8.816842747461372e-08,0.030738589219516457,9.272366947160568e-08,23,22,93,129,128,physical_delete_median_value_norm_70,physical_delete_low_random_77,1.0,5.033654514563337e-10,5.001063615821642e-10,1.1383763280582213e-06,1.1393690859148092e-06,1.1525421282401685e-07,1.151157062925588e-07,1.0011044399797229e-07,1.0006814955111953e-07,1.0011044399797229e-07,1.0006814955111953e-07
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:142,qmsum,formal,64,32,32,physical_delete_median_value_norm_70,median_value_norm,70,1.338326365685956e-05,0.028837389207171896,1.2997690562775907e-05,23,22,93,129,128,physical_delete_median_value_norm_70,physical_delete_low_random_77,1.0,7.956223494526088e-10,8.118465046790033e-10,2.0521465816680258e-08,2.0562018626390958e-08,1.4099695539646222e-05,1.4099521770202231e-05,1.33750055540195e-05,1.337367645143291e-05,1.33750055540195e-05,1.337367645143291e-05
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:142,qmsum,formal,64,32,32,physical_delete_median_aov_56,median_aov,56,2.753260437406425e-07,0.03406419934653384,2.7469758618026515e-07,23,22,93,129,128,physical_delete_median_value_norm_70,physical_delete_low_random_77,1.0,1.8447001009419784e-08,1.8350478787552218e-08,2.2859264192917482e-08,2.276672098063688e-08,9.578070732857414e-08,9.568826173972909e-08,2.2398783736455845e-07,2.240627282950127e-07,2.2398783736455845e-07,2.240627282950127e-07
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:142,qmsum,formal,64,32,32,physical_delete_high_age_95,high_age,95,3.5247092784994135e-07,0.06336030140953357,3.2424107603480345e-07,23,22,93,129,128,physical_delete_median_value_norm_70,physical_delete_low_random_77,1.0,1.1109839181306975e-08,1.101613815717085e-08,5.050068963986127e-07,5.039048617449681e-07,2.858918648187609e-07,2.8607543045589317e-07,2.7487658939548667e-07,2.748693347135834e-07,2.7487658939548667e-07,2.748693347135834e-07
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:142,qmsum,formal,64,32,32,physical_delete_low_v_ridge_52,low_v_ridge,52,4.627819783162826e-07,0.06570877054979556,4.479133601112177e-07,23,22,93,129,128,physical_delete_median_value_norm_70,physical_delete_low_random_77,1.0,1.3156269285633736e-08,1.3148316879544574e-08,3.230841564306087e-08,3.229583776154586e-08,2.6640637052912256e-07,2.6645110590410845e-07,6.488423832376611e-07,6.487973395532279e-07,6.488423832376611e-07,6.487973395532279e-07
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:142,qmsum,formal,64,32,32,physical_delete_median_key_query_30,median_key_query,30,8.766352625362953e-07,0.13549486767230848,8.7157097136513e-07,23,22,93,129,128,physical_delete_median_value_norm_70,physical_delete_low_random_77,1.0,2.670674815518868e-09,2.669551647323009e-09,4.825833418597591e-10,4.856301028881951e-10,2.7429695133442186e-09,2.724562663473753e-09,1.0011753403468758e-06,1.0010272238563507e-06,1.0011753403468758e-06,1.0010272238563507e-06
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:142,qmsum,formal,64,32,32,physical_delete_high_attention_1073,high_attention,1073,1.890874364695086e-06,0.18554391549863844,1.832525610722449e-06,23,22,93,129,128,physical_delete_median_value_norm_70,physical_delete_low_random_77,1.0,2.082815813975378e-06,2.0809902372542383e-06,2.5159491461174505e-06,2.519447611607612e-06,5.329502158429517e-07,5.324367036637831e-07,2.9262140889922206e-06,2.9263334338637414e-06,2.9262140889922206e-06,2.9263334338637414e-06
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:142,qmsum,formal,64,32,32,physical_delete_low_age_4,low_age,4,1.895994100105151e-06,0.09275540438548793,1.8874078241571207e-06,23,22,93,129,128,physical_delete_median_value_norm_70,physical_delete_low_random_77,1.0,8.130717475124604e-13,7.9290046263679e-13,6.965274643307572e-11,6.826798743932567e-11,4.6011349186467894e-10,4.57560754742734e-10,8.912965200326458e-08,8.917744933940332e-08,8.912965200326458e-08,8.917744933940332e-08
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:143,qmsum,formal,64,32,32,physical_delete_low_aov_22,low_aov,22,8.085075800864401e-11,1.3918076214599776e-05,8.105163756232036e-11,23,22,93,129,128,physical_delete_high_key_query_21,physical_delete_low_aov_22,1.0,3.774063770996978e-11,3.748758942577852e-11,3.7463363093041794e-11,3.722332240710086e-11,5.676418349087065e-11,5.624591096664933e-11,8.270238038083684e-11,8.208329982422289e-11,8.270238038083684e-11,8.208329982422289e-11
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:143,qmsum,formal,64,32,32,physical_delete_high_key_query_21,high_key_query,21,3.621030206498274e-09,1.2211866033825091e-05,3.6198152320379452e-09,23,22,93,129,128,physical_delete_high_key_query_21,physical_delete_low_aov_22,1.0,3.557409636016961e-09,3.550056914994788e-09,3.5532068929261832e-09,3.5539448862614405e-09,3.6231118969362484e-09,3.610244206703517e-09,3.618762049009893e-09,3.6148888054328964e-09,3.618762049009893e-09,3.6148888054328964e-09
