model_key,model_family,model_source,num_layers,hidden_size,sample_id,task,stage,target_anchor,history_start_anchor,history_length,candidate_id,candidate_source,deleted_position,exact_physical_kl,action_only_risk,dense_all_layer_mechanistic_risk,primary_boundary,primary_probe_layer,eligible_count,cache_length_baseline,cache_length_candidate,generator_action_argmin_candidate_id,generator_dense_argmin_candidate_id,generator_predicted_normalized_regret,b4_exact_map_risk,b4_path_k1_risk,b8_exact_map_risk,b8_path_k1_risk,b12_exact_map_risk,b12_path_k1_risk,b15_exact_map_risk,b15_path_k1_risk,relative_penultimate_exact_map_risk,relative_penultimate_path_k1_risk
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:144,qmsum,replication,64,32,32,physical_delete_median_v_ridge_19,median_v_ridge,19,1.643220801595357e-11,0.0003919984156367318,1.6367935025332944e-11,15,14,93,129,128,physical_delete_median_attention_12,physical_delete_median_v_ridge_19,0.031291473634199915,1.0606702109453313e-12,1.0578273170986151e-12,4.877041314881065e-12,4.876101601104737e-12,6.1046693649977725e-12,6.099437947653641e-12,1.458588778674038e-11,1.4581412397923432e-11,1.458588778674038e-11,1.4581412397923432e-11
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:144,qmsum,replication,64,32,32,physical_delete_median_attention_12,median_attention,12,2.3445545183657943e-11,0.00034119922728894324,2.3332073836941046e-11,15,14,93,129,128,physical_delete_median_attention_12,physical_delete_median_v_ridge_19,0.031291473634199915,5.023925630236415e-12,5.020803063236023e-12,1.974698464263168e-11,1.9747245101955893e-11,2.1656784323300244e-11,2.1652934536417552e-11,2.0324970822013836e-11,2.033704071864335e-11,2.0324970822013836e-11,2.033704071864335e-11
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:144,qmsum,replication,64,32,32,physical_delete_median_aor_20,median_aor,20,2.245710878165735e-11,0.0003971717042130631,2.259872409274635e-11,15,14,93,129,128,physical_delete_median_attention_12,physical_delete_median_v_ridge_19,0.031291473634199915,1.3241279027028145e-11,1.3237426014003546e-11,1.506771905623625e-11,1.5083918527657493e-11,2.2983009252068073e-11,2.2992997534987366e-11,2.6126930752586463e-11,2.611488432487666e-11,2.6126930752586463e-11,2.611488432487666e-11
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:144,qmsum,replication,64,32,32,physical_delete_median_value_norm_18,median_value_norm,18,5.282170766966202e-11,0.0006241207609898031,5.289087283247503e-11,15,14,93,129,128,physical_delete_median_attention_12,physical_delete_median_v_ridge_19,0.031291473634199915,5.5538670203420635e-12,5.542687359525182e-12,2.8234676169704375e-11,2.8220979813384697e-11,2.567460425464173e-11,2.5668810487432976e-11,4.845982550535855e-11,4.8500930274945524e-11,4.845982550535855e-11,4.8500930274945524e-11
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:144,qmsum,replication,64,32,32,physical_delete_high_age_1013,high_age,1013,1.5822329060015993e-10,0.00047113286545883706,1.5837013721352666e-10,15,14,93,129,128,physical_delete_median_attention_12,physical_delete_median_v_ridge_19,0.031291473634199915,2.5130298858443593e-11,2.511272302610363e-11,3.10895761517969e-11,3.104274382075731e-11,1.3215778564565587e-10,1.3216382318924505e-10,1.6111786274083394e-10,1.6113210852859244e-10,1.6111786274083394e-10,1.6113210852859244e-10
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:144,qmsum,replication,64,32,32,physical_delete_median_age_50,median_age,50,1.8232303281073005e-10,0.003205252634300923,1.8403480761630738e-10,15,14,93,129,128,physical_delete_median_attention_12,physical_delete_median_v_ridge_19,0.031291473634199915,1.7814042652910674e-12,1.7815413355128804e-12,4.435218745312567e-11,4.4349279001403943e-11,1.5459366637498828e-10,1.546266646382246e-10,1.8135651410404704e-10,1.8134910937235227e-10,1.8135651410404704e-10,1.8134910937235227e-10
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:144,qmsum,replication,64,32,32,physical_delete_median_aov_51,median_aov,51,2.0247309922470158e-10,0.002492554531910012,2.0303517577809165e-10,15,14,93,129,128,physical_delete_median_attention_12,physical_delete_median_v_ridge_19,0.031291473634199915,7.961070393579206e-13,7.932292161753563e-13,1.0852619980699257e-10,1.084755504769497e-10,2.0641353580129073e-10,2.0639177368324271e-10,2.0515243476864818e-10,2.0515175835532366e-10,2.0515243476864818e-10,2.0515175835532366e-10
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:144,qmsum,replication,64,32,32,physical_delete_median_random_10,median_random,10,2.408841483812007e-10,0.0017157804423632787,2.38925008975237e-10,15,14,93,129,128,physical_delete_median_attention_12,physical_delete_median_v_ridge_19,0.031291473634199915,7.490854878866457e-12,7.483409247451086e-12,4.387887474836598e-11,4.385153336091093e-11,3.4323527168485645e-11,3.432344145053106e-11,1.5430954844951975e-10,1.5429027203239068e-10,1.5430954844951975e-10,1.5429027203239068e-10
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:145,qmsum,replication,64,32,32,physical_delete_median_attention_12,median_attention,12,1.1329299195535043e-06,0.00930021559884647,1.0923016442020116e-06,15,14,93,129,128,physical_delete_low_age_4,physical_delete_median_attention_12,0.4114855004315698,3.1184405531565568e-09,3.136843648361313e-09,1.2383015916857249e-08,1.246428670579415e-08,1.9152756093804898e-07,1.9172970301068793e-07,1.133260841070449e-06,1.1329196733102778e-06,1.133260841070449e-06,1.1329196733102778e-06
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:145,qmsum,replication,64,32,32,physical_delete_low_age_4,low_age,4,5.6003678372103715e-06,0.004094937794910212,5.5377824398113585e-06,15,14,93,129,128,physical_delete_low_age_4,physical_delete_median_attention_12,0.4114855004315698,1.0505919759648077e-09,1.0477480817002019e-09,3.14217828019969e-08,3.1563053402076756e-08,3.8620086238189285e-06,3.862429337341217e-06,4.891283208841013e-06,4.891234683325268e-06,4.891283208841013e-06,4.891234683325268e-06
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:145,qmsum,replication,64,32,32,physical_delete_high_value_norm_44,high_value_norm,44,4.189899158710687e-06,0.004286854936481472,4.15492100280784e-06,15,14,93,129,128,physical_delete_low_age_4,physical_delete_median_attention_12,0.4114855004315698,7.94835856512239e-07,7.959292580022204e-07,2.2510181888057363e-06,2.2498142893231563e-06,3.870988561341864e-06,3.869395986645302e-06,4.453663346999481e-06,4.4537717353318075e-06,4.453663346999481e-06,4.4537717353318075e-06
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:145,qmsum,replication,64,32,32,physical_delete_median_random_9,median_random,9,6.583412723751755e-06,0.005050655406234773,6.668976903258399e-06,15,14,93,129,128,physical_delete_low_age_4,physical_delete_median_attention_12,0.4114855004315698,1.2295309229514272e-08,1.2268976495645546e-08,1.4391317955543938e-07,1.4373740950009552e-07,4.818910460469732e-06,4.817830702858624e-06,6.843774942468474e-06,6.840967163308177e-06,6.843774942468474e-06,6.840967163308177e-06
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:145,qmsum,replication,64,32,32,physical_delete_high_v_ridge_8,high_v_ridge,8,7.853698323730907e-06,0.05871253501806187,7.279975813417628e-06,15,14,93,129,128,physical_delete_low_age_4,physical_delete_median_attention_12,0.4114855004315698,1.141287339207598e-07,1.1427689957330415e-07,2.127328949144523e-07,2.126326124913397e-07,3.3873824538546644e-07,3.385831876091892e-07,7.0692689642340054e-06,7.084479120728574e-06,7.0692689642340054e-06,7.084479120728574e-06
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:145,qmsum,replication,64,32,32,physical_delete_median_aor_50,median_aor,50,1.077545387555501e-05,0.014343313064544887,1.1139777808698759e-05,15,14,93,129,128,physical_delete_low_age_4,physical_delete_median_attention_12,0.4114855004315698,2.2226870091455454e-08,2.2264471469610268e-08,4.968748611320815e-07,4.962984042143202e-07,6.6439552033965474e-06,6.641570782403539e-06,1.0692972879335712e-05,1.0689084844385836e-05,1.0692972879335712e-05,1.0689084844385836e-05
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:145,qmsum,replication,64,32,32,physical_delete_low_key_query_14,low_key_query,14,1.1913244185190954e-05,0.007444591815996481,1.166517186270349e-05,15,14,93,129,128,physical_delete_low_age_4,physical_delete_median_attention_12,0.4114855004315698,4.828628003682364e-07,4.834286838997543e-07,3.5381981743392763e-06,3.5363955572519936e-06,1.0277693077618947e-05,1.0278653295393056e-05,1.125930143387147e-05,1.1260975924949602e-05,1.125930143387147e-05,1.1260975924949602e-05
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,qmsum:145,qmsum,replication,64,32,32,physical_delete_median_value_norm_78,median_value_norm,78,1.1574169972087059e-05,0.010783405339995044,1.189579481940961e-05,15,14,93,129,128,physical_delete_low_age_4,physical_delete_median_attention_12,0.4114855004315698,1.5261982124862856e-08,1.521626700662815e-08,5.750014708610035e-09,5.736455360403627e-09,1.843128731871045e-06,1.8427552798867288e-06,1.1366798622011417e-05,1.1367897889809787e-05,1.1366798622011417e-05,1.1367897889809787e-05
llama32_1b,llama,mlx-community/Llama-3.2-1B-Instruct-4bit,16,2048,synthetic_vt_144,vt,replication,64,32,32,physical_delete_median_value_norm_61,median_value_norm,61,1.8797187216359104e-08,8.126496026791905e-05,1.8731513563330053e-08,15,14,93,129,128,physical_delete_high_value_norm_17,physical_delete_median_value_norm_61,0.24110578529636786,3.832942207945669e-09,3.850968773580145e-09,2.8700827803388484e-09,2.8590983566972977e-09,1.5352065918561453e-08,1.5378874435911227e-08,1.499913064434165e-08,1.499294690687021e-08,1.499913064434165e-08,1.499294690687021e-08
