model_key,model_family,model_source,num_layers,hidden_size,sample_id,task,stage,target_anchor,history_start_anchor,history_length,candidate_id,candidate_source,deleted_position,exact_physical_kl,action_only_risk,dense_all_layer_mechanistic_risk,primary_boundary,primary_probe_layer,eligible_count,cache_length_baseline,cache_length_candidate,generator_action_argmin_candidate_id,generator_dense_argmin_candidate_id,generator_predicted_normalized_regret,b6_exact_map_risk,b6_path_k1_risk,b12_exact_map_risk,b12_path_k1_risk,b18_exact_map_risk,b18_path_k1_risk,b23_exact_map_risk,b23_path_k1_risk,relative_penultimate_exact_map_risk,relative_penultimate_path_k1_risk
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:144,qmsum,replication,64,32,32,physical_delete_low_aor_22,low_aor,22,2.824418109491689e-08,2.3401443768331457e-05,2.8191353410696922e-08,23,22,93,129,128,physical_delete_high_key_query_21,physical_delete_low_aor_22,0.29446226854929447,3.824432438971834e-10,3.7536146354419443e-10,1.4647523915132229e-08,1.4615123565599208e-08,2.4587258217100358e-08,2.4666060391267464e-08,2.8445853091334515e-08,2.846571759639152e-08,2.8445853091334515e-08,2.846571759639152e-08
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:144,qmsum,replication,64,32,32,physical_delete_high_key_query_21,high_key_query,21,2.396929288386797e-07,1.94344747814309e-05,2.3957665364633793e-07,23,22,93,129,128,physical_delete_high_key_query_21,physical_delete_low_aor_22,0.29446226854929447,2.2630149199537834e-07,2.265264419553032e-07,2.3635662160335772e-07,2.3628304862241176e-07,2.391694057738553e-07,2.3917145056092444e-07,2.3986353291412927e-07,2.398017643213794e-07,2.3986353291412927e-07,2.398017643213794e-07
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:144,qmsum,replication,64,32,32,physical_delete_low_attention_14,low_attention,14,3.463377324953174e-08,3.442152550341808e-05,3.429855886729217e-08,23,22,93,129,128,physical_delete_high_key_query_21,physical_delete_low_aor_22,0.29446226854929447,4.638799750388769e-10,4.670086235907407e-10,5.425284861879537e-10,5.423477976058424e-10,7.667587348559349e-09,7.61332095657101e-09,3.3423175330339746e-08,3.3334369725976495e-08,3.3423175330339746e-08,3.3334369725976495e-08
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:144,qmsum,replication,64,32,32,physical_delete_low_aov_25,low_aov,25,7.299521392093941e-08,8.867653050120293e-05,7.313388330306878e-08,23,22,93,129,128,physical_delete_high_key_query_21,physical_delete_low_aor_22,0.29446226854929447,7.656707181393505e-10,7.712942187703016e-10,2.096460664788113e-09,2.0926260756951895e-09,1.24434638227035e-08,1.237910546306528e-08,8.417018034751031e-08,8.393965099021518e-08,8.417018034751031e-08,8.393965099021518e-08
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:144,qmsum,replication,64,32,32,physical_delete_median_v_ridge_40,median_v_ridge,40,1.4938545688277983e-07,0.00030753522592762736,1.4905519254942884e-07,23,22,93,129,128,physical_delete_high_key_query_21,physical_delete_low_aor_22,0.29446226854929447,4.138147413094501e-08,4.15208535528081e-08,3.957239140220419e-08,3.9546115498157754e-08,9.056721666873432e-08,9.042503570142236e-08,1.5466995295265015e-07,1.5480771356409018e-07,1.5466995295265015e-07,1.5480771356409018e-07
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:144,qmsum,replication,64,32,32,physical_delete_median_random_34,median_random,34,6.629489378827549e-07,0.001112851697996573,6.619376498574693e-07,23,22,93,129,128,physical_delete_high_key_query_21,physical_delete_low_aor_22,0.29446226854929447,9.924185195968973e-10,9.974492307167729e-10,2.073802917473216e-08,2.0798903610010913e-08,2.6952302540394547e-07,2.694562215272518e-07,5.126031209603578e-07,5.11970651859801e-07,5.126031209603578e-07,5.11970651859801e-07
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:144,qmsum,replication,64,32,32,physical_delete_median_key_query_39,median_key_query,39,6.675194936830281e-07,0.0007879409054990106,6.653798186348849e-07,23,22,93,129,128,physical_delete_high_key_query_21,physical_delete_low_aor_22,0.29446226854929447,8.749010162165441e-09,8.791082795777576e-09,2.088021516726224e-07,2.0934393379629638e-07,6.310224016976449e-07,6.310225939513828e-07,6.801430230437124e-07,6.809392778817102e-07,6.801430230437124e-07,6.809392778817102e-07
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:144,qmsum,replication,64,32,32,physical_delete_low_age_4,low_age,4,7.478715939629221e-07,0.0037100591252118183,7.460602378591438e-07,23,22,93,129,128,physical_delete_high_key_query_21,physical_delete_low_aor_22,0.29446226854929447,1.5295419713843889e-09,1.523184463416105e-09,2.5802652483395474e-09,2.5573462904262618e-09,5.0952216901019765e-09,5.106738943219305e-09,9.246595891669422e-07,9.249208767168611e-07,9.246595891669422e-07,9.249208767168611e-07
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:145,qmsum,replication,64,32,32,physical_delete_median_value_norm_13,median_value_norm,13,5.655834870929441e-07,0.0009747450491344421,5.649545671973033e-07,23,22,93,129,128,physical_delete_high_key_query_21,physical_delete_median_value_norm_13,0.3597875283938307,2.2566015490915043e-07,2.2545349224326115e-07,3.184531945937428e-07,3.175820768394231e-07,6.082534065460435e-07,6.077644249802408e-07,5.219432670511942e-07,5.215792434635824e-07,5.219432670511942e-07,5.215792434635824e-07
qwen25_05b,qwen,mlx-community/Qwen2.5-0.5B-Instruct-4bit,24,896,qmsum:145,qmsum,replication,64,32,32,physical_delete_high_key_query_21,high_key_query,21,1.4285549655451853e-06,2.511138330004679e-05,1.4307719543938183e-06,23,22,93,129,128,physical_delete_high_key_query_21,physical_delete_median_value_norm_13,0.3597875283938307,9.126999733272329e-07,9.132165777392051e-07,8.992168450702807e-07,9.001492716667451e-07,1.447749228923763e-06,1.4504922044841556e-06,1.4313490848178356e-06,1.4325859747966758e-06,1.4313490848178356e-06,1.4325859747966758e-06
