level,task,layer,head,future_horizon,method
global_fixed,*,-1,-1,1,ema_rho_0.25
global_fixed,*,-1,-1,4,ema_rho_0.5
global_fixed,*,-1,-1,16,ema_rho_0.8
global_fixed,*,-1,-1,32,ema_rho_0.8
task_fixed,gov_report,-1,-1,1,ema_rho_0.25
task_fixed,gov_report,-1,-1,4,ema_rho_0.5
task_fixed,gov_report,-1,-1,16,ema_rho_0.8
task_fixed,gov_report,-1,-1,32,ema_rho_0.8
task_fixed,niah_single_1,-1,-1,1,ema_rho_0.25
task_fixed,niah_single_1,-1,-1,4,ema_rho_0.5
task_fixed,niah_single_1,-1,-1,16,ema_rho_0.8
task_fixed,niah_single_1,-1,-1,32,ema_rho_0.8
per_head_fixed,*,0,0,1,ema_rho_0.8
per_head_fixed,*,0,0,4,ema_rho_0.8
per_head_fixed,*,0,0,16,ema_rho_0.8
per_head_fixed,*,0,0,32,ema_rho_0.8
per_head_fixed,*,0,1,1,ema_rho_0.25
per_head_fixed,*,0,1,4,ema_rho_0.5
per_head_fixed,*,0,1,16,ema_rho_0.5
per_head_fixed,*,0,1,32,ema_rho_0.5
per_head_fixed,*,0,2,1,ema_rho_0.5
per_head_fixed,*,0,2,4,ema_rho_0.5
per_head_fixed,*,0,2,16,ema_rho_0.5
per_head_fixed,*,0,2,32,ema_rho_0.8
per_head_fixed,*,0,3,1,ema_rho_0.8
per_head_fixed,*,0,3,4,ema_rho_0.8
per_head_fixed,*,0,3,16,ema_rho_0.9
per_head_fixed,*,0,3,32,ema_rho_0.9
per_head_fixed,*,0,4,1,ema_rho_0.25
per_head_fixed,*,0,4,4,ema_rho_0.25
per_head_fixed,*,0,4,16,ema_rho_0.25
per_head_fixed,*,0,4,32,ema_rho_0.5
per_head_fixed,*,0,5,1,ema_rho_0.5
per_head_fixed,*,0,5,4,ema_rho_0.5
per_head_fixed,*,0,5,16,ema_rho_0.5
per_head_fixed,*,0,5,32,ema_rho_0.5
per_head_fixed,*,0,6,1,ema_rho_0.8
per_head_fixed,*,0,6,4,ema_rho_0.8
per_head_fixed,*,0,6,16,ema_rho_0.8
per_head_fixed,*,0,6,32,ema_rho_0.8
per_head_fixed,*,0,7,1,ema_rho_0.5
per_head_fixed,*,0,7,4,ema_rho_0.5
per_head_fixed,*,0,7,16,ema_rho_0.5
per_head_fixed,*,0,7,32,ema_rho_0.5
per_head_fixed,*,7,0,1,ema_rho_0.25
per_head_fixed,*,7,0,4,ema_rho_0.9
per_head_fixed,*,7,0,16,ema_rho_0.9
per_head_fixed,*,7,0,32,ema_rho_0.9
per_head_fixed,*,7,1,1,ema_rho_0.25
per_head_fixed,*,7,1,4,ema_rho_0.25
per_head_fixed,*,7,1,16,ema_rho_0.99
per_head_fixed,*,7,1,32,ema_rho_0.99
per_head_fixed,*,7,2,1,ema_rho_0.25
per_head_fixed,*,7,2,4,ema_rho_0.5
per_head_fixed,*,7,2,16,ema_rho_0.8
per_head_fixed,*,7,2,32,ema_rho_0.8
per_head_fixed,*,7,3,1,ema_rho_0
per_head_fixed,*,7,3,4,ema_rho_0.5
per_head_fixed,*,7,3,16,ema_rho_0.5
per_head_fixed,*,7,3,32,ema_rho_0.5
per_head_fixed,*,7,4,1,ema_rho_0.25
per_head_fixed,*,7,4,4,ema_rho_0.25
per_head_fixed,*,7,4,16,ema_rho_0.8
per_head_fixed,*,7,4,32,ema_rho_0.8
per_head_fixed,*,7,5,1,ema_rho_0
per_head_fixed,*,7,5,4,ema_rho_0.25
per_head_fixed,*,7,5,16,ema_rho_0.8
per_head_fixed,*,7,5,32,ema_rho_0.8
per_head_fixed,*,7,6,1,ema_rho_0
per_head_fixed,*,7,6,4,ema_rho_0.25
per_head_fixed,*,7,6,16,ema_rho_0.8
per_head_fixed,*,7,6,32,ema_rho_0.9
per_head_fixed,*,7,7,1,ema_rho_0
per_head_fixed,*,7,7,4,ema_rho_0
per_head_fixed,*,7,7,16,ema_rho_0.8
per_head_fixed,*,7,7,32,ema_rho_0.8
per_head_fixed,*,14,0,1,ema_rho_0
per_head_fixed,*,14,0,4,ema_rho_0.8
per_head_fixed,*,14,0,16,ema_rho_0.9
per_head_fixed,*,14,0,32,ema_rho_0.9
per_head_fixed,*,14,1,1,ema_rho_0.25
per_head_fixed,*,14,1,4,ema_rho_0.5
per_head_fixed,*,14,1,16,ema_rho_0.9
per_head_fixed,*,14,1,32,ema_rho_0.95
per_head_fixed,*,14,2,1,ema_rho_0.25
per_head_fixed,*,14,2,4,ema_rho_0.5
per_head_fixed,*,14,2,16,ema_rho_0.8
per_head_fixed,*,14,2,32,ema_rho_0.8
per_head_fixed,*,14,3,1,ema_rho_0.25
per_head_fixed,*,14,3,4,ema_rho_0.5
per_head_fixed,*,14,3,16,ema_rho_0.8
per_head_fixed,*,14,3,32,ema_rho_0.8
per_head_fixed,*,14,4,1,ema_rho_0.25
per_head_fixed,*,14,4,4,ema_rho_0.5
per_head_fixed,*,14,4,16,ema_rho_0.9
per_head_fixed,*,14,4,32,ema_rho_0.9
per_head_fixed,*,14,5,1,ema_rho_0
per_head_fixed,*,14,5,4,ema_rho_0.25
per_head_fixed,*,14,5,16,ema_rho_0.8
per_head_fixed,*,14,5,32,ema_rho_0.8
per_head_fixed,*,14,6,1,ema_rho_0.25
per_head_fixed,*,14,6,4,ema_rho_0.5
per_head_fixed,*,14,6,16,ema_rho_0.8
per_head_fixed,*,14,6,32,ema_rho_0.5
per_head_fixed,*,14,7,1,ema_rho_0.25
per_head_fixed,*,14,7,4,ema_rho_0.5
per_head_fixed,*,14,7,16,ema_rho_0.8
per_head_fixed,*,14,7,32,ema_rho_0.8
per_head_fixed,*,15,0,1,ema_rho_0.5
per_head_fixed,*,15,0,4,ema_rho_0.8
per_head_fixed,*,15,0,16,ema_rho_0.9
per_head_fixed,*,15,0,32,ema_rho_0.8
per_head_fixed,*,15,1,1,ema_rho_0.25
per_head_fixed,*,15,1,4,ema_rho_0.5
per_head_fixed,*,15,1,16,ema_rho_0.8
per_head_fixed,*,15,1,32,ema_rho_0.8
per_head_fixed,*,15,2,1,ema_rho_0.25
per_head_fixed,*,15,2,4,ema_rho_0.5
per_head_fixed,*,15,2,16,ema_rho_0.9
per_head_fixed,*,15,2,32,ema_rho_0.8
per_head_fixed,*,15,3,1,ema_rho_0.25
per_head_fixed,*,15,3,4,ema_rho_0.5
per_head_fixed,*,15,3,16,ema_rho_0.9
per_head_fixed,*,15,3,32,ema_rho_0.5
per_head_fixed,*,15,4,1,ema_rho_0.25
per_head_fixed,*,15,4,4,ema_rho_0.5
per_head_fixed,*,15,4,16,ema_rho_0.9
per_head_fixed,*,15,4,32,ema_rho_0.8
per_head_fixed,*,15,5,1,ema_rho_0.25
per_head_fixed,*,15,5,4,ema_rho_0.5
per_head_fixed,*,15,5,16,ema_rho_0.5
per_head_fixed,*,15,5,32,ema_rho_0.9
per_head_fixed,*,15,6,1,ema_rho_0.25
per_head_fixed,*,15,6,4,ema_rho_0.5
per_head_fixed,*,15,6,16,ema_rho_0.8
per_head_fixed,*,15,6,32,ema_rho_0.8
per_head_fixed,*,15,7,1,ema_rho_0.25
per_head_fixed,*,15,7,4,ema_rho_0.5
per_head_fixed,*,15,7,16,ema_rho_0.9
per_head_fixed,*,15,7,32,ema_rho_0.8
per_head_fixed,*,21,0,1,ema_rho_0
per_head_fixed,*,21,0,4,ema_rho_0.25
per_head_fixed,*,21,0,16,ema_rho_0.8
per_head_fixed,*,21,0,32,ema_rho_0.8
per_head_fixed,*,21,1,1,ema_rho_0.25
per_head_fixed,*,21,1,4,ema_rho_0.5
per_head_fixed,*,21,1,16,ema_rho_0.8
per_head_fixed,*,21,1,32,ema_rho_0.8
per_head_fixed,*,21,2,1,ema_rho_0.25
per_head_fixed,*,21,2,4,ema_rho_0.5
per_head_fixed,*,21,2,16,ema_rho_0.8
per_head_fixed,*,21,2,32,ema_rho_0.5
per_head_fixed,*,21,3,1,ema_rho_0.25
per_head_fixed,*,21,3,4,ema_rho_0.5
per_head_fixed,*,21,3,16,ema_rho_0.8
per_head_fixed,*,21,3,32,ema_rho_0.8
per_head_fixed,*,21,4,1,ema_rho_0.25
per_head_fixed,*,21,4,4,ema_rho_0.25
per_head_fixed,*,21,4,16,ema_rho_0.8
per_head_fixed,*,21,4,32,ema_rho_0.5
per_head_fixed,*,21,5,1,ema_rho_0.25
per_head_fixed,*,21,5,4,ema_rho_0.5
per_head_fixed,*,21,5,16,ema_rho_0.8
per_head_fixed,*,21,5,32,ema_rho_0.5
per_head_fixed,*,21,6,1,ema_rho_0.25
per_head_fixed,*,21,6,4,ema_rho_0.5
per_head_fixed,*,21,6,16,ema_rho_0.8
per_head_fixed,*,21,6,32,ema_rho_0.5
per_head_fixed,*,21,7,1,ema_rho_0.25
per_head_fixed,*,21,7,4,ema_rho_0.5
per_head_fixed,*,21,7,16,ema_rho_0.8
per_head_fixed,*,21,7,32,ema_rho_0.5
per_head_fixed,*,27,0,1,ema_rho_0.5
per_head_fixed,*,27,0,4,ema_rho_0.5
per_head_fixed,*,27,0,16,ema_rho_0.5
per_head_fixed,*,27,0,32,ema_rho_0.8
per_head_fixed,*,27,1,1,ema_rho_0.25
per_head_fixed,*,27,1,4,ema_rho_0.5
per_head_fixed,*,27,1,16,ema_rho_0.8
per_head_fixed,*,27,1,32,ema_rho_0.8
per_head_fixed,*,27,2,1,ema_rho_0.25
per_head_fixed,*,27,2,4,ema_rho_0.5
per_head_fixed,*,27,2,16,ema_rho_0.8
per_head_fixed,*,27,2,32,ema_rho_0.8
per_head_fixed,*,27,3,1,ema_rho_0.25
per_head_fixed,*,27,3,4,ema_rho_0.5
per_head_fixed,*,27,3,16,ema_rho_0.9
per_head_fixed,*,27,3,32,ema_rho_0.8
per_head_fixed,*,27,4,1,ema_rho_0.25
per_head_fixed,*,27,4,4,ema_rho_0.25
per_head_fixed,*,27,4,16,ema_rho_0.8
per_head_fixed,*,27,4,32,ema_rho_0.8
per_head_fixed,*,27,5,1,ema_rho_0.8
per_head_fixed,*,27,5,4,ema_rho_0.8
per_head_fixed,*,27,5,16,ema_rho_0.8
per_head_fixed,*,27,5,32,ema_rho_0.8
per_head_fixed,*,27,6,1,ema_rho_0.5
per_head_fixed,*,27,6,4,ema_rho_0.8
per_head_fixed,*,27,6,16,ema_rho_0.8
per_head_fixed,*,27,6,32,ema_rho_0.8
per_head_fixed,*,27,7,1,ema_rho_0.25
per_head_fixed,*,27,7,4,ema_rho_0.5
per_head_fixed,*,27,7,16,ema_rho_0.8
per_head_fixed,*,27,7,32,ema_rho_0.8
