sample_id,task,layer,head,future_horizon,method,token_time_choices,choice_fraction
gov_report:87,gov_report,0,0,1,ema_rho_0,11961,0.2054730983302412
gov_report:87,gov_report,0,0,1,ema_rho_0.999,5841,0.10034013605442177
gov_report:87,gov_report,0,0,1,ema_rho_0.5,7677,0.1318800247371676
gov_report:87,gov_report,0,0,1,ema_rho_0.8,8517,0.14631003916718202
gov_report:87,gov_report,0,0,1,ema_rho_0.25,5561,0.09553013124441696
gov_report:87,gov_report,0,0,1,ema_rho_0.99,3881,0.0666701023843881
gov_report:87,gov_report,0,0,1,ema_rho_0.95,6234,0.10709132137703566
gov_report:87,gov_report,0,0,1,ema_rho_0.995,1838,0.031574245859960146
gov_report:87,gov_report,0,0,1,ema_rho_0.9,6702,0.11513090084518655
gov_report:87,gov_report,0,0,4,ema_rho_0,9990,0.18048780487804877
gov_report:87,gov_report,0,0,4,ema_rho_0.999,4273,0.0771996386630533
gov_report:87,gov_report,0,0,4,ema_rho_0.5,7496,0.13542908762420958
gov_report:87,gov_report,0,0,4,ema_rho_0.99,3430,0.061969286359530265
gov_report:87,gov_report,0,0,4,ema_rho_0.25,5482,0.09904245709123757
gov_report:87,gov_report,0,0,4,ema_rho_0.8,9096,0.16433604336043361
gov_report:87,gov_report,0,0,4,ema_rho_0.9,7416,0.13398373983739836
gov_report:87,gov_report,0,0,4,ema_rho_0.95,6554,0.11841011743450768
gov_report:87,gov_report,0,0,4,ema_rho_0.995,1613,0.02914182475158085
gov_report:87,gov_report,0,0,16,ema_rho_0,7706,0.17516821240225497
gov_report:87,gov_report,0,0,16,ema_rho_0.999,3197,0.07267230405528279
gov_report:87,gov_report,0,0,16,ema_rho_0.25,4301,0.09776777595926532
gov_report:87,gov_report,0,0,16,ema_rho_0.5,6129,0.13932078559738134
gov_report:87,gov_report,0,0,16,ema_rho_0.99,2505,0.05694217130387343
gov_report:87,gov_report,0,0,16,ema_rho_0.8,7732,0.1757592289507183
gov_report:87,gov_report,0,0,16,ema_rho_0.995,1216,0.027641389343517002
gov_report:87,gov_report,0,0,16,ema_rho_0.95,5067,0.11518003273322422
gov_report:87,gov_report,0,0,16,ema_rho_0.9,6139,0.13954809965448264
gov_report:87,gov_report,0,0,32,ema_rho_0,5510,0.18952944413869016
gov_report:87,gov_report,0,0,32,ema_rho_0.8,5339,0.18364749587231702
gov_report:87,gov_report,0,0,32,ema_rho_0.999,2271,0.07811640066042928
gov_report:87,gov_report,0,0,32,ema_rho_0.5,4120,0.14171711612548157
gov_report:87,gov_report,0,0,32,ema_rho_0.25,2941,0.10116263070996148
gov_report:87,gov_report,0,0,32,ema_rho_0.995,825,0.028377820583379197
gov_report:87,gov_report,0,0,32,ema_rho_0.99,1597,0.054932581177765546
gov_report:87,gov_report,0,0,32,ema_rho_0.95,2687,0.09242570170610898
gov_report:87,gov_report,0,0,32,ema_rho_0.9,3782,0.1300908090258668
gov_report:87,gov_report,0,1,1,ema_rho_0,16618,0.2854737854737855
gov_report:87,gov_report,0,1,1,ema_rho_0.999,4937,0.0848106919535491
gov_report:87,gov_report,0,1,1,ema_rho_0.99,3311,0.056878306878306875
gov_report:87,gov_report,0,1,1,ema_rho_0.995,1522,0.026145811860097574
gov_report:87,gov_report,0,1,1,ema_rho_0.25,6008,0.1032089603518175
gov_report:87,gov_report,0,1,1,ema_rho_0.9,5834,0.10021988593417165
gov_report:87,gov_report,0,1,1,ema_rho_0.8,7524,0.1292517006802721
gov_report:87,gov_report,0,1,1,ema_rho_0.5,7269,0.1248711605854463
gov_report:87,gov_report,0,1,1,ema_rho_0.95,5189,0.08913969628255343
gov_report:87,gov_report,0,1,4,ema_rho_0,11557,0.2087985546522132
gov_report:87,gov_report,0,1,4,ema_rho_0.999,4558,0.0823486901535682
gov_report:87,gov_report,0,1,4,ema_rho_0.99,3182,0.05748870822041554
gov_report:87,gov_report,0,1,4,ema_rho_0.995,1441,0.026034327009936766
gov_report:87,gov_report,0,1,4,ema_rho_0.8,8267,0.14935862691960253
gov_report:87,gov_report,0,1,4,ema_rho_0.5,8191,0.1479855465221319
gov_report:87,gov_report,0,1,4,ema_rho_0.9,6567,0.1186449864498645
gov_report:87,gov_report,0,1,4,ema_rho_0.25,5788,0.10457091237579043
gov_report:87,gov_report,0,1,4,ema_rho_0.95,5799,0.10476964769647697
gov_report:87,gov_report,0,1,16,ema_rho_0,9140,0.20776504819058011
gov_report:87,gov_report,0,1,16,ema_rho_0.999,4023,0.09144844517184943
gov_report:87,gov_report,0,1,16,ema_rho_0.99,2719,0.06180669212584106
gov_report:87,gov_report,0,1,16,ema_rho_0.995,1087,0.024709038006910346
gov_report:87,gov_report,0,1,16,ema_rho_0.8,6419,0.1459128932533188
gov_report:87,gov_report,0,1,16,ema_rho_0.5,5650,0.1284324422622295
gov_report:87,gov_report,0,1,16,ema_rho_0.9,5767,0.1310920167303146
gov_report:87,gov_report,0,1,16,ema_rho_0.25,4517,0.10267775959265321
gov_report:87,gov_report,0,1,16,ema_rho_0.95,4670,0.10615566466630297
gov_report:87,gov_report,0,1,32,ema_rho_0,6524,0.2244083654375344
gov_report:87,gov_report,0,1,32,ema_rho_0.5,3626,0.12472482113373692
gov_report:87,gov_report,0,1,32,ema_rho_0.8,4455,0.15324023115024765
gov_report:87,gov_report,0,1,32,ema_rho_0.25,2740,0.09424876169510181
gov_report:87,gov_report,0,1,32,ema_rho_0.995,755,0.025970005503577327
gov_report:87,gov_report,0,1,32,ema_rho_0.9,3312,0.11392405063291139
gov_report:87,gov_report,0,1,32,ema_rho_0.99,1720,0.05916345624656026
gov_report:87,gov_report,0,1,32,ema_rho_0.999,3273,0.11258255365987892
gov_report:87,gov_report,0,1,32,ema_rho_0.95,2667,0.0917377545404513
gov_report:87,gov_report,0,2,1,ema_rho_0,14163,0.24330035044320758
gov_report:87,gov_report,0,2,1,ema_rho_0.25,6694,0.11499347213632928
gov_report:87,gov_report,0,2,1,ema_rho_0.995,1652,0.02837902837902838
gov_report:87,gov_report,0,2,1,ema_rho_0.5,7798,0.13395863395863397
gov_report:87,gov_report,0,2,1,ema_rho_0.99,3483,0.05983302411873841
gov_report:87,gov_report,0,2,1,ema_rho_0.8,7942,0.136432350718065
gov_report:87,gov_report,0,2,1,ema_rho_0.9,6052,0.10396481825053254
gov_report:87,gov_report,0,2,1,ema_rho_0.95,5663,0.09728234728234728
gov_report:87,gov_report,0,2,1,ema_rho_0.999,4765,0.08185597471311758
gov_report:87,gov_report,0,2,4,ema_rho_0,11010,0.1989159891598916
gov_report:87,gov_report,0,2,4,ema_rho_0.5,7598,0.13727190605239387
gov_report:87,gov_report,0,2,4,ema_rho_0.25,5822,0.10518518518518519
gov_report:87,gov_report,0,2,4,ema_rho_0.8,8401,0.1517795844625113
gov_report:87,gov_report,0,2,4,ema_rho_0.995,1588,0.02869015356820235
gov_report:87,gov_report,0,2,4,ema_rho_0.99,3778,0.06825654923215899
gov_report:87,gov_report,0,2,4,ema_rho_0.9,6621,0.11962059620596206
gov_report:87,gov_report,0,2,4,ema_rho_0.95,6236,0.11266485998193315
gov_report:87,gov_report,0,2,4,ema_rho_0.999,4296,0.07761517615176151
gov_report:87,gov_report,0,2,16,ema_rho_0,7798,0.17725950172758684
gov_report:87,gov_report,0,2,16,ema_rho_0.25,4357,0.09904073467903256
gov_report:87,gov_report,0,2,16,ema_rho_0.5,6062,0.1377977814148027
gov_report:87,gov_report,0,2,16,ema_rho_0.995,1253,0.02848245135479178
gov_report:87,gov_report,0,2,16,ema_rho_0.99,3098,0.07042189488997999
gov_report:87,gov_report,0,2,16,ema_rho_0.8,7104,0.16148390616475722
gov_report:87,gov_report,0,2,16,ema_rho_0.9,5539,0.12590925622840515
gov_report:87,gov_report,0,2,16,ema_rho_0.95,5382,0.12234042553191489
gov_report:87,gov_report,0,2,16,ema_rho_0.999,3399,0.07726404800872887
gov_report:87,gov_report,0,2,32,ema_rho_0,5662,0.1947578425976885
gov_report:87,gov_report,0,2,32,ema_rho_0.25,2909,0.10006191524490919
gov_report:87,gov_report,0,2,32,ema_rho_0.995,697,0.02397495872317006
gov_report:87,gov_report,0,2,32,ema_rho_0.5,4125,0.141889102916896
gov_report:87,gov_report,0,2,32,ema_rho_0.99,1721,0.05919785360484315
gov_report:87,gov_report,0,2,32,ema_rho_0.8,4893,0.1683062740781508
gov_report:87,gov_report,0,2,32,ema_rho_0.9,3723,0.12806136488717668
gov_report:87,gov_report,0,2,32,ema_rho_0.999,2354,0.08097138139790865
gov_report:87,gov_report,0,2,32,ema_rho_0.95,2988,0.10277930654925702
gov_report:87,gov_report,0,3,1,ema_rho_0,12372,0.21253349824778398
gov_report:87,gov_report,0,3,1,ema_rho_0.5,6889,0.11834329691472549
gov_report:87,gov_report,0,3,1,ema_rho_0.999,8344,0.14333814333814335
gov_report:87,gov_report,0,3,1,ema_rho_0.25,5551,0.09535834535834536
gov_report:87,gov_report,0,3,1,ema_rho_0.95,5815,0.09989349275063561
gov_report:87,gov_report,0,3,1,ema_rho_0.8,6676,0.1146842575414004
gov_report:87,gov_report,0,3,1,ema_rho_0.99,4489,0.0771146842575414
gov_report:87,gov_report,0,3,1,ema_rho_0.9,5239,0.08999862571291142
gov_report:87,gov_report,0,3,1,ema_rho_0.995,2837,0.04873565587851302
gov_report:87,gov_report,0,3,4,ema_rho_0,10362,0.18720867208672087
gov_report:87,gov_report,0,3,4,ema_rho_0.8,6987,0.1262330623306233
gov_report:87,gov_report,0,3,4,ema_rho_0.5,6792,0.122710027100271
gov_report:87,gov_report,0,3,4,ema_rho_0.9,5919,0.10693766937669377
gov_report:87,gov_report,0,3,4,ema_rho_0.25,5615,0.1014453477868112
gov_report:87,gov_report,0,3,4,ema_rho_0.999,6348,0.11468834688346884
gov_report:87,gov_report,0,3,4,ema_rho_0.995,2659,0.04803974706413731
gov_report:87,gov_report,0,3,4,ema_rho_0.99,4302,0.07772357723577236
gov_report:87,gov_report,0,3,4,ema_rho_0.95,6366,0.11501355013550135
