top_k,window,quantile,task,ri_fraction_a,ri_fraction_b
5,4,0.05,niah_multikey_1,0.0,0.08065018629234608
5,4,0.05,niah_multiquery,0.0,0.09147235360505168
5,4,0.05,niah_single_1,0.0,0.09084955531859232
5,4,0.05,vt,0.0014206750232305197,0.0893805501644836
5,4,0.1,niah_multikey_1,0.0,0.08065018629234608
5,4,0.1,niah_multiquery,0.0,0.09147235360505168
5,4,0.1,niah_single_1,0.0,0.09084955531859232
5,4,0.1,vt,0.0,0.0893805501644836
5,4,0.25,niah_multikey_1,0.0,0.08065018629234608
5,4,0.25,niah_multiquery,0.0,0.09147235360505168
5,4,0.25,niah_single_1,0.0,0.09084955531859232
5,4,0.25,vt,0.0,0.0893805501644836
5,8,0.05,niah_multikey_1,0.0,0.037204832705119026
5,8,0.05,niah_multiquery,0.0,0.030008758126636243
5,8,0.05,niah_single_1,0.0,0.050213022276724584
5,8,0.05,vt,0.0,0.05470985524691152
5,8,0.1,niah_multikey_1,0.0,0.037204832705119026
5,8,0.1,niah_multiquery,0.0,0.030008758126636243
5,8,0.1,niah_single_1,0.0,0.050213022276724584
5,8,0.1,vt,0.0,0.05470985524691152
5,8,0.25,niah_multikey_1,0.0,0.037204832705119026
5,8,0.25,niah_multiquery,0.0,0.030008758126636243
5,8,0.25,niah_single_1,0.0,0.050213022276724584
5,8,0.25,vt,0.0,0.05470985524691152
5,16,0.05,niah_multikey_1,0.0,0.02030050803435033
5,16,0.05,niah_multiquery,0.0,0.015275795239287487
5,16,0.05,niah_single_1,0.0,0.018770836878407637
5,16,0.05,vt,0.0,0.02334532533528323
5,16,0.1,niah_multikey_1,0.0,0.02030050803435033
5,16,0.1,niah_multiquery,0.0,0.015275795239287487
5,16,0.1,niah_single_1,0.0,0.018770836878407637
5,16,0.1,vt,0.0,0.02334532533528323
5,16,0.25,niah_multikey_1,0.0,0.02030050803435033
5,16,0.25,niah_multiquery,0.0,0.015275795239287487
5,16,0.25,niah_single_1,0.0,0.018770836878407637
5,16,0.25,vt,0.0,0.02334532533528323
10,4,0.05,niah_multikey_1,0.002500035635522875,0.1856447014253294
10,4,0.05,niah_multiquery,0.0012895923866456168,0.17871351362626184
10,4,0.05,niah_single_1,0.0,0.17529885507323376
10,4,0.05,vt,0.0016755854194287518,0.1559876990477735
10,4,0.1,niah_multikey_1,0.0,0.1856447014253294
10,4,0.1,niah_multiquery,0.0,0.17871351362626184
10,4,0.1,niah_single_1,0.0,0.17529885507323376
10,4,0.1,vt,0.0,0.1559876990477735
10,4,0.25,niah_multikey_1,0.0,0.1856447014253294
10,4,0.25,niah_multiquery,0.0,0.17871351362626184
10,4,0.25,niah_single_1,0.0,0.17529885507323376
10,4,0.25,vt,0.0,0.1559876990477735
10,8,0.05,niah_multikey_1,0.0013383209478905994,0.11714992623670946
10,8,0.05,niah_multiquery,0.000854352049289693,0.08847904781804392
10,8,0.05,niah_single_1,0.0,0.12097443518170344
10,8,0.05,vt,0.00042385004618616706,0.09853568447990248
10,8,0.1,niah_multikey_1,0.0,0.11714992623670946
10,8,0.1,niah_multiquery,0.0,0.08847904781804392
10,8,0.1,niah_single_1,0.0,0.12097443518170344
10,8,0.1,vt,0.0,0.09853568447990248
10,8,0.25,niah_multikey_1,0.0,0.11714992623670946
10,8,0.25,niah_multiquery,0.0,0.08847904781804392
10,8,0.25,niah_single_1,0.0,0.12097443518170344
10,8,0.25,vt,0.0,0.09853568447990248
10,16,0.05,niah_multikey_1,0.001187718538252045,0.09241950240539275
10,16,0.05,niah_multiquery,0.0005644605491430716,0.06501200817254439
10,16,0.05,niah_single_1,0.0,0.06601264788210723
10,16,0.05,vt,0.00013774104683195594,0.056707157671790374
10,16,0.1,niah_multikey_1,0.0,0.09241950240539275
10,16,0.1,niah_multiquery,0.0,0.06501200817254439
10,16,0.1,niah_single_1,0.0,0.06601264788210723
10,16,0.1,vt,0.0,0.056707157671790374
10,16,0.25,niah_multikey_1,0.0,0.09241950240539275
