method,method_family,causal,learned,rollout,counterfactual,future_horizon,future_recall,oracle_gap_recovery,recovery_ci_low,recovery_ci_high,spearman,pairwise_accuracy,ndcg,sequence_win_rate,closed_loop_kl,task_score,runtime_multiplier,peak_memory,test_split
CAUSAL_EXPENSIVE_ROLLOUT_R1_FULL_SHADOW,rollout,True,False,True,False,1,0.9833344606782107,0.9723747179787801,0.9260881836244181,0.9986278756570708,0.9959602568047798,0.9907194600396798,0.995118964628549,1.0,,,2.9442221826130996,6369910200.0,validation
CAUSAL_EXPENSIVE_ROLLOUT_R2_PREFIX_RECOMPUTE,rollout,True,False,True,False,1,0.9826242334054834,0.9723655915045987,0.9263012627875726,0.9984936527346769,0.9958814076399916,0.9903488068238712,0.9950926132883561,1.0,,,46.015852084949266,7392910960.0,validation
rollout_distilled_mlp,rollout_distillation,True,True,False,False,1,0.7412348935786437,0.022950286158066786,-0.009797713631566124,0.05405765381426446,0.8326515494417557,0.8328459102550351,0.7641637992678774,0.6666666666666666,,,1.0166457217139035,,validation
deepsets,set_predictor,True,True,False,False,1,0.7411728896103897,0.014718902478383245,-0.013984196403167944,0.03843038974244961,0.838441969288873,0.8380257645840191,0.8050001619215733,0.6666666666666666,,,1.0957631366500378,,validation
hist_gbdt,classical_predictor,True,True,False,False,1,0.7468152507215007,0.011306921138352924,-0.031077897014359313,0.0505160721224034,0.8407785275508052,0.8381675253464977,0.6891852057584069,0.6190476190476191,,,3.870713552185772,,validation
best_per_head_fixed_ema,fixed,True,False,False,False,1,0.7311710858585859,0.0,0.0,0.0,0.8272469455199492,0.8311555700137893,0.801194525416567,0.0,,,1.0,,validation
deepsets_utility,set_predictor,True,True,False,False,1,0.7260010822510822,-0.02080072031793459,-0.04853067051854417,0.002709440963001674,0.8073279741905169,0.8209730606762281,0.8034082913972146,0.42857142857142855,,,1.0957720467999723,,validation
feature_ridge_D_qk_geometry,feature_ablation,True,True,False,False,1,0.7249053030303031,-0.022923667651849076,-0.06439619668204291,0.014492729984614953,0.8153980592599356,0.8242796882759995,0.8015933856856438,0.3333333333333333,,,1.0099634863124831,,validation
feature_ridge_E_value_state,feature_ablation,True,True,False,False,1,0.7232571248196248,-0.02927974454729338,-0.07046855966664531,0.00863353443832812,0.8127037541108029,0.8225008068910362,0.801396674812933,0.3333333333333333,,,1.0085703733273248,,validation
temporal_gru,temporal_predictor,True,True,False,False,1,0.7412022005772005,-0.0340557084108236,-0.06731098703672764,-0.002996181298343901,0.836392377189198,0.8356475338800516,0.745935578581083,0.42857142857142855,,,1.2075373690079638,,validation
feature_ridge_A_history_J_statekv,feature_ablation,True,True,False,False,1,0.727219742063492,-0.0360809767527915,-0.07340039208497932,-0.0015383564990272063,0.8219358758649784,0.8284138604271066,0.8012068276995243,0.23809523809523808,,,1.0559136743098694,,validation
feature_ridge_B_current_query,feature_ablation,True,True,False,False,1,0.7265241702741703,-0.03732011335170969,-0.07451859885554275,-0.0026294765827703267,0.8210225137820574,0.8279152340514295,0.8011205473878252,0.23809523809523808,,,1.013079282039287,,validation
feature_ridge_F_current_state,feature_ablation,True,True,False,False,1,0.7221703643578644,-0.038100714604206984,-0.08017628718371884,0.0007578210699841652,0.8110255480471755,0.821630826822298,0.8012635986432626,0.2857142857142857,,,1.0093583488896274,,validation
feature_ridge_H_query_trajectory,feature_ablation,True,True,False,False,1,0.722227858946609,-0.03844043585637856,-0.08012691214577412,0.0002468826730537856,0.8104935704792402,0.8213216777735608,0.8012596518655871,0.2857142857142857,,,1.0100661057370068,,validation
feature_ridge_I_global_full,feature_ablation,True,True,False,False,1,0.7198829816017316,-0.042499929873059984,-0.08451929314419866,-0.0034618078405441108,0.8060904374141222,0.8189517295149483,0.8009156181507725,0.2857142857142857,,,1.0098951507652814,,validation
feature_ridge_C_token_key,feature_ablation,True,True,False,False,1,0.7224623466810967,-0.04314876022020139,-0.07863384575578602,-0.009121538209914801,0.8149232011475883,0.8237705998969321,0.8006016878775002,0.23809523809523808,,,1.0109020812288032,,validation
query_conditioned_mlp,tokenwise_neural,True,True,False,False,1,0.7397321428571428,-0.04729032749984903,-0.07699418998582898,-0.019983794659835612,0.8346926148900382,0.8345003660531337,0.7814791118106121,0.23809523809523808,,,1.0791648111878256,,validation
rollout_distilled_mlp_utility,rollout_distillation,True,True,False,False,1,0.7253325667388167,-0.05397241193898627,-0.08006352554971317,-0.030126450164642014,0.8223754565999697,0.8273761144930464,0.7966197176288569,0.14285714285714285,,,1.0166457217139035,,validation
ridge,classical_predictor,True,True,False,False,1,0.7189574314574314,-0.05928738791343928,-0.10128268725308294,-0.018677933198732417,0.8048164938256045,0.8182980455585129,0.8003903858763537,0.19047619047619047,,,1.007011790946794,,validation
query_conditioned_mlp_utility,tokenwise_neural,True,True,False,False,1,0.7252807088744588,-0.06632469235518727,-0.09226878389182722,-0.04302721594780292,0.8247970489224644,0.8292577948226029,0.7996948455077474,0.0,,,1.0791724825204851,,validation
temporal_gru_utility,temporal_predictor,True,True,False,False,1,0.7093175054112555,-0.13691599504245983,-0.18300979357838346,-0.0962006764810648,0.8255782277368058,0.8296083005019264,0.7757963081317747,0.0,,,1.2075454141902633,,validation
history_logistic,classical_predictor,True,True,False,False,1,0.7319715007215007,-0.15732946639427642,-0.1985741393217775,-0.12267119402130904,0.8284522099802788,0.8327162685486926,0.7859990412198881,0.0,,,1.009092172660515,,validation
FULL_CACHE_REFERENCE_B0,full_cache_reference,True,False,False,False,1,,,,,,,,,0.0,61.99615000000001,1.0,,closed_loop_test
STRICT_BEST_PER_HEAD_FIXED_EMA_B128,strict_closed_loop,True,False,False,False,1,,,,,,,,,1.797920676666498,22.31646333333333,1.0,,closed_loop_test
