accuracy,avg_evidence_recall,avg_official_score,avg_ppl,avg_primary_score,avg_tokens_per_second,contains_ground_truth,context_length,method,n,official_accuracy
0.0,0.0,9.4463,11.5313378469446,9.4463,79.4313296644737,0.0,1521,full,1,0.0
0.0,0.0,8.7912,8.731447401130817,8.7912,81.41603681635735,0.0,1567,full,1,0.0
0.0,0.0,10.2236,15.614968609723404,10.2236,84.39547700480466,0.0,1521,position_coverage_shared,1,0.0
0.0,0.0,7.8616,11.204559579641012,7.8616,84.12691125037742,0.0,1567,position_coverage_shared,1,0.0
0.0,0.0,9.6,22.318316629502828,9.6,84.58205203336162,0.0,1521,query_overlap_shared,1,0.0
0.0,0.0,10.0917,11.012685675621245,10.0917,84.40930005498753,0.0,1567,query_overlap_shared,1,0.0
0.0,0.0,8.2237,17.07448850489565,8.2237,84.83508966900334,0.0,1521,sink_recent_random,1,0.0
0.0,0.0,10.9756,9.290607153150862,10.9756,84.94642558348991,0.0,1567,sink_recent_random,1,0.0
0.0,0.0,11.3924,19.20673945009294,11.3924,83.96987241798544,0.0,1521,token_rarity_shared,1,0.0
0.0,0.0,10.3659,10.72545221942216,10.3659,84.5692011002218,0.0,1567,token_rarity_shared,1,0.0
