a_count,a_only_count,b_count,b_only_count,budget,head,intersection_ratio,jaccard,layer,left,overlap_coefficient,overlap_count,recall_a_by_b,recall_b_by_a,right,sample_id,snapshot_id,union_count,unit
128,10,128,10,128,,0.921875,0.855072463768116,0,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=0,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,1,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=1,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,10,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=10,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,11,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=11,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,12,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=12,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,13,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=13,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,14,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=14,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,15,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=15,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,16,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=16,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,17,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=17,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,18,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=18,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,19,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=19,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,2,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=2,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,20,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=20,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,21,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=21,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,22,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=22,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,23,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=23,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,24,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=24,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,25,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=25,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,26,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=26,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,27,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=27,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,3,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=3,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,4,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=4,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,5,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=5,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,6,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=6,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,7,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=7,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,8,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=8,head=shared"
128,10,128,10,128,,0.921875,0.855072463768116,9,latest_attention_shared,0.921875,118,0.921875,0.921875,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,138,"layer=9,head=shared"
128,7,128,7,128,,0.9453125,0.8962962962962963,0,latest_attention_shared,0.9453125,121,0.9453125,0.9453125,temporal_volatility_shared,1,569e8468c3deeedbf7475f15ec5a2c38b764f8cb1b59b8877072b727e70ea0a8,135,"layer=0,head=shared"
128,7,128,7,128,,0.9453125,0.8962962962962963,1,latest_attention_shared,0.9453125,121,0.9453125,0.9453125,temporal_volatility_shared,1,569e8468c3deeedbf7475f15ec5a2c38b764f8cb1b59b8877072b727e70ea0a8,135,"layer=1,head=shared"
128,7,128,7,128,,0.9453125,0.8962962962962963,10,latest_attention_shared,0.9453125,121,0.9453125,0.9453125,temporal_volatility_shared,1,569e8468c3deeedbf7475f15ec5a2c38b764f8cb1b59b8877072b727e70ea0a8,135,"layer=10,head=shared"
128,7,128,7,128,,0.9453125,0.8962962962962963,11,latest_attention_shared,0.9453125,121,0.9453125,0.9453125,temporal_volatility_shared,1,569e8468c3deeedbf7475f15ec5a2c38b764f8cb1b59b8877072b727e70ea0a8,135,"layer=11,head=shared"
128,7,128,7,128,,0.9453125,0.8962962962962963,12,latest_attention_shared,0.9453125,121,0.9453125,0.9453125,temporal_volatility_shared,1,569e8468c3deeedbf7475f15ec5a2c38b764f8cb1b59b8877072b727e70ea0a8,135,"layer=12,head=shared"
128,7,128,7,128,,0.9453125,0.8962962962962963,13,latest_attention_shared,0.9453125,121,0.9453125,0.9453125,temporal_volatility_shared,1,569e8468c3deeedbf7475f15ec5a2c38b764f8cb1b59b8877072b727e70ea0a8,135,"layer=13,head=shared"
128,7,128,7,128,,0.9453125,0.8962962962962963,14,latest_attention_shared,0.9453125,121,0.9453125,0.9453125,temporal_volatility_shared,1,569e8468c3deeedbf7475f15ec5a2c38b764f8cb1b59b8877072b727e70ea0a8,135,"layer=14,head=shared"
128,7,128,7,128,,0.9453125,0.8962962962962963,15,latest_attention_shared,0.9453125,121,0.9453125,0.9453125,temporal_volatility_shared,1,569e8468c3deeedbf7475f15ec5a2c38b764f8cb1b59b8877072b727e70ea0a8,135,"layer=15,head=shared"
128,7,128,7,128,,0.9453125,0.8962962962962963,16,latest_attention_shared,0.9453125,121,0.9453125,0.9453125,temporal_volatility_shared,1,569e8468c3deeedbf7475f15ec5a2c38b764f8cb1b59b8877072b727e70ea0a8,135,"layer=16,head=shared"
128,7,128,7,128,,0.9453125,0.8962962962962963,17,latest_attention_shared,0.9453125,121,0.9453125,0.9453125,temporal_volatility_shared,1,569e8468c3deeedbf7475f15ec5a2c38b764f8cb1b59b8877072b727e70ea0a8,135,"layer=17,head=shared"
128,7,128,7,128,,0.9453125,0.8962962962962963,18,latest_attention_shared,0.9453125,121,0.9453125,0.9453125,temporal_volatility_shared,1,569e8468c3deeedbf7475f15ec5a2c38b764f8cb1b59b8877072b727e70ea0a8,135,"layer=18,head=shared"
