method,layer,evaluation_units,mean_projected_relative_error,median_projected_relative_error,p95_projected_relative_error,maximum_projected_relative_error,mean_deleted_attention_mass,mean_relative_error_reduction,win_rate_vs_baseline
attention_ema_w1,-1,192,0.09781157979150128,0.06021884179776256,0.36840150910285147,0.8144483539793377,0.1259388950578658,0.0,0.0
attention_ema_w1,0,64,0.06560859548117941,0.05994919823051514,0.1533329899229814,0.16712976059816567,0.13564844076946353,0.0,0.0
attention_ema_w1,14,64,0.11025154252819727,0.045516949122884356,0.4141735765605556,0.8144483539793377,0.05212687036491658,0.0,0.0
attention_ema_w1,27,64,0.11757460136512715,0.08582023834402612,0.40452604878505644,0.46340993235244843,0.19004137403921723,0.0,0.0
attention_ema_w16,-1,192,0.07956617058425461,0.058223692057580885,0.1987479444859429,0.752412222835326,0.11601535450474713,0.018245409207246654,0.6979166666666666
attention_ema_w16,0,64,0.06277912494150134,0.058211478125113944,0.14995811347688962,0.16138998182035597,0.13344440035372657,0.002829470539678065,0.859375
attention_ema_w16,14,64,0.0874484674281976,0.04790543716432145,0.3421685416034964,0.752412222835326,0.04108654185834133,0.022803075099999678,0.453125
attention_ema_w16,27,64,0.08847091938306491,0.07017002312857348,0.20843057816608274,0.39072379638229277,0.1735151213021735,0.029103681982062223,0.78125
attention_ema_w4,-1,192,0.07908968854211337,0.05813923506716022,0.192855420482923,0.7508876159721959,0.11559545411721095,0.01872189124938789,0.7239583333333334
attention_ema_w4,0,64,0.06277068230848278,0.058231713561542435,0.1477160460424204,0.16098448879262992,0.1336156750095791,0.0028379131726966266,0.890625
attention_ema_w4,14,64,0.08762611853946625,0.04797478887390386,0.3507729687372327,0.7508876159721959,0.04137036852127311,0.022625423988731023,0.453125
attention_ema_w4,27,64,0.0868722647783911,0.06757444175910143,0.20676593354699013,0.3895962762226706,0.17180031882078062,0.030702336586736025,0.828125
attention_ema_w8,-1,192,0.07931711482983993,0.05821046551546569,0.1987479444859429,0.752412222835326,0.11586407719249377,0.018494464961661336,0.703125
attention_ema_w8,0,64,0.06279102236355838,0.058198251582998746,0.14981008045596514,0.16138998182035597,0.13349020936301903,0.0028175731176210165,0.859375
attention_ema_w8,14,64,0.08725813701336763,0.04790543716432145,0.3421685416034964,0.752412222835326,0.04107652074896538,0.02299340551482965,0.453125
attention_ema_w8,27,64,0.08790218511259379,0.06874950091594141,0.20843057816608274,0.39072379638229277,0.1730255014654969,0.029672416252533345,0.796875
attention_max_w1,-1,192,0.09781157979150128,0.06021884179776256,0.36840150910285147,0.8144483539793377,0.1259388950578658,0.0,0.0
attention_max_w1,0,64,0.06560859548117941,0.05994919823051514,0.1533329899229814,0.16712976059816567,0.13564844076946353,0.0,0.0
attention_max_w1,14,64,0.11025154252819727,0.045516949122884356,0.4141735765605556,0.8144483539793377,0.05212687036491658,0.0,0.0
attention_max_w1,27,64,0.11757460136512715,0.08582023834402612,0.40452604878505644,0.46340993235244843,0.19004137403921723,0.0,0.0
attention_max_w16,-1,192,0.08740837084611959,0.06136884769917326,0.22573404297076938,0.8302024137510364,0.12614796589376182,0.010403208945381692,0.265625
attention_max_w16,0,64,0.06909477857897056,0.06374500277149711,0.15385370437736107,0.16822171824717932,0.1415353537312727,-0.003486183097791167,0.203125
attention_max_w16,14,64,0.11446881665217663,0.057194086846075395,0.34141434506404233,0.8302024137510364,0.05644655258898028,-0.00421727412397936,0.171875
attention_max_w16,27,64,0.07866151730721153,0.050529790682920475,0.22589675927308772,0.30228963072350656,0.18046199136103247,0.0389130840579156,0.421875
attention_max_w4,-1,192,0.07970734811832993,0.056215738821714545,0.19992719445579937,0.7506660968635148,0.11695906335598245,0.018104231673171354,0.4375
attention_max_w4,0,64,0.06601388565908656,0.06227994444163265,0.14996676077554594,0.16012115895527657,0.13713534681219552,-0.0004052901779071556,0.3125
attention_max_w4,14,64,0.09745858548669879,0.05088767699961996,0.3822072100667525,0.7506660968635148,0.046148195574952866,0.01279295704149849,0.328125
attention_max_w4,27,64,0.07564957320920443,0.054393807031432484,0.20478807714161623,0.3608974443264,0.16759364768079896,0.041925028155922715,0.671875
attention_max_w8,-1,192,0.07669586721614384,0.059082934082812,0.1843448733582202,0.7529628543884545,0.11806449065977336,0.021115712575357437,0.5208333333333334
attention_max_w8,0,64,0.0656205661033219,0.06102597654336819,0.1521481067302741,0.1632189104524001,0.1398740791685989,-1.1970622142504217e-05,0.53125
attention_max_w8,14,64,0.08282360874406403,0.05197039333895999,0.2209569256854784,0.7529628543884545,0.040351090085891245,0.02742793378413326,0.390625
attention_max_w8,27,64,0.08164342680104557,0.05854669760917199,0.20478523699871612,0.358879693106992,0.17396830272482988,0.03593117456408156,0.640625
attention_mean_w1,-1,192,0.09781157979150128,0.06021884179776256,0.36840150910285147,0.8144483539793377,0.1259388950578658,0.0,0.0
attention_mean_w1,0,64,0.06560859548117941,0.05994919823051514,0.1533329899229814,0.16712976059816567,0.13564844076946353,0.0,0.0
attention_mean_w1,14,64,0.11025154252819727,0.045516949122884356,0.4141735765605556,0.8144483539793377,0.05212687036491658,0.0,0.0
attention_mean_w1,27,64,0.11757460136512715,0.08582023834402612,0.40452604878505644,0.46340993235244843,0.19004137403921723,0.0,0.0
attention_mean_w16,-1,192,0.08908016347356855,0.05466732173051653,0.252926014003431,0.8275353863555516,0.12319655185904976,0.008731416317932715,0.5729166666666666
attention_mean_w16,0,64,0.05949242455147384,0.05501809617487537,0.15045900547325622,0.16389459296040992,0.13214044197241365,0.006116170929705556,0.90625
attention_mean_w16,14,64,0.12651464557420844,0.05275017109175507,0.6859436528642544,0.8275353863555516,0.06223383532256557,-0.016263103046011175,0.28125
attention_mean_w16,27,64,0.08123342029502337,0.056215408477040124,0.22260762249009133,0.34772032955969645,0.1752153782821701,0.03634118107010377,0.53125
attention_mean_w4,-1,192,0.07636430547562989,0.05439458096971103,0.18702691248884926,0.7448701740002679,0.11344630678107914,0.021447274315871376,0.6458333333333334
attention_mean_w4,0,64,0.061609028885191486,0.0571779639075021,0.14905805554270232,0.1612457392782414,0.13327668517741037,0.0039995665959879105,0.796875
attention_mean_w4,14,64,0.08802389435915599,0.04980499115904806,0.33765959024097736,0.7448701740002679,0.04134787583273443,0.022227648169041284,0.4375
attention_mean_w4,27,64,0.0794599931825422,0.05478438312132513,0.21068882100329978,0.37133693477852703,0.1657143593330927,0.03811460818258494,0.703125
