method,layer,evaluation_units,mean_projected_relative_error,median_projected_relative_error,p95_projected_relative_error,maximum_projected_relative_error,mean_deleted_attention_mass,mean_relative_error_reduction,win_rate_vs_baseline
attention_ema_w1,-1,96,0.10519580755944387,0.06140285134237105,0.3094672947448005,0.8480157359413139,0.1414490431276152,0.0,0.0
attention_ema_w1,0,32,0.06222863363248666,0.05640165432525551,0.1250327740060441,0.1610768557693072,0.12877411637569047,0.0,0.0
attention_ema_w1,14,32,0.1261830464109165,0.07894881102531053,0.3155127461875353,0.8480157359413139,0.06450034699197507,0.0,0.0
attention_ema_w1,27,32,0.12717574263492853,0.09770770905459489,0.4034234054188835,0.4707439755296576,0.2310726660151801,0.0,0.0
attention_ema_w16,-1,96,0.1093532219048307,0.058839756914099886,0.2817972867580233,0.858961645728372,0.13842248470233712,-0.004157414345386801,0.4270833333333333
attention_ema_w16,0,32,0.06155321993800002,0.05508617483717822,0.12584804514279935,0.1593956295357061,0.12566518026718376,0.0006754136944866417,0.34375
attention_ema_w16,14,32,0.16316278687349642,0.0853867647673241,0.7270892290942151,0.858961645728372,0.08105830908619874,-0.03697974046257993,0.28125
attention_ema_w16,27,32,0.10334365890299566,0.06733629502355264,0.26074923087681073,0.357112030590016,0.20854396475362885,0.023832083731932883,0.65625
attention_ema_w4,-1,96,0.11477713984500922,0.05829655710539218,0.35926833032555083,0.8594285948870131,0.139680885115542,-0.009581332285565338,0.4895833333333333
attention_ema_w4,0,32,0.061649307558611546,0.05672493683166793,0.12445359025372714,0.15777574183775003,0.12562735853874651,0.0005793260738751098,0.46875
attention_ema_w4,14,32,0.16189796447728755,0.08415758302250524,0.7156364347716673,0.8594285948870131,0.07914546505417591,-0.03571491806637107,0.34375
attention_ema_w4,27,32,0.12078414749912858,0.07876580987213833,0.36094220043521597,0.45017727876756597,0.2142698317537036,0.006391595135799942,0.65625
attention_ema_w8,-1,96,0.10933002945401578,0.058942653621069305,0.2817972867580233,0.858961645728372,0.13845922837897492,-0.0041342218945719005,0.4270833333333333
attention_ema_w8,0,32,0.06148364258555532,0.05527758660168748,0.12444572558392636,0.1593956295357061,0.12577541129709718,0.0007449910469313409,0.34375
attention_ema_w8,14,32,0.16316278687349642,0.0853867647673241,0.7270892290942151,0.858961645728372,0.08105830908619874,-0.03697974046257993,0.28125
attention_ema_w8,27,32,0.10334365890299566,0.06733629502355264,0.26074923087681073,0.357112030590016,0.20854396475362885,0.023832083731932883,0.65625
attention_max_w1,-1,96,0.10519580755944387,0.06140285134237105,0.3094672947448005,0.8480157359413139,0.1414490431276152,0.0,0.0
attention_max_w1,0,32,0.06222863363248666,0.05640165432525551,0.1250327740060441,0.1610768557693072,0.12877411637569047,0.0,0.0
attention_max_w1,14,32,0.1261830464109165,0.07894881102531053,0.3155127461875353,0.8480157359413139,0.06450034699197507,0.0,0.0
