sample_id,task,attention_mean_w1_shared,contribution_mean_w4_shared,mean_exact_kl_reduction
gov_report:24,gov_report,1.039346019923163,0.5746929332938399,0.46465308662932314
gov_report:25,gov_report,0.49678721620965405,0.3252301145080712,0.17155710170158284
gov_report:26,gov_report,0.1663463301267735,0.24790062887469203,-0.08155429874791853
gov_report:27,gov_report,0.45668924159216334,0.2690174984123104,0.18767174317985297
gov_report:28,gov_report,0.5855030091742037,0.574435039763093,0.011067969411110767
gov_report:29,gov_report,0.2472083704588878,0.1277558638638633,0.11945250659502449
synthetic_niah_24,niah_single_1,0.07342883670873175,0.06613058085277264,0.007298255855959113
synthetic_niah_25,niah_single_1,0.11116999080860406,0.04569344397172159,0.06547654683688246
synthetic_niah_26,niah_single_1,0.03720122605474222,0.022619935904010458,0.014581290150731764
synthetic_niah_27,niah_single_1,0.11030209707832957,0.18961431243586446,-0.0793122153575349
synthetic_niah_28,niah_single_1,0.5353953532216073,0.531698944581611,0.003696408639996207
synthetic_niah_29,niah_single_1,0.09208200665256545,0.1079280114714815,-0.015846004818916043
