stratum,value,policy,steps,mean_exact_kl,p95_exact_kl,maximum_exact_kl,mean_delta_nll
task,gov_report,attention_mean_w1_shared,288,0.4986466979141409,2.799231624603269,13.314861297607422,0.549879944624421
task,gov_report,contribution_mean_w4_shared,288,0.3531720131193116,1.3926720499992369,11.95195484161377,0.38546670186314597
task,niah_single_1,attention_mean_w1_shared,288,0.15992991842076337,0.3320821598172186,13.66468334197998,0.15226211167460393
task,niah_single_1,contribution_mean_w4_shared,288,0.16061420486957695,0.2681716710329055,13.64504337310791,0.15756306868610656
anchor,16,attention_mean_w1_shared,192,0.1525059699337905,0.3712751671671862,13.314861297607422,0.18217901428499297
anchor,16,contribution_mean_w4_shared,192,0.11733787680177747,0.3018249213695521,11.95195484161377,0.13125270049419177
anchor,32,attention_mean_w1_shared,192,0.4323735928807153,2.1748407125473,13.66468334197998,0.43613632786629913
anchor,32,contribution_mean_w4_shared,192,0.41630853242322585,1.7776309669017691,13.64504337310791,0.4288455421899788
anchor,48,attention_mean_w1_shared,192,0.40298536168785065,2.720384776592252,9.566876411437988,0.4348977422972453
anchor,48,contribution_mean_w4_shared,192,0.23703291775832955,1.254268485307692,5.532407283782959,0.2544464131397082
