sample_id,task,anchor,horizon_offset,attention_mean_w1_shared,protected_attention_rescue_m8_shared,baseline_tail,primary_tail,exact_kl_reduction,tail_category,large_loss_transition
gov_report:19,gov_report,32,7,0.6078191995620728,1.2411553859710693,False,False,-0.6333361864089966,non_tail,created_large_loss
gov_report:18,gov_report,32,16,5.795332431793213,6.314531326293945,True,True,-0.5191988945007324,shared_tail,unchanged
gov_report:20,gov_report,16,14,0.17242677509784698,0.688491940498352,False,False,-0.5160651654005051,non_tail,unchanged
gov_report:19,gov_report,48,11,0.7112650275230408,1.2178466320037842,False,False,-0.5065816044807434,non_tail,created_large_loss
gov_report:20,gov_report,32,14,2.198720932006836,2.6692001819610596,True,True,-0.47047924995422363,shared_tail,unchanged
gov_report:20,gov_report,48,3,1.1481149196624756,1.5344792604446411,False,False,-0.3863643407821655,non_tail,unchanged
gov_report:20,gov_report,48,12,4.5111308097839355,4.8697733879089355,True,True,-0.358642578125,shared_tail,unchanged
gov_report:18,gov_report,48,15,1.8566558361053467,2.152082920074463,False,True,-0.2954270839691162,new_primary_tail,unchanged
gov_report:19,gov_report,48,6,4.399003982543945,4.67456579208374,True,True,-0.2755618095397949,shared_tail,unchanged
gov_report:18,gov_report,48,8,0.1834109127521515,0.4533109962940216,False,False,-0.2699000835418701,non_tail,unchanged
gov_report:20,gov_report,48,11,2.306182861328125,2.561738967895508,True,True,-0.2555561065673828,shared_tail,unchanged
gov_report:20,gov_report,48,8,1.8885704278945923,2.127020835876465,True,True,-0.23845040798187256,shared_tail,unchanged
gov_report:18,gov_report,48,14,1.0289180278778076,1.2571392059326172,False,False,-0.22822117805480957,non_tail,unchanged
gov_report:20,gov_report,16,11,0.18727245926856995,0.41039523482322693,False,False,-0.22312277555465698,non_tail,unchanged
gov_report:19,gov_report,32,4,0.028090616688132286,0.19816309213638306,False,False,-0.17007247544825077,non_tail,unchanged
gov_report:18,gov_report,48,1,0.2289254516363144,0.3822596073150635,False,False,-0.15333415567874908,non_tail,unchanged
gov_report:18,gov_report,32,14,1.9363365173339844,2.070056438446045,True,True,-0.13371992111206055,shared_tail,unchanged
gov_report:20,gov_report,16,10,0.18532481789588928,0.2972383201122284,False,False,-0.11191350221633911,non_tail,unchanged
gov_report:18,gov_report,16,13,0.02302674576640129,0.1280709207057953,False,False,-0.105044174939394,non_tail,unchanged
gov_report:20,gov_report,32,13,1.434443712234497,1.5235967636108398,False,False,-0.08915305137634277,non_tail,unchanged
gov_report:18,gov_report,32,15,2.167891025543213,2.2499868869781494,True,True,-0.08209586143493652,shared_tail,unchanged
gov_report:19,gov_report,16,4,0.1482360064983368,0.22087736427783966,False,False,-0.07264135777950287,non_tail,unchanged
gov_report:20,gov_report,48,4,0.9399783611297607,0.9911818504333496,False,False,-0.05120348930358887,non_tail,unchanged
synthetic_niah_19,niah_single_1,48,5,0.16952311992645264,0.21742424368858337,False,False,-0.04790112376213074,non_tail,unchanged
gov_report:20,gov_report,48,9,0.8190893530845642,0.8663162589073181,False,False,-0.047226905822753906,non_tail,unchanged
gov_report:18,gov_report,16,11,0.026464011520147324,0.06774011254310608,False,False,-0.041276101022958755,non_tail,unchanged
gov_report:20,gov_report,32,12,1.026316523551941,1.067049264907837,False,False,-0.040732741355895996,non_tail,unchanged
gov_report:18,gov_report,48,5,3.2026784420013428,3.24157977104187,True,True,-0.038901329040527344,shared_tail,unchanged
gov_report:18,gov_report,48,10,0.14256656169891357,0.17940902709960938,False,False,-0.0368424654006958,non_tail,unchanged
synthetic_niah_18,niah_single_1,32,10,0.19078437983989716,0.22729402780532837,False,False,-0.03650964796543121,non_tail,unchanged
synthetic_niah_18,niah_single_1,32,13,0.025298550724983215,0.05681798607110977,False,False,-0.031519435346126556,non_tail,unchanged
gov_report:19,gov_report,16,6,0.14763782918453217,0.17888972163200378,False,False,-0.03125189244747162,non_tail,unchanged
gov_report:18,gov_report,16,16,0.20988091826438904,0.23863695561885834,False,False,-0.0287560373544693,non_tail,unchanged
synthetic_niah_19,niah_single_1,48,3,0.08282514661550522,0.11098764091730118,False,False,-0.02816249430179596,non_tail,unchanged
gov_report:18,gov_report,48,7,0.027106767520308495,0.05482466146349907,False,False,-0.027717893943190575,non_tail,unchanged
gov_report:19,gov_report,32,16,0.6708980798721313,0.6984647512435913,False,False,-0.02756667137145996,non_tail,unchanged
gov_report:20,gov_report,16,9,0.021519485861063004,0.046382199972867966,False,False,-0.024862714111804962,non_tail,unchanged
gov_report:19,gov_report,32,11,0.0033541065640747547,0.028043901547789574,False,False,-0.02468979498371482,non_tail,unchanged
synthetic_niah_19,niah_single_1,48,14,0.18668806552886963,0.21123559772968292,False,False,-0.024547532200813293,non_tail,unchanged
gov_report:18,gov_report,16,4,0.1083277016878128,0.1307421326637268,False,False,-0.022414430975914,non_tail,unchanged
gov_report:19,gov_report,16,3,0.03303130343556404,0.05394541099667549,False,False,-0.02091410756111145,non_tail,unchanged
synthetic_niah_19,niah_single_1,32,5,0.02855810523033142,0.04601886123418808,False,False,-0.01746075600385666,non_tail,unchanged
gov_report:20,gov_report,16,12,0.040556225925683975,0.05648575350642204,False,False,-0.015929527580738068,non_tail,unchanged
gov_report:18,gov_report,48,3,0.15414027869701385,0.1694023758172989,False,False,-0.015262097120285034,non_tail,unchanged
synthetic_niah_19,niah_single_1,16,15,0.082582987844944,0.09618689119815826,False,False,-0.013603903353214264,non_tail,unchanged
gov_report:20,gov_report,48,6,0.5813151597976685,0.5936833024024963,False,False,-0.01236814260482788,non_tail,unchanged
gov_report:18,gov_report,16,12,0.03223977982997894,0.044583264738321304,False,False,-0.012343484908342361,non_tail,unchanged
gov_report:19,gov_report,16,10,1.3728704452514648,1.3849217891693115,False,False,-0.01205134391784668,non_tail,unchanged
gov_report:20,gov_report,48,2,0.2157682329416275,0.22777655720710754,False,False,-0.012008324265480042,non_tail,unchanged
synthetic_niah_19,niah_single_1,48,9,0.19741718471050262,0.20815028250217438,False,False,-0.010733097791671753,non_tail,unchanged
synthetic_niah_19,niah_single_1,48,13,0.20819249749183655,0.21864484250545502,False,False,-0.01045234501361847,non_tail,unchanged
gov_report:18,gov_report,16,8,0.0073219663463532925,0.01757942885160446,False,False,-0.01025746250525117,non_tail,unchanged
synthetic_niah_19,niah_single_1,32,13,0.05533989146351814,0.06533009558916092,False,False,-0.009990204125642776,non_tail,unchanged
synthetic_niah_18,niah_single_1,32,11,0.20399558544158936,0.21368084847927094,False,False,-0.00968526303768158,non_tail,unchanged
gov_report:18,gov_report,48,12,0.8495863676071167,0.858822226524353,False,False,-0.009235858917236328,non_tail,unchanged
gov_report:18,gov_report,32,13,0.12390919029712677,0.13183772563934326,False,False,-0.007928535342216492,non_tail,unchanged
synthetic_niah_18,niah_single_1,48,14,0.04715679958462715,0.055009014904499054,False,False,-0.007852215319871902,non_tail,unchanged
synthetic_niah_19,niah_single_1,32,4,0.06741639226675034,0.07509400695562363,False,False,-0.007677614688873291,non_tail,unchanged
synthetic_niah_19,niah_single_1,48,10,0.055176105350255966,0.06071850284934044,False,False,-0.005542397499084473,non_tail,unchanged
synthetic_niah_19,niah_single_1,16,7,0.004677812568843365,0.010181359015405178,False,False,-0.005503546446561813,non_tail,unchanged
gov_report:20,gov_report,16,4,0.015169074758887291,0.020095771178603172,False,False,-0.004926696419715881,non_tail,unchanged
gov_report:19,gov_report,48,9,0.15141651034355164,0.15631438791751862,False,False,-0.00489787757396698,non_tail,unchanged
gov_report:18,gov_report,16,6,0.008454889990389347,0.013197498396039009,False,False,-0.004742608405649662,non_tail,unchanged
synthetic_niah_19,niah_single_1,32,10,0.01138562522828579,0.016120294108986855,False,False,-0.004734668880701065,non_tail,unchanged
synthetic_niah_19,niah_single_1,32,16,0.03022654540836811,0.034053679555654526,False,False,-0.003827134147286415,non_tail,unchanged
