stratum,value,policy,steps,mean_exact_kl,p95_exact_kl,maximum_exact_kl,mean_delta_nll
task,gov_report,attention_mean_w1_shared,288,0.5281419926047118,2.495623207092285,12.44139575958252,0.5127145355360972
task,gov_report,blend_attention_contribution_25_w4_shared,288,0.48085863247988964,2.045657521486278,12.197449684143066,0.46258203480340554
task,niah_single_1,attention_mean_w1_shared,288,0.18717513527108032,0.3926260486245151,8.369197845458984,0.17426583357070136
task,niah_single_1,blend_attention_contribution_25_w4_shared,288,0.1788309521321557,0.32637504488229685,11.437843322753906,0.1625127911638668
anchor,16,attention_mean_w1_shared,192,0.38144451572808585,1.6979075908660854,12.44139575958252,0.38903639382151783
anchor,16,blend_attention_contribution_25_w4_shared,192,0.3373851695821517,1.1502551436424224,12.197449684143066,0.3432473815441976
anchor,32,attention_mean_w1_shared,192,0.35475961304200165,1.94233335852623,8.369197845458984,0.3166475492499501
anchor,32,blend_attention_contribution_25_w4_shared,192,0.3307716689898402,1.4993553698062891,11.437843322753906,0.2759430999218466
anchor,48,attention_mean_w1_shared,192,0.33677156304360084,2.0187523484230034,7.469958782196045,0.32478661058873
anchor,48,blend_attention_contribution_25_w4_shared,192,0.321377538346076,2.0289575397968282,6.853147506713867,0.3184517574848644
