stratum,value,policy,steps,mean_exact_kl,p95_exact_kl,maximum_exact_kl,mean_delta_nll
task,gov_report,attention_mean_w1_shared,144,0.561588252118669,3.105353379249569,5.795332431793213,0.48993856400965463
task,gov_report,blend_attention_contribution_25_w4_shared,144,0.538411230433662,3.0032107591629003,5.8359375,0.4558309751114962
task,gov_report,blend_attention_contribution_50_w4_shared,144,0.534859118632417,2.936459815502167,6.504861354827881,0.5145189900415106
task,gov_report,blend_attention_contribution_75_w4_shared,144,0.5686903558234815,2.845499455928802,5.673271656036377,0.5775641293799114
task,gov_report,contribution_mean_w4_shared,144,0.554114867621842,2.7550372958183287,5.667418479919434,0.5820179509763553
task,niah_single_1,attention_mean_w1_shared,144,0.030019503533916532,0.1686924666166305,0.32209697365760803,0.017747711532277007
task,niah_single_1,blend_attention_contribution_25_w4_shared,144,0.029818256642040582,0.15981222763657565,0.2804563641548157,0.02169704631650562
task,niah_single_1,blend_attention_contribution_50_w4_shared,144,0.030239250888193236,0.15218855142593374,0.2766108214855194,0.021286805903018704
task,niah_single_1,blend_attention_contribution_75_w4_shared,144,0.029994955104453973,0.14711972549557684,0.28950148820877075,0.019609798739540767
task,niah_single_1,contribution_mean_w4_shared,144,0.029023190228078102,0.1526074238121509,0.285020649433136,0.01902380687029866
anchor,16,attention_mean_w1_shared,96,0.11851508486361058,0.5120156705379486,3.4140067100524902,0.15462762008058442
anchor,16,blend_attention_contribution_25_w4_shared,96,0.117226114481961,0.5197738334536552,3.308027505874634,0.15648861414140924
anchor,16,blend_attention_contribution_50_w4_shared,96,0.11057491901676753,0.45209041237831116,3.2608115673065186,0.1398324553622198
anchor,16,blend_attention_contribution_75_w4_shared,96,0.11868703431274193,0.6284249573945999,2.9541988372802734,0.16832634003833866
anchor,16,contribution_mean_w4_shared,96,0.12322938397314864,0.5248590633273125,3.007784605026245,0.17593151965966078
anchor,32,attention_mean_w1_shared,96,0.37366728910474656,2.1755985021591187,5.795332431793213,0.31759356062973865
anchor,32,blend_attention_contribution_25_w4_shared,96,0.3303606191051776,1.898377776145935,5.8359375,0.26889760356903497
anchor,32,blend_attention_contribution_50_w4_shared,96,0.367413036468589,2.276933193206787,6.504861354827881,0.32772704526393187
anchor,32,blend_attention_contribution_75_w4_shared,96,0.3563061486862165,2.3028783798217773,5.673271656036377,0.3195087589325614
anchor,32,contribution_mean_w4_shared,96,0.32832940795426896,2.0283437073230743,5.667418479919434,0.2730695627068229
anchor,48,attention_mean_w1_shared,96,0.3952292595105211,1.9929735362529755,4.5111308097839355,0.2893082326025744
anchor,48,blend_attention_contribution_25_w4_shared,96,0.40475749702641534,1.9970783293247223,4.661827564239502,0.29090581443155844
anchor,48,blend_attention_contribution_50_w4_shared,96,0.3696595987955587,1.824487030506134,4.671889305114746,0.33614919329064225
anchor,48,blend_attention_contribution_75_w4_shared,96,0.42303478339294465,2.1889240741729736,4.673933506011963,0.40792579320827826
anchor,48,contribution_mean_w4_shared,96,0.4231482948474626,2.4177587032318115,4.30279016494751,0.45256155440349727
