stratum,value,policy,steps,mean_exact_kl,p95_exact_kl,maximum_exact_kl,mean_delta_nll
task,gov_report,attention_mean_w1_shared,288,0.7912843299964865,4.314770579338073,10.51073932647705,0.9119095581425347
task,gov_report,blend_attention_contribution_25_w4_shared,288,0.7750917487004071,4.478306412696833,10.76232624053955,0.8859528767358771
task,niah_single_1,attention_mean_w1_shared,288,0.2634183227487987,0.36581742316484345,15.86192798614502,0.2736509930466092
task,niah_single_1,blend_attention_contribution_25_w4_shared,288,0.26022715242125233,0.33543271273374536,15.86192798614502,0.2687453492105413
anchor,16,attention_mean_w1_shared,192,0.24151580287478605,1.6908507049083668,4.568611145019531,0.2894211063473393
anchor,16,blend_attention_contribution_25_w4_shared,192,0.22418564223265156,1.4328541219234394,4.554587364196777,0.2706662108369617
anchor,32,attention_mean_w1_shared,192,0.5467087978517763,2.178654360771175,15.86192798614502,0.6276946007451807
anchor,32,blend_attention_contribution_25_w4_shared,192,0.5282807576925904,2.3663181543350205,15.86192798614502,0.5987449611067174
anchor,48,attention_mean_w1_shared,192,0.7938293783913654,5.116392445564263,10.51073932647705,0.8612251196911961
anchor,48,blend_attention_contribution_25_w4_shared,192,0.8005119517572471,5.703453278541559,10.76232624053955,0.8626361669759485
