sample_id,task,anchor,horizon_offset,attention_mean_w1_shared,blend_attention_contribution_25_w4_shared,baseline_tail,primary_tail,exact_kl_reduction,tail_category,large_loss_transition
gov_report:40,gov_report,48,4,3.6980597972869873,7.379170894622803,True,True,-3.6811110973358154,shared_tail,unchanged
gov_report:37,gov_report,16,8,1.8910757303237915,3.3668744564056396,False,True,-1.4757987260818481,new_primary_tail,unchanged
gov_report:39,gov_report,32,11,1.1866579055786133,2.6111011505126953,False,False,-1.424443244934082,non_tail,unchanged
gov_report:41,gov_report,32,7,0.44101184606552124,1.6377167701721191,False,False,-1.196704924106598,non_tail,created_large_loss
gov_report:40,gov_report,48,8,4.036352634429932,5.04375696182251,True,True,-1.0074043273925781,shared_tail,unchanged
gov_report:40,gov_report,16,15,0.20674613118171692,1.1463030576705933,False,False,-0.9395569264888763,non_tail,created_large_loss
gov_report:40,gov_report,32,16,1.9389216899871826,2.7095959186553955,False,False,-0.7706742286682129,non_tail,unchanged
gov_report:40,gov_report,48,14,4.857828140258789,5.4955925941467285,True,True,-0.6377644538879395,shared_tail,unchanged
gov_report:40,gov_report,48,10,10.181732177734375,10.76232624053955,True,True,-0.5805940628051758,shared_tail,unchanged
gov_report:40,gov_report,16,16,0.5814336538314819,1.1316436529159546,False,False,-0.5502099990844727,non_tail,created_large_loss
gov_report:38,gov_report,32,10,0.7585216760635376,1.2677464485168457,False,False,-0.5092247724533081,non_tail,created_large_loss
gov_report:40,gov_report,32,13,1.7976330518722534,2.254098415374756,False,False,-0.45646536350250244,non_tail,unchanged
gov_report:38,gov_report,32,11,2.0094492435455322,2.4394240379333496,False,False,-0.4299747943878174,non_tail,unchanged
gov_report:39,gov_report,48,10,1.837847113609314,2.241438150405884,False,False,-0.4035910367965698,non_tail,unchanged
gov_report:39,gov_report,32,15,0.9983538389205933,1.3875340223312378,False,False,-0.38918018341064453,non_tail,created_large_loss
gov_report:40,gov_report,48,15,1.338866949081421,1.6714340448379517,False,False,-0.33256709575653076,non_tail,unchanged
gov_report:40,gov_report,48,12,7.078892230987549,7.3887529373168945,True,True,-0.3098607063293457,shared_tail,unchanged
gov_report:39,gov_report,48,2,0.6486461758613586,0.9532946348190308,False,False,-0.3046484589576721,non_tail,unchanged
gov_report:38,gov_report,32,9,2.385460615158081,2.6799333095550537,False,False,-0.29447269439697266,non_tail,unchanged
gov_report:39,gov_report,16,9,3.375591993331909,3.663628578186035,False,True,-0.288036584854126,new_primary_tail,unchanged
gov_report:38,gov_report,16,16,1.5270302295684814,1.783083200454712,False,False,-0.25605297088623047,non_tail,unchanged
gov_report:39,gov_report,16,6,2.142050266265869,2.34409761428833,False,False,-0.20204734802246094,non_tail,unchanged
gov_report:36,gov_report,32,14,0.004275184590369463,0.2056269347667694,False,False,-0.20135175017639995,non_tail,unchanged
gov_report:36,gov_report,48,8,2.2848880290985107,2.4794857501983643,False,False,-0.19459772109985352,non_tail,unchanged
gov_report:36,gov_report,32,13,0.15424515306949615,0.3046802580356598,False,False,-0.15043510496616364,non_tail,unchanged
gov_report:38,gov_report,32,12,0.3899093270301819,0.52499920129776,False,False,-0.13508987426757812,non_tail,unchanged
gov_report:37,gov_report,16,3,4.426417350769043,4.554587364196777,True,True,-0.12817001342773438,shared_tail,unchanged
gov_report:39,gov_report,16,10,2.433292865753174,2.559191942214966,False,False,-0.125899076461792,non_tail,unchanged
gov_report:41,gov_report,48,9,2.280940532684326,2.394351005554199,False,False,-0.11341047286987305,non_tail,unchanged
gov_report:40,gov_report,48,13,5.850528240203857,5.957505226135254,True,True,-0.10697698593139648,shared_tail,unchanged
gov_report:39,gov_report,48,13,0.01144224964082241,0.10864417999982834,False,False,-0.09720193035900593,non_tail,unchanged
gov_report:41,gov_report,48,12,3.0158450603485107,3.110299587249756,False,True,-0.09445452690124512,new_primary_tail,unchanged
gov_report:39,gov_report,32,16,0.5242752432823181,0.5900511145591736,False,False,-0.06577587127685547,non_tail,unchanged
gov_report:36,gov_report,32,12,0.4562540352344513,0.5166976451873779,False,False,-0.060443609952926636,non_tail,unchanged
gov_report:38,gov_report,48,16,0.14950776100158691,0.2065504938364029,False,False,-0.05704273283481598,non_tail,unchanged
gov_report:41,gov_report,48,15,0.15237081050872803,0.20536476373672485,False,False,-0.052993953227996826,non_tail,unchanged
gov_report:36,gov_report,48,16,2.3648993968963623,2.417755365371704,False,False,-0.0528559684753418,non_tail,unchanged
gov_report:36,gov_report,16,15,3.7072625160217285,3.759516716003418,True,True,-0.05225419998168945,shared_tail,unchanged
gov_report:36,gov_report,48,15,7.759681701660156,7.807835578918457,True,True,-0.04815387725830078,shared_tail,unchanged
gov_report:39,gov_report,48,4,0.3606175184249878,0.4066418409347534,False,False,-0.046024322509765625,non_tail,unchanged
gov_report:39,gov_report,48,1,1.02830970287323,1.0728510618209839,False,False,-0.044541358947753906,non_tail,unchanged
gov_report:37,gov_report,16,5,0.1592492014169693,0.19847536087036133,False,False,-0.03922615945339203,non_tail,unchanged
gov_report:40,gov_report,48,16,6.873410224914551,6.911619186401367,True,True,-0.038208961486816406,shared_tail,unchanged
synthetic_niah_36,niah_single_1,32,16,0.11388741433620453,0.1509709507226944,False,False,-0.03708353638648987,non_tail,unchanged
gov_report:39,gov_report,48,15,0.10547234117984772,0.14082776010036469,False,False,-0.03535541892051697,non_tail,unchanged
gov_report:40,gov_report,48,6,4.543725967407227,4.575162887573242,True,True,-0.031436920166015625,shared_tail,unchanged
gov_report:41,gov_report,48,7,0.18048354983329773,0.20976780354976654,False,False,-0.02928425371646881,non_tail,unchanged
gov_report:40,gov_report,16,14,0.0019075586460530758,0.030350415036082268,False,False,-0.028442856390029192,non_tail,unchanged
synthetic_niah_36,niah_single_1,48,7,9.072525024414062,9.099529266357422,True,True,-0.027004241943359375,shared_tail,unchanged
synthetic_niah_40,niah_single_1,32,7,0.13048188388347626,0.1566891223192215,False,False,-0.02620723843574524,non_tail,unchanged
gov_report:36,gov_report,48,12,2.3475186824798584,2.367558717727661,False,False,-0.020040035247802734,non_tail,unchanged
