stratum,value,policy,steps,mean_exact_kl,p95_exact_kl,maximum_exact_kl,mean_delta_nll
task,gov_report,attention_mean_w1_shared,288,0.939098981219999,4.0043390989303544,10.671555519104004,1.0045699579976701
task,gov_report,attention_temporal_volatility_w4_shared,288,0.8423241248117826,4.075187397003173,9.844698905944824,0.8834401841223356
task,niah_single_1,attention_mean_w1_shared,288,0.10927132988989002,0.15153586864471424,13.196484565734863,0.11990103105560163
task,niah_single_1,attention_temporal_volatility_w4_shared,288,0.09998328320748986,0.13847040981054284,12.845516204833984,0.11069932249902574
anchor,16,attention_mean_w1_shared,192,0.434329154282526,2.7833710670471143,6.969595909118652,0.45943091764226435
anchor,16,attention_temporal_volatility_w4_shared,192,0.35611516957649014,2.4128495693206764,9.844698905944824,0.34478595136128387
anchor,32,attention_mean_w1_shared,192,0.6031927680126451,3.187206804752347,13.196484565734863,0.6669818488102924
anchor,32,attention_temporal_volatility_w4_shared,192,0.5533318729498152,2.971955430507657,12.845516204833984,0.5817610944724289
anchor,48,attention_mean_w1_shared,192,0.5350335443696622,2.7980220675468424,10.671555519104004,0.560293717127351
anchor,48,attention_temporal_volatility_w4_shared,192,0.5040140695026033,3.1354325413703887,7.4566521644592285,0.5646622140983292
