task,method,width,refresh_interval,decision_units,median_spearman,mean_pairwise_accuracy,mean_top1_accuracy,mean_normalized_regret,median_spearman_gain,mean_pairwise_accuracy_gain,mean_top1_accuracy_gain,mean_normalized_regret_gain
all,entropy_vjp_action,8,4,56,0.5714285714285715,0.6721938775510203,0.26785714285714285,0.2330707451520467,-0.08333333333333331,-0.0510204081632653,-0.125,-0.05034669540161354
all,entropy_vjp_action,16,4,56,0.5714285714285715,0.6721938775510203,0.26785714285714285,0.2330707451520467,-0.08333333333333331,-0.0510204081632653,-0.125,-0.05034669540161354
all,fisher_gaussian_vjp_action,8,4,56,0.6428571428571429,0.7123724489795918,0.35714285714285715,0.19138121704882807,-0.023809523809523753,-0.010841836734693869,-0.03571428571428571,-0.008657167298394924
all,fisher_gaussian_vjp_action,16,4,56,0.6190476190476191,0.7142857142857143,0.4107142857142857,0.19730118554890774,-0.023809523809523725,-0.008928571428571423,0.017857142857142856,-0.014577135798474566
all,fisher_gaussian_vjp_innovation_state,8,4,56,0.5833333333333335,0.6957908163265306,0.3392857142857143,0.22912298390313898,-0.035714285714285754,-0.027423469387755094,-0.05357142857142857,-0.04639893415270581
all,fisher_gaussian_vjp_innovation_state,16,4,56,0.6428571428571429,0.71875,0.375,0.22138002369483797,-0.023809523809523836,-0.00446428571428571,-0.017857142857142856,-0.03865597394440481
all,fisher_gaussian_vjp_repeated_state,8,4,56,0.5833333333333335,0.6894132653061226,0.42857142857142855,0.23879063877939144,-0.04761904761904756,-0.033801020408163254,0.03571428571428571,-0.056066589028958315
all,fisher_gaussian_vjp_repeated_state,16,4,56,0.6071428571428572,0.7002551020408163,0.4107142857142857,0.2596324842018822,-0.04761904761904756,-0.022959183673469385,0.017857142857142856,-0.07690843445144901
all,fisher_rademacher_vjp_action,8,4,56,0.5952380952380953,0.7028061224489796,0.35714285714285715,0.19679664281788953,-0.023809523809523836,-0.02040816326530612,-0.03571428571428571,-0.014072593067456356
all,fisher_rademacher_vjp_action,16,4,56,0.6428571428571429,0.7283163265306122,0.4107142857142857,0.17433818476602495,0.0,0.005102040816326532,0.017857142857142856,0.00838586498440823
all,fisher_rademacher_vjp_innovation_state,8,4,56,0.5714285714285715,0.6938775510204083,0.3392857142857143,0.2056047292686114,-0.04761904761904756,-0.02933673469387755,-0.05357142857142857,-0.02288067951817822
all,fisher_rademacher_vjp_innovation_state,16,4,56,0.5714285714285715,0.7206632653061226,0.35714285714285715,0.20574107947739137,-0.04761904761904756,-0.002551020408163266,-0.03571428571428571,-0.02301702972695823
all,fisher_rademacher_vjp_repeated_state,8,4,56,0.5952380952380953,0.6849489795918366,0.3392857142857143,0.2254924004962283,-0.05952380952380942,-0.03826530612244898,-0.05357142857142857,-0.042768350745795145
all,fisher_rademacher_vjp_repeated_state,16,4,56,0.5714285714285715,0.7059948979591837,0.3392857142857143,0.23366201528774236,-0.04761904761904756,-0.017219387755102036,-0.05357142857142857,-0.05093796553730916
all,hidden_l2_action,8,4,56,0.6666666666666667,0.7232142857142857,0.39285714285714285,0.18272404975043316,0.0,0.0,0.0,0.0
all,hidden_l2_action,16,4,56,0.6666666666666667,0.7232142857142857,0.39285714285714285,0.18272404975043316,0.0,0.0,0.0,0.0
all,margin_vjp_action,8,4,56,0.6547619047619049,0.7283163265306122,0.375,0.16966420793461853,0.0,0.005102040816326532,-0.017857142857142856,0.013059841815814602
all,margin_vjp_action,16,4,56,0.6071428571428572,0.7213010204081634,0.4107142857142857,0.18257366136167574,-0.023809523809523753,-0.0019132653061224372,0.017857142857142856,0.00015038838875743702
all,output_fisher_oracle,8,4,56,1.0,0.9655612244897959,0.9642857142857143,0.005751397416585596,0.2857142857142857,0.2423469387755102,0.5714285714285714,0.17697265233384757
all,output_fisher_oracle,16,4,56,1.0,0.9655612244897959,0.9642857142857143,0.005751397416585596,0.2857142857142857,0.2423469387755102,0.5714285714285714,0.17697265233384757
gov_report,entropy_vjp_action,8,4,28,0.523809523809524,0.6530612244897959,0.14285714285714285,0.17857788281920675,-0.2142857142857142,-0.06760204081632654,-0.2857142857142857,-0.09297240112717851
gov_report,entropy_vjp_action,16,4,28,0.523809523809524,0.6530612244897959,0.14285714285714285,0.17857788281920675,-0.2142857142857142,-0.06760204081632654,-0.2857142857142857,-0.09297240112717851
gov_report,fisher_gaussian_vjp_action,8,4,28,0.6785714285714287,0.7219387755102041,0.32142857142857145,0.0866932086105756,-0.023809523809523864,0.00127551020408164,-0.10714285714285714,-0.0010877269185473792
gov_report,fisher_gaussian_vjp_action,16,4,28,0.6190476190476191,0.7181122448979591,0.35714285714285715,0.12191136701509946,-0.03571428571428564,-0.0025510204081632564,-0.07142857142857142,-0.036305885323071226
gov_report,fisher_gaussian_vjp_innovation_state,8,4,28,0.6428571428571429,0.7066326530612245,0.2857142857142857,0.14141608393194244,-0.011904761904761973,-0.014030612244897957,-0.14285714285714285,-0.055810602239914235
gov_report,fisher_gaussian_vjp_innovation_state,16,4,28,0.7380952380952382,0.7372448979591837,0.35714285714285715,0.1528322041806949,0.02380952380952389,0.016581632653061222,-0.07142857142857142,-0.06722672248866668
gov_report,fisher_gaussian_vjp_repeated_state,8,4,28,0.6071428571428572,0.6938775510204083,0.5357142857142857,0.13244150522046097,-0.07142857142857129,-0.02678571428571429,0.10714285714285714,-0.04683602352843275
gov_report,fisher_gaussian_vjp_repeated_state,16,4,28,0.6428571428571429,0.7168367346938774,0.5357142857142857,0.1511028073278051,-0.05952380952380948,-0.003826530612244896,0.10714285714285714,-0.06549732563577688
gov_report,fisher_rademacher_vjp_action,8,4,28,0.6071428571428572,0.7066326530612246,0.25,0.12483449968236744,-0.03571428571428564,-0.014030612244897961,-0.17857142857142858,-0.039229017990339225
gov_report,fisher_rademacher_vjp_action,16,4,28,0.6190476190476191,0.7270408163265305,0.32142857142857145,0.08830053333498825,0.011904761904761918,0.006377551020408166,-0.10714285714285714,-0.0026950516429600354
gov_report,fisher_rademacher_vjp_innovation_state,8,4,28,0.5357142857142858,0.6926020408163265,0.25,0.15114436426695715,-0.08333333333333326,-0.028061224489795925,-0.17857142857142858,-0.06553888257492892
gov_report,fisher_rademacher_vjp_innovation_state,16,4,28,0.5476190476190477,0.7193877551020408,0.2857142857142857,0.14003298631680217,-0.08333333333333326,-0.001275510204081644,-0.14285714285714285,-0.054427504624773956
gov_report,fisher_rademacher_vjp_repeated_state,8,4,28,0.6309523809523812,0.6977040816326531,0.35714285714285715,0.10723558459165657,-0.08333333333333331,-0.022959183673469396,-0.07142857142857142,-0.021630102899628346
gov_report,fisher_rademacher_vjp_repeated_state,16,4,28,0.5476190476190477,0.7104591836734695,0.32142857142857145,0.13194296432250202,0.01190476190476189,-0.010204081632653057,-0.10714285714285714,-0.046337482630473784
gov_report,hidden_l2_action,8,4,28,0.6904761904761906,0.7206632653061226,0.42857142857142855,0.08560548169202821,0.0,0.0,0.0,0.0
gov_report,hidden_l2_action,16,4,28,0.6904761904761906,0.7206632653061226,0.42857142857142855,0.08560548169202821,0.0,0.0,0.0,0.0
gov_report,margin_vjp_action,8,4,28,0.7142857142857144,0.7474489795918368,0.32142857142857145,0.06920028099060829,0.0,0.02678571428571428,-0.10714285714285714,0.016405200701419924
gov_report,margin_vjp_action,16,4,28,0.6666666666666669,0.725765306122449,0.42857142857142855,0.08763793364715304,0.0,0.005102040816326538,0.0,-0.002032451955124823
gov_report,output_fisher_oracle,8,4,28,0.9761904761904763,0.9464285714285714,0.9285714285714286,0.011502794833171192,0.28571428571428564,0.22576530612244897,0.5,0.07410268685885701
gov_report,output_fisher_oracle,16,4,28,0.9761904761904763,0.9464285714285714,0.9285714285714286,0.011502794833171192,0.28571428571428564,0.22576530612244897,0.5,0.07410268685885701
niah_single_1,entropy_vjp_action,8,4,28,0.5952380952380953,0.6913265306122449,0.39285714285714285,0.2875636074848867,-0.023809523809523836,-0.03443877551020407,0.03571428571428571,-0.007720989676048561
niah_single_1,entropy_vjp_action,16,4,28,0.5952380952380953,0.6913265306122449,0.39285714285714285,0.2875636074848867,-0.023809523809523836,-0.03443877551020407,0.03571428571428571,-0.007720989676048561
niah_single_1,fisher_gaussian_vjp_action,8,4,28,0.6071428571428572,0.7028061224489797,0.39285714285714285,0.29606922548708065,-0.023809523809523725,-0.022959183673469382,0.03571428571428571,-0.01622660767824247
niah_single_1,fisher_gaussian_vjp_action,16,4,28,0.6190476190476191,0.7104591836734695,0.4642857142857143,0.272691004082716,-0.011904761904761862,-0.015306122448979585,0.10714285714285714,0.007151613726122106
niah_single_1,fisher_gaussian_vjp_innovation_state,8,4,28,0.5714285714285715,0.6849489795918368,0.39285714285714285,0.31682988387433547,-0.04761904761904756,-0.04081632653061223,0.03571428571428571,-0.03698726606549739
niah_single_1,fisher_gaussian_vjp_innovation_state,16,4,28,0.5714285714285715,0.7002551020408164,0.39285714285714285,0.289927843208981,-0.04761904761904756,-0.025510204081632643,0.03571428571428571,-0.010085225400142934
niah_single_1,fisher_gaussian_vjp_repeated_state,8,4,28,0.5714285714285715,0.6849489795918368,0.32142857142857145,0.34513977233832194,-0.04761904761904756,-0.04081632653061223,-0.03571428571428571,-0.06529715452948384
niah_single_1,fisher_gaussian_vjp_repeated_state,16,4,28,0.5714285714285715,0.6836734693877553,0.2857142857142857,0.3681621610759592,-0.04761904761904756,-0.042091836734693855,-0.07142857142857142,-0.08831954326712113
niah_single_1,fisher_rademacher_vjp_action,8,4,28,0.5952380952380953,0.6989795918367347,0.4642857142857143,0.26875878595341157,-0.023809523809523836,-0.026785714285714284,0.10714285714285714,0.011083831855426522
niah_single_1,fisher_rademacher_vjp_action,16,4,28,0.6428571428571429,0.729591836734694,0.5,0.2603758361970616,-0.011904761904761862,0.0038265306122449,0.14285714285714285,0.0194667816117765
niah_single_1,fisher_rademacher_vjp_innovation_state,8,4,28,0.5714285714285715,0.6951530612244899,0.42857142857142855,0.26006509427026564,-0.0357142857142857,-0.03061224489795918,0.07142857142857142,0.01977752353857248
niah_single_1,fisher_rademacher_vjp_innovation_state,16,4,28,0.5952380952380953,0.7219387755102042,0.42857142857142855,0.2714491726379806,-0.0357142857142857,-0.0038265306122448905,0.07142857142857142,0.00839344517085749
niah_single_1,fisher_rademacher_vjp_repeated_state,8,4,28,0.5833333333333335,0.6721938775510204,0.32142857142857145,0.3437492164008001,-0.04761904761904756,-0.053571428571428555,-0.03571428571428571,-0.06390659859196195
niah_single_1,fisher_rademacher_vjp_repeated_state,16,4,28,0.5833333333333335,0.7015306122448981,0.35714285714285715,0.3353810662529826,-0.04761904761904756,-0.024234693877551013,0.0,-0.05553844844414452
niah_single_1,hidden_l2_action,8,4,28,0.6428571428571429,0.725765306122449,0.35714285714285715,0.27984261780883807,0.0,0.0,0.0,0.0
niah_single_1,hidden_l2_action,16,4,28,0.6428571428571429,0.725765306122449,0.35714285714285715,0.27984261780883807,0.0,0.0,0.0,0.0
niah_single_1,margin_vjp_action,8,4,28,0.6190476190476191,0.7091836734693878,0.42857142857142855,0.2701281348786288,-0.03571428571428567,-0.01658163265306122,0.07142857142857142,0.009714482930209281
niah_single_1,margin_vjp_action,16,4,28,0.5952380952380953,0.7168367346938774,0.39285714285714285,0.27750938907619843,-0.023809523809523753,-0.008928571428571412,0.03571428571428571,0.0023332287326396977
niah_single_1,output_fisher_oracle,8,4,28,1.0,0.9846938775510204,1.0,0.0,0.3571428571428571,0.25892857142857145,0.6428571428571429,0.27984261780883807
niah_single_1,output_fisher_oracle,16,4,28,1.0,0.9846938775510204,1.0,0.0,0.3571428571428571,0.25892857142857145,0.6428571428571429,0.27984261780883807
