task,method,rank,refresh_interval,decision_units,median_spearman,mean_pairwise_accuracy,mean_top1_accuracy,mean_normalized_regret,median_spearman_gain,mean_pairwise_accuracy_gain,mean_top1_accuracy_gain,mean_normalized_regret_gain
all,hidden_l2_action,2,1,14,0.6547619047619049,0.7372448979591837,0.21428571428571427,0.22243704377721701,0.0,0.0,0.0,0.0
all,hidden_l2_action,2,2,14,0.6547619047619049,0.7372448979591837,0.21428571428571427,0.22243704377721701,0.0,0.0,0.0,0.0
all,hidden_l2_action,2,4,14,0.6547619047619049,0.7372448979591837,0.21428571428571427,0.22243704377721701,0.0,0.0,0.0,0.0
all,hidden_l2_action,2,8,14,0.6547619047619049,0.7372448979591837,0.21428571428571427,0.22243704377721701,0.0,0.0,0.0,0.0
all,hidden_l2_action,4,1,14,0.6547619047619049,0.7372448979591837,0.21428571428571427,0.22243704377721701,0.0,0.0,0.0,0.0
all,hidden_l2_action,4,2,14,0.6547619047619049,0.7372448979591837,0.21428571428571427,0.22243704377721701,0.0,0.0,0.0,0.0
all,hidden_l2_action,4,4,14,0.6547619047619049,0.7372448979591837,0.21428571428571427,0.22243704377721701,0.0,0.0,0.0,0.0
all,hidden_l2_action,4,8,14,0.6547619047619049,0.7372448979591837,0.21428571428571427,0.22243704377721701,0.0,0.0,0.0,0.0
all,output_fisher_oracle,2,1,14,1.0,0.9770408163265306,1.0,0.0,0.3095238095238095,0.23979591836734696,0.7857142857142857,0.22243704377721701
all,output_fisher_oracle,2,2,14,1.0,0.9770408163265306,1.0,0.0,0.3095238095238095,0.23979591836734696,0.7857142857142857,0.22243704377721701
all,output_fisher_oracle,2,4,14,1.0,0.9770408163265306,1.0,0.0,0.3095238095238095,0.23979591836734696,0.7857142857142857,0.22243704377721701
all,output_fisher_oracle,2,8,14,1.0,0.9770408163265306,1.0,0.0,0.3095238095238095,0.23979591836734696,0.7857142857142857,0.22243704377721701
all,output_fisher_oracle,4,1,14,1.0,0.9770408163265306,1.0,0.0,0.3095238095238095,0.23979591836734696,0.7857142857142857,0.22243704377721701
all,output_fisher_oracle,4,2,14,1.0,0.9770408163265306,1.0,0.0,0.3095238095238095,0.23979591836734696,0.7857142857142857,0.22243704377721701
all,output_fisher_oracle,4,4,14,1.0,0.9770408163265306,1.0,0.0,0.3095238095238095,0.23979591836734696,0.7857142857142857,0.22243704377721701
all,output_fisher_oracle,4,8,14,1.0,0.9770408163265306,1.0,0.0,0.3095238095238095,0.23979591836734696,0.7857142857142857,0.22243704377721701
all,pullback_diagonal_action,2,1,14,0.6190476190476191,0.7091836734693879,0.21428571428571427,0.25426454354177735,-0.023809523809523822,-0.028061224489795922,0.0,-0.03182749976456034
all,pullback_diagonal_action,2,2,14,0.6309523809523809,0.7270408163265306,0.21428571428571427,0.2541405309610369,0.011904761904761973,-0.010204081632653041,0.0,-0.03170348718381987
all,pullback_diagonal_action,2,4,14,0.6190476190476191,0.7321428571428573,0.21428571428571427,0.2654748547642826,0.0,-0.005102040816326513,0.0,-0.04303781098706562
all,pullback_diagonal_action,2,8,14,0.6190476190476191,0.7219387755102041,0.07142857142857142,0.3072163829333072,0.011904761904761862,-0.015306122448979578,-0.14285714285714285,-0.08477933915609019
all,pullback_diagonal_action,4,1,14,0.6785714285714287,0.7193877551020408,0.21428571428571427,0.22243704377721701,0.011904761904761862,-0.017857142857142867,0.0,0.0
all,pullback_diagonal_action,4,2,14,0.5,0.6938775510204082,0.07142857142857142,0.26614077818490733,0.011904761904761862,-0.04336734693877552,-0.14285714285714285,-0.04370373440769032
all,pullback_diagonal_action,4,4,14,0.6309523809523809,0.7270408163265306,0.14285714285714285,0.26590797654830955,0.0,-0.010204081632653073,-0.07142857142857142,-0.0434709327710925
all,pullback_diagonal_action,4,8,14,0.6666666666666667,0.7219387755102041,0.07142857142857142,0.2659712034062254,-0.011904761904761918,-0.015306122448979593,-0.14285714285714285,-0.04353415962900836
all,pullback_diagonal_ema,2,1,14,0.6190476190476191,0.7091836734693878,0.2857142857142857,0.25407292708213836,-0.023809523809523836,-0.028061224489795922,0.07142857142857142,-0.03163588330492134
all,pullback_diagonal_ema,2,2,14,0.6309523809523809,0.7244897959183673,0.21428571428571427,0.2541405309610369,0.011904761904761973,-0.012755102040816313,0.0,-0.03170348718381987
all,pullback_diagonal_ema,2,4,14,0.6309523809523809,0.7346938775510204,0.21428571428571427,0.2654748547642826,-0.011904761904761918,-0.0025510204081632564,0.0,-0.04303781098706562
all,pullback_diagonal_ema,2,8,14,0.6428571428571429,0.721938775510204,0.07142857142857142,0.3072163829333072,0.011904761904761918,-0.015306122448979578,-0.14285714285714285,-0.08477933915609019
all,pullback_diagonal_ema,4,1,14,0.6785714285714287,0.711734693877551,0.21428571428571427,0.22243704377721701,0.0,-0.025510204081632664,0.0,0.0
all,pullback_diagonal_ema,4,2,14,0.5,0.6913265306122449,0.07142857142857142,0.26614077818490733,0.02380952380952378,-0.045918367346938785,-0.14285714285714285,-0.04370373440769032
all,pullback_diagonal_ema,4,4,14,0.5952380952380953,0.7244897959183673,0.14285714285714285,0.26590797654830955,0.03571428571428564,-0.012755102040816329,-0.07142857142857142,-0.0434709327710925
all,pullback_diagonal_ema,4,8,14,0.6666666666666667,0.7193877551020408,0.07142857142857142,0.2659712034062254,-0.011904761904761918,-0.017857142857142856,-0.14285714285714285,-0.04353415962900836
all,pullback_diagonal_innovation,2,1,14,0.6190476190476191,0.7168367346938777,0.21428571428571427,0.25408397878325817,-0.0357142857142857,-0.02040816326530612,0.0,-0.031646935006041176
all,pullback_diagonal_innovation,2,2,14,0.6190476190476191,0.7270408163265306,0.21428571428571427,0.2541405309610369,0.011904761904761973,-0.010204081632653048,0.0,-0.03170348718381987
all,pullback_diagonal_innovation,2,4,14,0.6190476190476191,0.7066326530612246,0.21428571428571427,0.2654748547642826,-0.023809523809523836,-0.030612244897959173,0.0,-0.04303781098706562
all,pullback_diagonal_innovation,2,8,14,0.6190476190476191,0.7091836734693878,0.07142857142857142,0.3073403955140477,-0.023809523809523836,-0.028061224489795904,-0.14285714285714285,-0.08490335173683065
all,pullback_diagonal_innovation,4,1,14,0.6785714285714287,0.7244897959183673,0.14285714285714285,0.2661297264837875,-0.011904761904761862,-0.012755102040816337,-0.07142857142857142,-0.043692682706570486
all,pullback_diagonal_innovation,4,2,14,0.6190476190476191,0.6989795918367346,0.14285714285714285,0.2658395387615161,0.02380952380952378,-0.038265306122448974,-0.07142857142857142,-0.043402494984299066
all,pullback_diagonal_innovation,4,4,14,0.6190476190476191,0.7244897959183673,0.14285714285714285,0.26590797654830955,0.03571428571428564,-0.012755102040816322,-0.07142857142857142,-0.0434709327710925
all,pullback_diagonal_innovation,4,8,14,0.6785714285714286,0.7270408163265306,0.07142857142857142,0.2659712034062254,0.0,-0.010204081632653073,-0.14285714285714285,-0.04353415962900836
all,pullback_diagonal_repeated,2,1,14,0.5714285714285715,0.6887755102040816,0.14285714285714285,0.26594916172526833,-0.0357142857142857,-0.04846938775510203,-0.07142857142857142,-0.04351211794805132
all,pullback_diagonal_repeated,2,2,14,0.6190476190476191,0.7142857142857142,0.14285714285714285,0.2658395387615161,0.01190476190476189,-0.022959183673469368,-0.07142857142857142,-0.043402494984299066
all,pullback_diagonal_repeated,2,4,14,0.6071428571428572,0.7321428571428571,0.21428571428571427,0.2654064169774892,0.01190476190476189,-0.005102040816326504,0.0,-0.042969373200272186
all,pullback_diagonal_repeated,2,8,14,0.6309523809523809,0.7244897959183673,0.07142857142857142,0.3072163829333072,-0.011904761904761918,-0.012755102040816304,-0.14285714285714285,-0.08477933915609019
all,pullback_diagonal_repeated,4,1,14,0.5595238095238095,0.6989795918367346,0.14285714285714285,0.2661297264837875,-0.011904761904761862,-0.038265306122448994,-0.07142857142857142,-0.043692682706570486
all,pullback_diagonal_repeated,4,2,14,0.5357142857142857,0.6862244897959183,0.14285714285714285,0.2658395387615161,0.011904761904761862,-0.051020408163265314,-0.07142857142857142,-0.043402494984299066
all,pullback_diagonal_repeated,4,4,14,0.5714285714285715,0.7193877551020408,0.14285714285714285,0.26590797654830955,0.04761904761904756,-0.017857142857142867,-0.07142857142857142,-0.0434709327710925
all,pullback_diagonal_repeated,4,8,14,0.6547619047619049,0.7193877551020408,0.07142857142857142,0.2659712034062254,6.938893903907228e-17,-0.017857142857142867,-0.14285714285714285,-0.04353415962900836
all,pullback_full_action,2,1,14,0.6785714285714286,0.721938775510204,0.21428571428571427,0.25426454354177735,-0.011904761904761918,-0.015306122448979593,0.0,-0.03182749976456034
all,pullback_full_action,2,2,14,0.7142857142857144,0.7448979591836734,0.21428571428571427,0.2541405309610369,0.011904761904761904,0.0076530612244898,0.0,-0.03170348718381987
all,pullback_full_action,2,4,14,0.5119047619047621,0.6938775510204083,0.21428571428571427,0.2654748547642826,-0.10714285714285718,-0.043367346938775496,0.0,-0.04303781098706562
all,pullback_full_action,2,8,14,0.523809523809524,0.7142857142857143,0.07142857142857142,0.30682170297492106,-0.04761904761904756,-0.022959183673469368,-0.14285714285714285,-0.08438465919770406
all,pullback_full_action,4,1,14,0.6666666666666667,0.7168367346938777,0.14285714285714285,0.22291586488041415,0.0,-0.02040816326530612,-0.07142857142857142,-0.0004788211031971353
all,pullback_full_action,4,2,14,0.6666666666666667,0.7168367346938774,0.07142857142857142,0.2664845350062442,0.0,-0.020408163265306114,-0.14285714285714285,-0.044047491229027146
all,pullback_full_action,4,4,14,0.5476190476190477,0.6938775510204083,0.14285714285714285,0.32309788951151963,-0.011904761904761918,-0.043367346938775496,-0.07142857142857142,-0.10066084573430259
all,pullback_full_action,4,8,14,0.642857142857143,0.721938775510204,0.07142857142857142,0.2655765234478392,0.0,-0.015306122448979585,-0.14285714285714285,-0.043139479670622226
all,pullback_full_ema,2,1,14,0.6666666666666667,0.7168367346938774,0.21428571428571427,0.25426454354177735,-0.0357142857142857,-0.020408163265306128,0.0,-0.03182749976456034
all,pullback_full_ema,2,2,14,0.7023809523809526,0.7372448979591837,0.21428571428571427,0.2541405309610369,0.011904761904761862,0.0,0.0,-0.03170348718381987
all,pullback_full_ema,2,4,14,0.523809523809524,0.7066326530612246,0.21428571428571427,0.2654748547642826,-0.10714285714285718,-0.03061224489795918,0.0,-0.04303781098706562
all,pullback_full_ema,2,8,14,0.523809523809524,0.7168367346938777,0.07142857142857142,0.3072163829333072,-0.04761904761904756,-0.020408163265306097,-0.14285714285714285,-0.08477933915609019
all,pullback_full_ema,4,1,14,0.6666666666666667,0.7193877551020408,0.14285714285714285,0.22291586488041415,0.0,-0.017857142857142856,-0.07142857142857142,-0.0004788211031971353
all,pullback_full_ema,4,2,14,0.6666666666666667,0.721938775510204,0.14285714285714285,0.26629291854660514,0.0,-0.015306122448979585,-0.07142857142857142,-0.04385587476938816
all,pullback_full_ema,4,4,14,0.5357142857142858,0.6989795918367346,0.21428571428571427,0.2656479223018771,-0.011904761904761918,-0.03826530612244896,0.0,-0.04321087852466007
all,pullback_full_ema,4,8,14,0.6547619047619049,0.7270408163265305,0.14285714285714285,0.2657795869465864,0.0,-0.010204081632653073,-0.07142857142857142,-0.04334254316936936
all,pullback_full_innovation,2,1,14,0.6666666666666667,0.721938775510204,0.14285714285714285,0.25427559524289717,-0.0357142857142857,-0.0153061224489796,-0.07142857142857142,-0.031838551465680175
all,pullback_full_innovation,2,2,14,0.7261904761904763,0.7423469387755101,0.21428571428571427,0.2541405309610369,0.023809523809523767,0.005102040816326536,0.0,-0.03170348718381987
all,pullback_full_innovation,2,4,14,0.5000000000000001,0.6862244897959184,0.21428571428571427,0.2654748547642826,-0.05952380952380956,-0.0510204081632653,0.0,-0.04303781098706562
all,pullback_full_innovation,2,8,14,0.5714285714285715,0.7066326530612245,0.07142857142857142,0.31048231068079213,5.551115123125783e-17,-0.03061224489795917,-0.14285714285714285,-0.0880452669035751
all,pullback_full_innovation,4,1,14,0.6666666666666667,0.7091836734693876,0.14285714285714285,0.2664169311273456,-0.07142857142857145,-0.02806122448979593,-0.07142857142857142,-0.04397988735012862
all,pullback_full_innovation,4,2,14,0.6666666666666667,0.721938775510204,0.14285714285714285,0.26600273082433373,-0.011904761904761918,-0.015306122448979581,-0.07142857142857142,-0.04356568704711674
all,pullback_full_innovation,4,4,14,0.5595238095238095,0.6913265306122449,0.21428571428571427,0.2656479223018771,-0.05952380952380956,-0.04591836734693877,0.0,-0.04321087852466007
all,pullback_full_innovation,4,8,14,0.6666666666666667,0.7244897959183675,0.14285714285714285,0.2657795869465864,0.0,-0.012755102040816337,-0.07142857142857142,-0.04334254316936936
all,pullback_full_repeated,2,1,14,0.6666666666666667,0.7066326530612245,0.07142857142857142,0.2659746030433764,-0.011904761904761918,-0.03061224489795919,-0.14285714285714285,-0.04353755926615937
all,pullback_full_repeated,2,2,14,0.7142857142857144,0.7372448979591836,0.14285714285714285,0.2658395387615161,0.023809523809523794,7.93016446160826e-18,-0.07142857142857142,-0.043402494984299066
all,pullback_full_repeated,2,4,14,0.5952380952380953,0.711734693877551,0.14285714285714285,0.2658395387615161,-0.02380952380952389,-0.025510204081632633,-0.07142857142857142,-0.043402494984299066
all,pullback_full_repeated,2,8,14,0.6309523809523809,0.7270408163265306,0.07142857142857142,0.3072163829333072,-0.011904761904761918,-0.010204081632653041,-0.14285714285714285,-0.08477933915609019
all,pullback_full_repeated,4,1,14,0.6309523809523809,0.7117346938775511,0.21428571428571427,0.2664058794262258,-0.011904761904761918,-0.02551020408163265,0.0,-0.04396883564900878
all,pullback_full_repeated,4,2,14,0.6309523809523809,0.7168367346938773,0.21428571428571427,0.2226002358400347,-0.011904761904761918,-0.020408163265306124,0.0,-0.00016319206281767144
all,pullback_full_repeated,4,4,14,0.5119047619047621,0.6862244897959183,0.21428571428571427,0.2656479223018771,-0.10714285714285712,-0.05102040816326531,0.0,-0.04321087852466007
all,pullback_full_repeated,4,8,14,0.6071428571428572,0.7193877551020408,0.14285714285714285,0.2657795869465864,0.0,-0.017857142857142867,-0.07142857142857142,-0.04334254316936936
all,pullback_randomized_16_action,2,1,14,0.6190476190476191,0.7193877551020407,0.21428571428571427,0.25455473126404876,-0.0357142857142857,-0.017857142857142856,0.0,-0.032117687486831754
all,pullback_randomized_16_action,2,2,14,0.6428571428571429,0.7346938775510203,0.21428571428571427,0.2541405309610369,-0.02380952380952378,-0.0025510204081632564,0.0,-0.03170348718381987
all,pullback_randomized_16_action,2,4,14,0.5714285714285715,0.7117346938775511,0.21428571428571427,0.2654748547642826,-0.10714285714285718,-0.02551020408163265,0.0,-0.04303781098706562
all,pullback_randomized_16_action,2,8,14,0.5714285714285715,0.7219387755102041,0.07142857142857142,0.3072308228735282,-0.05952380952380948,-0.015306122448979578,-0.14285714285714285,-0.08479377909631118
all,pullback_randomized_16_action,4,1,14,0.6666666666666667,0.7321428571428571,0.2857142857142857,0.22271319671965534,0.0,-0.005102040816326521,0.07142857142857142,-0.00027615294243830274
all,pullback_randomized_16_action,4,2,14,0.6904761904761906,0.7346938775510203,0.07142857142857142,0.2664845350062442,0.0,-0.002551020408163248,-0.14285714285714285,-0.044047491229027146
