comparison,split,task,projection_dimension,projection_seed,decay,decision_units,sequences,median_spearman_gain,mean_pairwise_accuracy_gain,mean_top1_accuracy_gain,mean_normalized_regret_gain
recursive_vs_action,calibration,all,16,42,0.5,744,8,-0.015655577669507106,-0.011376032413900576,-0.010752688172043012,-0.03245492099510659
recursive_vs_action,calibration,all,16,42,0.8,744,8,-0.024347826086956514,-0.01675237649992208,-0.016129032258064516,-0.05619491933058009
recursive_vs_action,calibration,all,16,42,0.95,744,8,-0.028695652173913094,-0.023131915225183104,-0.01478494623655914,-0.04829320676597362
recursive_vs_action,calibration,all,16,42,1.0,744,8,-0.03304707111491456,-0.026336294218482156,-0.01478494623655914,-0.055356496190720784
recursive_vs_action,calibration,all,32,42,0.5,744,8,-0.011305576960365521,-0.007144109396914447,-0.006720430107526882,-0.01766055339201113
recursive_vs_action,calibration,all,32,42,0.8,744,8,-0.01739319532363924,-0.012578892005610097,-0.013440860215053764,-0.02797566026603922
recursive_vs_action,calibration,all,32,42,0.95,744,8,-0.025217391304347823,-0.01964995324918186,-0.020161290322580645,-0.043247883402624136
recursive_vs_action,calibration,all,32,42,1.0,744,8,-0.032608695652173836,-0.023370539192769206,-0.01881720430107527,-0.04774532989734412
recursive_vs_action,calibration,all,64,42,0.5,744,8,-0.011304347826086997,-0.007036972105345176,-0.004032258064516129,-0.00565249991184297
recursive_vs_action,calibration,all,64,42,0.8,744,8,-0.014347826086956526,-0.009408602150537631,-0.005376344086021506,-0.006190853350129884
recursive_vs_action,calibration,all,64,42,0.95,744,8,-0.02391559629560866,-0.015866058906030853,-0.010752688172043012,-0.013798830362525574
recursive_vs_action,calibration,all,64,42,1.0,744,8,-0.028698772284004664,-0.019026609007324294,-0.010752688172043012,-0.025738390000367477
recursive_vs_action,calibration,all,128,42,0.5,744,8,-0.005217391304347835,-0.004470546984572228,0.004032258064516129,-0.002355825967281756
recursive_vs_action,calibration,all,128,42,0.8,744,8,-0.008695652173912993,-0.007519089917406887,-0.006720430107526882,-0.0069180852869963555
recursive_vs_action,calibration,all,128,42,0.95,744,8,-0.016523535557457267,-0.012155212716222533,-0.0013440860215053765,-0.008530075379516115
recursive_vs_action,calibration,all,128,42,1.0,744,8,-0.019567297464698798,-0.014146992364033037,-0.005376344086021506,-0.017553431548608955
recursive_vs_action,calibration,gov_report,16,42,0.5,372,4,-0.019567297464698798,-0.015008960573476707,-0.01881720430107527,-0.036794776917969944
recursive_vs_action,calibration,gov_report,16,42,0.8,372,4,-0.025654821279181846,-0.018885382577528437,-0.008064516129032258,-0.05474535733173466
recursive_vs_action,calibration,gov_report,16,42,0.95,372,4,-0.023913043478260884,-0.020356085398161132,-0.008064516129032258,-0.03956338917316053
recursive_vs_action,calibration,gov_report,16,42,1.0,372,4,-0.021308980716829157,-0.02048270219728845,-0.010752688172043012,-0.04580509196369122
recursive_vs_action,calibration,gov_report,32,42,0.5,372,4,-0.016523535557457253,-0.009320944366526415,-0.008064516129032258,-0.014395441501856052
recursive_vs_action,calibration,gov_report,32,42,0.8,372,4,-0.02174385787431543,-0.013557737260402058,-0.013440860215053764,-0.026530118962732045
recursive_vs_action,calibration,gov_report,32,42,0.95,372,4,-0.01999999999999999,-0.01624590930341281,-0.010752688172043012,-0.03430746744368872
