task,method,width,refresh_interval,decision_units,median_spearman,mean_pairwise_accuracy,mean_top1_accuracy,mean_normalized_regret,median_spearman_gain,mean_pairwise_accuracy_gain,mean_top1_accuracy_gain,mean_normalized_regret_gain
all,entropy_vjp_action,4,1,28,0.4642857142857143,0.6581632653061226,0.21428571428571427,0.29512607085351233,-0.20238095238095244,-0.07270408163265306,-0.07142857142857142,-0.10059210348067202
all,entropy_vjp_action,4,2,28,0.5595238095238095,0.6211734693877552,0.17857142857142858,0.361303727761348,-0.14285714285714274,-0.10969387755102042,-0.10714285714285714,-0.16676976038850766
all,entropy_vjp_action,4,4,28,0.34523809523809523,0.5918367346938777,0.17857142857142858,0.44524468907260256,-0.34523809523809534,-0.13903061224489796,-0.10714285714285714,-0.25071072169976216
all,entropy_vjp_action,4,8,28,0.46428571428571436,0.6020408163265306,0.17857142857142858,0.3920087077786984,-0.22619047619047628,-0.1288265306122449,-0.10714285714285714,-0.19747474040585794
all,entropy_vjp_action,8,1,28,0.4642857142857143,0.6581632653061226,0.21428571428571427,0.29512607085351233,-0.20238095238095244,-0.07270408163265306,-0.07142857142857142,-0.10059210348067202
all,entropy_vjp_action,8,2,28,0.5595238095238095,0.6211734693877552,0.17857142857142858,0.361303727761348,-0.14285714285714274,-0.10969387755102042,-0.10714285714285714,-0.16676976038850766
all,entropy_vjp_action,8,4,28,0.34523809523809523,0.5918367346938777,0.17857142857142858,0.44524468907260256,-0.34523809523809534,-0.13903061224489796,-0.10714285714285714,-0.25071072169976216
all,entropy_vjp_action,8,8,28,0.46428571428571436,0.6020408163265306,0.17857142857142858,0.3920087077786984,-0.22619047619047628,-0.1288265306122449,-0.10714285714285714,-0.19747474040585794
all,entropy_vjp_action,16,1,28,0.4642857142857143,0.6581632653061226,0.21428571428571427,0.29512607085351233,-0.20238095238095244,-0.07270408163265306,-0.07142857142857142,-0.10059210348067202
all,entropy_vjp_action,16,2,28,0.5595238095238095,0.6211734693877552,0.17857142857142858,0.361303727761348,-0.14285714285714274,-0.10969387755102042,-0.10714285714285714,-0.16676976038850766
all,entropy_vjp_action,16,4,28,0.34523809523809523,0.5918367346938777,0.17857142857142858,0.44524468907260256,-0.34523809523809534,-0.13903061224489796,-0.10714285714285714,-0.25071072169976216
all,entropy_vjp_action,16,8,28,0.46428571428571436,0.6020408163265306,0.17857142857142858,0.3920087077786984,-0.22619047619047628,-0.1288265306122449,-0.10714285714285714,-0.19747474040585794
all,fisher_gaussian_vjp_action,4,1,28,0.630952380952381,0.711734693877551,0.21428571428571427,0.15680033163093124,-0.03571428571428575,-0.0191326530612245,-0.07142857142857142,0.03773363574190918
all,fisher_gaussian_vjp_action,4,2,28,0.5595238095238095,0.6709183673469388,0.25,0.2372950574510552,-0.09523809523809525,-0.059948979591836746,-0.03571428571428571,-0.04276109007821478
all,fisher_gaussian_vjp_action,4,4,28,0.630952380952381,0.707908163265306,0.17857142857142858,0.26737379168975933,0.023809523809523725,-0.022959183673469396,-0.10714285714285714,-0.07283982431691897
all,fisher_gaussian_vjp_action,4,8,28,0.6904761904761906,0.7193877551020408,0.17857142857142858,0.2629720363450292,0.02380952380952378,-0.011479591836734701,-0.10714285714285714,-0.0684380689721888
