task,method,width,refresh_interval,decision_units,median_spearman,mean_pairwise_accuracy,mean_top1_accuracy,mean_normalized_regret,median_spearman_gain,mean_pairwise_accuracy_gain,mean_top1_accuracy_gain,mean_normalized_regret_gain
all,entropy_vjp_action,1,1,28,0.4642857142857143,0.6581632653061226,0.21428571428571427,0.29512607085351233,-0.20238095238095244,-0.07270408163265306,-0.07142857142857142,-0.10059210348067202
all,entropy_vjp_action,1,2,28,0.5595238095238095,0.6211734693877552,0.17857142857142858,0.361303727761348,-0.14285714285714274,-0.10969387755102042,-0.10714285714285714,-0.16676976038850766
all,entropy_vjp_action,1,4,28,0.34523809523809523,0.5918367346938777,0.17857142857142858,0.44524468907260256,-0.34523809523809534,-0.13903061224489796,-0.10714285714285714,-0.25071072169976216
all,entropy_vjp_action,1,8,28,0.46428571428571436,0.6020408163265306,0.17857142857142858,0.3920087077786984,-0.22619047619047628,-0.1288265306122449,-0.10714285714285714,-0.19747474040585794
all,entropy_vjp_action,2,1,28,0.4642857142857143,0.6581632653061226,0.21428571428571427,0.29512607085351233,-0.20238095238095244,-0.07270408163265306,-0.07142857142857142,-0.10059210348067202
all,entropy_vjp_action,2,2,28,0.5595238095238095,0.6211734693877552,0.17857142857142858,0.361303727761348,-0.14285714285714274,-0.10969387755102042,-0.10714285714285714,-0.16676976038850766
all,entropy_vjp_action,2,4,28,0.34523809523809523,0.5918367346938777,0.17857142857142858,0.44524468907260256,-0.34523809523809534,-0.13903061224489796,-0.10714285714285714,-0.25071072169976216
all,entropy_vjp_action,2,8,28,0.46428571428571436,0.6020408163265306,0.17857142857142858,0.3920087077786984,-0.22619047619047628,-0.1288265306122449,-0.10714285714285714,-0.19747474040585794
all,entropy_vjp_action,4,1,28,0.4642857142857143,0.6581632653061226,0.21428571428571427,0.29512607085351233,-0.20238095238095244,-0.07270408163265306,-0.07142857142857142,-0.10059210348067202
all,entropy_vjp_action,4,2,28,0.5595238095238095,0.6211734693877552,0.17857142857142858,0.361303727761348,-0.14285714285714274,-0.10969387755102042,-0.10714285714285714,-0.16676976038850766
all,entropy_vjp_action,4,4,28,0.34523809523809523,0.5918367346938777,0.17857142857142858,0.44524468907260256,-0.34523809523809534,-0.13903061224489796,-0.10714285714285714,-0.25071072169976216
all,entropy_vjp_action,4,8,28,0.46428571428571436,0.6020408163265306,0.17857142857142858,0.3920087077786984,-0.22619047619047628,-0.1288265306122449,-0.10714285714285714,-0.19747474040585794
all,fisher_vjp_action,1,1,28,0.5714285714285715,0.669642857142857,0.32142857142857145,0.24448018770060226,-0.0714285714285714,-0.06122448979591837,0.03571428571428571,-0.04994622032776186
all,fisher_vjp_action,1,2,28,0.4761904761904763,0.6364795918367346,0.17857142857142858,0.21646859032322707,-0.14285714285714274,-0.09438775510204081,-0.10714285714285714,-0.021934622950386656
all,fisher_vjp_action,1,4,28,0.4642857142857143,0.6071428571428571,0.25,0.21147546867287015,-0.1547619047619048,-0.12372448979591837,-0.03571428571428571,-0.016941501300029766
all,fisher_vjp_action,1,8,28,0.2023809523809524,0.5573979591836735,0.25,0.3066184869791843,-0.4285714285714286,-0.1734693877551021,-0.03571428571428571,-0.11208451960634389
all,fisher_vjp_action,2,1,28,0.5595238095238095,0.6734693877551022,0.35714285714285715,0.23998939610095077,-0.09523809523809534,-0.05739795918367347,0.07142857142857142,-0.04545542872811035
all,fisher_vjp_action,2,2,28,0.5714285714285715,0.6772959183673469,0.21428571428571427,0.23417881804852922,-0.09523809523809529,-0.05357142857142859,-0.07142857142857142,-0.03964485067568883
all,fisher_vjp_action,2,4,28,0.5357142857142858,0.6862244897959184,0.2857142857142857,0.19308155237822106,-0.08333333333333331,-0.04464285714285716,0.0,0.0014524149946193326
all,fisher_vjp_action,2,8,28,0.4523809523809524,0.6415816326530612,0.25,0.29460185063834016,-0.13095238095238093,-0.08928571428571429,-0.03571428571428571,-0.10006788326549969
all,fisher_vjp_action,4,1,28,0.5357142857142858,0.6926020408163266,0.42857142857142855,0.1770199403135417,-0.10714285714285715,-0.03826530612244899,0.14285714285714285,0.0175140270592987
all,fisher_vjp_action,4,2,28,0.6071428571428572,0.6811224489795917,0.2857142857142857,0.22774114585467345,-0.10714285714285715,-0.04974489795918369,0.0,-0.03320717848183304
all,fisher_vjp_action,4,4,28,0.6666666666666667,0.6938775510204082,0.32142857142857145,0.2107520782298342,-0.023809523809523878,-0.03698979591836736,0.03571428571428571,-0.016218110856993786
all,fisher_vjp_action,4,8,28,0.5714285714285715,0.6875,0.25,0.2798022320653263,-0.08333333333333331,-0.04336734693877552,-0.03571428571428571,-0.0852682646924859
all,fisher_vjp_innovation_state,1,1,28,0.5119047619047621,0.6454081632653061,0.2857142857142857,0.3254548470631356,-0.11904761904761912,-0.0854591836734694,0.0,-0.13092087969029512
all,fisher_vjp_innovation_state,1,2,28,0.3333333333333334,0.5956632653061223,0.07142857142857142,0.3587335269282907,-0.17857142857142863,-0.13520408163265307,-0.21428571428571427,-0.16419955955545026
all,fisher_vjp_innovation_state,1,4,28,0.4642857142857144,0.6020408163265305,0.10714285714285714,0.3877867787453556,-0.1428571428571428,-0.12882653061224492,-0.17857142857142858,-0.1932528113725153
all,fisher_vjp_innovation_state,1,8,28,0.1666666666666667,0.5433673469387755,0.03571428571428571,0.49794806319392454,-0.33333333333333337,-0.1875,-0.25,-0.30341409582108414
all,fisher_vjp_innovation_state,2,1,28,0.48809523809523814,0.6530612244897959,0.21428571428571427,0.29938576248302734,-0.13095238095238104,-0.0778061224489796,-0.07142857142857142,-0.1048517951101869
all,fisher_vjp_innovation_state,2,2,28,0.48809523809523814,0.6377551020408163,0.17857142857142858,0.27949823021934245,-0.21428571428571438,-0.09311224489795919,-0.10714285714285714,-0.08496426284650208
all,fisher_vjp_innovation_state,2,4,28,0.4761904761904763,0.6543367346938777,0.21428571428571427,0.3508898026258741,-0.15476190476190482,-0.07653061224489797,-0.07142857142857142,-0.15635583525303373
all,fisher_vjp_innovation_state,2,8,28,0.3690476190476191,0.610969387755102,0.17857142857142858,0.40039910321160627,-0.33333333333333337,-0.11989795918367348,-0.10714285714285714,-0.2058651358387658
all,fisher_vjp_innovation_state,4,1,28,0.5119047619047621,0.6798469387755102,0.39285714285714285,0.1557012005122654,-0.11904761904761915,-0.0510204081632653,0.10714285714285714,0.038832766860575005
all,fisher_vjp_innovation_state,4,2,28,0.5000000000000001,0.6556122448979592,0.25,0.25855304608808766,-0.13095238095238093,-0.07525510204081633,-0.03571428571428571,-0.06401907871524727
all,fisher_vjp_innovation_state,4,4,28,0.5595238095238095,0.6887755102040819,0.35714285714285715,0.2732066119691187,-0.08333333333333337,-0.042091836734693897,0.07142857142857142,-0.0786726445962783
all,fisher_vjp_innovation_state,4,8,28,0.41666666666666674,0.6441326530612246,0.17857142857142858,0.3820754461459574,-0.21428571428571425,-0.08673469387755102,-0.10714285714285714,-0.18754147877311694
all,fisher_vjp_repeated_state,1,1,28,0.40476190476190477,0.6173469387755102,0.32142857142857145,0.3439882015321913,-0.17857142857142855,-0.11352040816326534,0.03571428571428571,-0.14945423415935086
all,fisher_vjp_repeated_state,1,2,28,0.3214285714285715,0.607142857142857,0.14285714285714285,0.32467782564943,-0.19047619047619058,-0.12372448979591837,-0.14285714285714285,-0.13014385827658956
all,fisher_vjp_repeated_state,1,4,28,0.3571428571428572,0.6160714285714286,0.14285714285714285,0.38504804815150473,-0.19047619047619052,-0.11479591836734694,-0.14285714285714285,-0.19051408077866427
all,fisher_vjp_repeated_state,1,8,28,0.3095238095238096,0.5714285714285714,0.10714285714285714,0.4201030081312608,-0.4047619047619049,-0.15943877551020408,-0.17857142857142858,-0.2255690407584204
all,fisher_vjp_repeated_state,2,1,28,0.45238095238095244,0.639030612244898,0.21428571428571427,0.3454565962878771,-0.15476190476190482,-0.09183673469387756,-0.07142857142857142,-0.15092262891503672
all,fisher_vjp_repeated_state,2,2,28,0.3095238095238096,0.610969387755102,0.21428571428571427,0.29933612151599637,-0.22619047619047625,-0.11989795918367345,-0.07142857142857142,-0.10480215414315588
all,fisher_vjp_repeated_state,2,4,28,0.4285714285714286,0.6492346938775511,0.25,0.32399160592014514,-0.15476190476190482,-0.08163265306122448,-0.03571428571428571,-0.12945763854730477
all,fisher_vjp_repeated_state,2,8,28,0.4761904761904762,0.6415816326530611,0.17857142857142858,0.3642486219949643,-0.19047619047619044,-0.08928571428571429,-0.10714285714285714,-0.16971465462212385
all,fisher_vjp_repeated_state,4,1,28,0.523809523809524,0.6543367346938774,0.2857142857142857,0.3099521177770061,-0.1428571428571429,-0.07653061224489797,0.0,-0.11541815040416577
all,fisher_vjp_repeated_state,4,2,28,0.4761904761904763,0.6275510204081632,0.21428571428571427,0.29726251681531546,-0.1785714285714286,-0.10331632653061222,-0.07142857142857142,-0.10272854944247507
all,fisher_vjp_repeated_state,4,4,28,0.5476190476190477,0.7091836734693878,0.25,0.19749371740422447,-0.011904761904761918,-0.021683673469387765,-0.03571428571428571,-0.0029597500313840613
all,fisher_vjp_repeated_state,4,8,28,0.46428571428571436,0.6709183673469387,0.07142857142857142,0.3629594632354502,-0.1428571428571429,-0.059948979591836746,-0.21428571428571427,-0.1684254958626099
all,hidden_l2_action,1,1,28,0.6547619047619049,0.7308673469387754,0.2857142857142857,0.1945339673728404,0.0,0.0,0.0,0.0
all,hidden_l2_action,1,2,28,0.6547619047619049,0.7308673469387754,0.2857142857142857,0.1945339673728404,0.0,0.0,0.0,0.0
all,hidden_l2_action,1,4,28,0.6547619047619049,0.7308673469387754,0.2857142857142857,0.1945339673728404,0.0,0.0,0.0,0.0
all,hidden_l2_action,1,8,28,0.6547619047619049,0.7308673469387754,0.2857142857142857,0.1945339673728404,0.0,0.0,0.0,0.0
all,hidden_l2_action,2,1,28,0.6547619047619049,0.7308673469387754,0.2857142857142857,0.1945339673728404,0.0,0.0,0.0,0.0
all,hidden_l2_action,2,2,28,0.6547619047619049,0.7308673469387754,0.2857142857142857,0.1945339673728404,0.0,0.0,0.0,0.0
all,hidden_l2_action,2,4,28,0.6547619047619049,0.7308673469387754,0.2857142857142857,0.1945339673728404,0.0,0.0,0.0,0.0
all,hidden_l2_action,2,8,28,0.6547619047619049,0.7308673469387754,0.2857142857142857,0.1945339673728404,0.0,0.0,0.0,0.0
all,hidden_l2_action,4,1,28,0.6547619047619049,0.7308673469387754,0.2857142857142857,0.1945339673728404,0.0,0.0,0.0,0.0
all,hidden_l2_action,4,2,28,0.6547619047619049,0.7308673469387754,0.2857142857142857,0.1945339673728404,0.0,0.0,0.0,0.0
all,hidden_l2_action,4,4,28,0.6547619047619049,0.7308673469387754,0.2857142857142857,0.1945339673728404,0.0,0.0,0.0,0.0
all,hidden_l2_action,4,8,28,0.6547619047619049,0.7308673469387754,0.2857142857142857,0.1945339673728404,0.0,0.0,0.0,0.0
all,margin_vjp_action,1,1,28,0.3214285714285715,0.6364795918367345,0.32142857142857145,0.27428910527024547,-0.2142857142857143,-0.0943877551020408,0.03571428571428571,-0.07975513789740506
all,margin_vjp_action,1,2,28,0.2380952380952381,0.5714285714285714,0.14285714285714285,0.3254605626472838,-0.3214285714285715,-0.15943877551020408,-0.14285714285714285,-0.1309265952744433
all,margin_vjp_action,1,4,28,0.523809523809524,0.6326530612244899,0.25,0.3185232722257369,-0.19047619047619055,-0.0982142857142857,-0.03571428571428571,-0.12398930485289639
all,margin_vjp_action,1,8,28,0.44047619047619047,0.6288265306122449,0.32142857142857145,0.33667594203934087,-0.23809523809523814,-0.10204081632653061,0.03571428571428571,-0.1421419746665005
all,margin_vjp_action,2,1,28,0.4523809523809524,0.6747448979591836,0.2857142857142857,0.21736722723401833,-0.08333333333333337,-0.05612244897959184,0.0,-0.022833259861177884
